,hull_centx,hull_centy,hull_area,min_owlag,level,label,value
311,111.84255533199195,16.507461435278337,401532024304.41516,9.665987818152644e-06,850.0,4,6.7
312,111.87960096319229,16.55108359133127,391487095070.2785,9.665987818152644e-06,850.0,3,6.8
313,111.81990394877268,16.59898612593383,378652801584.158,4.464689027372515e-06,850.0,3,6.9
314,111.86288288288289,16.581981981981983,373771001825.5367,4.464689027372515e-06,850.0,2,7.0
315,111.87412523020258,16.598802946593,365732383817.64575,4.464689027372515e-06,850.0,2,7.1
316,111.89123006833712,16.59320425208808,354807333497.58057,4.464689027372515e-06,850.0,1,7.2
317,111.90202966432474,16.62217017954723,345182806225.76263,2.6551106202532537e-06,850.0,1,7.3
318,111.87593910636616,16.634638196915777,340710390465.3532,2.6551106202532537e-06,850.0,1,7.4
319,111.90246098439376,16.643957583033213,336687370916.62006,2.6551106202532537e-06,850.0,1,7.5
320,111.91757575757576,16.655959595959594,333465490990.30194,2.6551106202532537e-06,850.0,1,7.6
321,111.9015245158632,16.67356819118253,327096487291.13727,7.926078978925943e-06,850.0,1,7.7
322,111.8990464344942,16.687810945273633,325093197959.1806,7.926078978925943e-06,850.0,1,7.8
323,111.90704726056045,16.670117105813468,322231445633.72,2.976063478854485e-05,850.0,1,7.9
324,111.90957903780068,16.70264175257732,313781702266.86945,2.976063478854485e-05,850.0,1,8.0
325,111.92415364583333,16.703125,310560610846.2331,2.976063478854485e-05,850.0,1,8.1
326,111.9001096491228,16.6875,307302347798.58307,2.976063478854485e-05,850.0,1,8.2
327,111.89829570606463,16.695219123505975,304481336747.30347,2.976063478854485e-05,850.0,1,8.3
328,111.9343365253078,16.752507979936162,295678292346.0141,2.976063478854485e-05,850.0,1,8.4
329,111.99230769230769,16.826282051282053,263024187530.54504,4.299187639844604e-05,850.0,1,8.5
330,112.00482392667631,16.790400385914133,279560290638.0412,4.299187639844604e-05,850.0,1,8.6
331,112.00561377245509,16.840444111776446,270318030570.4913,4.299187639844604e-05,850.0,1,8.7
332,112.00998463901689,16.85983102918587,263471453338.40488,7.368146907538176e-05,850.0,1,8.8
333,112.0178664580073,16.835159102764734,258576862089.2822,7.368146907538176e-05,850.0,1,8.9
334,111.99639423076923,16.851095085470085,252525403166.6455,8.372652519028634e-05,850.0,1,9.0
335,112.01724613686535,16.901903973509935,244487066393.0474,8.372652519028634e-05,850.0,1,9.1
336,112.00041736227045,16.913188647746242,242475430970.6313,8.372652519028634e-05,850.0,1,9.2
337,112.02927927927927,16.90385698198198,239626333337.63818,8.372652519028634e-05,850.0,1,9.3
338,112.04591836734694,16.894699546485263,237995261429.85498,0.00010930756980087608,850.0,1,9.4
339,112.05347826086957,16.902173913043477,232746542841.90735,0.00010930756980087608,850.0,1,9.5
340,112.00912838633687,16.911808009422852,229122117748.62442,0.00010930756980087608,850.0,1,9.6
341,112.00722713864307,16.91504424778761,228720970289.02255,0.00010930756980087608,850.0,1,9.7
342,112.04243259803923,16.92999387254902,220240502626.18683,0.00012849239283241332,850.0,1,9.8
343,112.05758426966293,16.945224719101123,216183348757.01263,0.00014249683590605855,850.0,1,9.9
344,112.03067678684377,16.938804554079695,213345635384.82056,0.00015756422362755984,850.0,1,10.0
345,112.02360026041667,16.98828125,207337381399.98093,0.00015756422362755984,850.0,1,10.1
346,112.04224652087476,16.98426110006627,203684382115.89465,0.0001780499005690217,850.0,1,10.2
347,112.06991951710262,16.97501676727029,201255881980.41565,0.0001780499005690217,850.0,1,10.3
348,112.09523809523809,16.969047619047622,198413740821.31427,0.0001780499005690217,850.0,1,10.4
349,112.09756515775034,16.958676268861453,196784335535.45306,0.0001780499005690217,850.0,1,10.5
350,112.11272475795298,16.967842323651453,195180292686.34332,0.0001780499005690217,850.0,1,10.6
351,112.13115330520394,16.985583684950775,191957112340.79355,0.00018357206135988235,850.0,1,10.7
352,112.15244780417567,16.985241180705543,187499423429.77255,0.00018357206135988235,850.0,1,10.8
353,112.1924208977189,16.97130242825607,183434239757.40192,0.00018357206135988235,850.0,1,10.9
354,112.14715909090908,16.96439393939394,178161891657.44818,0.00021117672440595925,850.0,1,11.0
355,112.13268049155147,16.96466973886329,175727109729.90375,0.00021117672440595925,850.0,1,11.1
356,112.16786858974359,16.991185897435898,168463193256.66806,0.00021117672440595925,850.0,1,11.2
357,112.15133171912834,16.997376916868443,167255842474.5867,0.00022881121549289674,850.0,1,11.3
358,112.15322580645162,16.968775847808107,163182647857.21024,0.00024316222697962075,850.0,1,11.4
359,112.154821280133,16.971945137157107,162376966802.83347,0.00024408387253060937,850.0,1,11.5
360,112.15912897822446,16.961474036850923,161152210309.42535,0.00024408387253060937,850.0,1,11.6
361,112.16561712846348,16.960747271200674,160745308444.24066,0.00024408387253060937,850.0,1,11.7
362,112.19515306122449,16.96343537414966,158723923299.78674,0.00024408387253060937,850.0,1,11.8
363,112.24238468233247,16.973672758920802,155078607140.4065,0.00024408387253060937,850.0,1,11.9
364,112.24238468233247,16.973672758920802,155078607140.4065,0.00024408387253060937,850.0,1,12.0
365,112.22751322751323,16.98015873015873,153067267126.24927,0.00024408387253060937,850.0,1,12.1
366,112.23667570009034,16.960027100271002,149411984550.66962,0.0002474969660397619,850.0,1,12.2
367,112.23958333333333,16.96376811594203,149009873322.758,0.0002474969660397619,850.0,1,12.3
368,112.20519962859795,16.9533426183844,145353576237.3386,0.00027258609770797193,850.0,1,12.4
369,112.19209039548022,16.951741996233523,143331441068.21185,0.0002846790011972189,850.0,1,12.5
370,112.20336174242425,16.947916666666668,142516482542.0075,0.0002846790011972189,850.0,1,12.6
371,112.19020172910663,16.962536023054756,140501389848.74762,0.0002846790011972189,850.0,1,12.7
372,112.22214003944774,16.964743589743588,136860164189.20294,0.0002846790011972189,850.0,1,12.8
373,112.23487103174602,16.964533730158728,136050765675.64069,0.0002846790011972189,850.0,1,12.9
374,112.23980099502488,16.96741293532338,135647151220.89084,0.0002846790011972189,850.0,1,13.0
375,112.2906378600823,16.954218106995885,131181815625.074,0.0002846790011972189,850.0,1,13.1
376,112.2906378600823,16.954218106995885,131181815625.074,0.0002846790011972189,850.0,1,13.2
377,112.27786458333333,16.939583333333335,129551386689.44965,0.0002846790011972189,850.0,1,13.3
378,112.27306079664571,16.933962264150942,128736381370.54227,0.00029878373607061803,850.0,1,13.4
