level,value,number_of_labels,label
400.0,0.0,7,28
400.0,0.0,7,29
400.0,0.0,7,30
400.0,0.0,7,32
400.0,0.0,7,56
400.0,0.0,7,63
400.0,0.0,7,67
400.0,0.1,9,7
400.0,0.1,9,17
400.0,0.1,9,31
400.0,0.1,9,32
400.0,0.1,9,33
400.0,0.1,9,34
400.0,0.1,9,56
400.0,0.1,9,63
400.0,0.1,9,66
400.0,0.2,10,8
400.0,0.2,10,19
400.0,0.2,10,28
400.0,0.2,10,29
400.0,0.2,10,32
400.0,0.2,10,54
400.0,0.2,10,60
400.0,0.2,10,62
400.0,0.2,10,68
400.0,0.2,10,69
400.0,0.3,9,20
400.0,0.3,9,23
400.0,0.3,9,25
400.0,0.3,9,26
400.0,0.3,9,49
400.0,0.3,9,53
400.0,0.3,9,55
400.0,0.3,9,60
400.0,0.3,9,61
400.0,0.4,9,21
400.0,0.4,9,25
400.0,0.4,9,26
400.0,0.4,9,27
400.0,0.4,9,48
400.0,0.4,9,54
400.0,0.4,9,56
400.0,0.4,9,62
400.0,0.4,9,63
400.0,0.5,9,18
400.0,0.5,9,23
400.0,0.5,9,24
400.0,0.5,9,25
400.0,0.5,9,49
400.0,0.5,9,51
400.0,0.5,9,59
400.0,0.5,9,61
400.0,0.5,9,75
400.0,0.6,9,18
400.0,0.6,9,20
400.0,0.6,9,30
400.0,0.6,9,43
400.0,0.6,9,47
400.0,0.6,9,49
400.0,0.6,9,59
400.0,0.6,9,61
400.0,0.6,9,72
400.0,0.7,7,18
400.0,0.7,7,23
400.0,0.7,7,33
400.0,0.7,7,47
400.0,0.7,7,50
400.0,0.7,7,52
400.0,0.7,7,61
400.0,0.8,10,5
400.0,0.8,10,11
400.0,0.8,10,18
400.0,0.8,10,26
400.0,0.8,10,38
400.0,0.8,10,43
400.0,0.8,10,52
400.0,0.8,10,57
400.0,0.8,10,59
400.0,0.8,10,68
400.0,0.9,10,4
400.0,0.9,10,11
400.0,0.9,10,19
400.0,0.9,10,25
400.0,0.9,10,41
400.0,0.9,10,45
400.0,0.9,10,51
400.0,0.9,10,57
400.0,0.9,10,59
400.0,0.9,10,67
400.0,1.0,9,9
400.0,1.0,9,19
400.0,1.0,9,33
400.0,1.0,9,39
400.0,1.0,9,43
400.0,1.0,9,50
400.0,1.0,9,55
400.0,1.0,9,58
400.0,1.0,9,68
400.0,1.1,10,11
400.0,1.1,10,18
400.0,1.1,10,27
400.0,1.1,10,40
400.0,1.1,10,48
400.0,1.1,10,52
400.0,1.1,10,60
400.0,1.1,10,63
400.0,1.1,10,66
400.0,1.1,10,75
400.0,1.2,11,12
400.0,1.2,11,13
400.0,1.2,11,18
400.0,1.2,11,22
400.0,1.2,11,34
400.0,1.2,11,56
400.0,1.2,11,60
400.0,1.2,11,68
400.0,1.2,11,69
400.0,1.2,11,72
400.0,1.2,11,82
400.0,1.3,13,11
400.0,1.3,13,12
400.0,1.3,13,16
400.0,1.3,13,22
400.0,1.3,13,27
400.0,1.3,13,29
400.0,1.3,13,37
400.0,1.3,13,44
400.0,1.3,13,58
400.0,1.3,13,72
400.0,1.3,13,74
400.0,1.3,13,78
400.0,1.3,13,89
400.0,1.4,13,11
400.0,1.4,13,12
400.0,1.4,13,20
400.0,1.4,13,23
400.0,1.4,13,28
400.0,1.4,13,34
400.0,1.4,13,36
400.0,1.4,13,44
400.0,1.4,13,54
400.0,1.4,13,63
400.0,1.4,13,76
400.0,1.4,13,77
400.0,1.4,13,93
400.0,1.5,11,11
400.0,1.5,11,24
400.0,1.5,11,30
400.0,1.5,11,37
400.0,1.5,11,38
400.0,1.5,11,46
400.0,1.5,11,57
400.0,1.5,11,60
400.0,1.5,11,65
400.0,1.5,11,80
400.0,1.5,11,97
400.0,1.6,11,12
400.0,1.6,11,23
400.0,1.6,11,25
400.0,1.6,11,31
400.0,1.6,11,38
400.0,1.6,11,46
400.0,1.6,11,50
400.0,1.6,11,54
400.0,1.6,11,65
400.0,1.6,11,80
400.0,1.6,11,85
400.0,1.7,10,12
400.0,1.7,10,20
400.0,1.7,10,26
400.0,1.7,10,38
400.0,1.7,10,45
400.0,1.7,10,50
