level,value,number_of_labels,label 
1000.000, 0.00,7,5  
1000.000, 0.00,7,6  
1000.000, 0.00,7,14  
1000.000, 0.00,7,16  
1000.000, 0.00,7,17  
1000.000, 0.00,7,19  
1000.000, 0.00,7,24  
900.000, 0.00,3,8  
900.000, 0.00,3,10  
900.000, 0.00,3,15  
850.000, 0.00,5,6  
850.000, 0.00,5,15  
850.000, 0.00,5,19  
850.000, 0.00,5,29  
850.000, 0.00,5,36  
800.000, 0.00,3,14  
800.000, 0.00,3,29  
800.000, 0.00,3,31  
750.000, 0.00,3,4  
750.000, 0.00,3,12  
750.000, 0.00,3,20  
700.000, 0.00,1,8  
650.000, 0.00,2,11  
650.000, 0.00,2,14  
600.000, 0.00,4,8  
600.000, 0.00,4,10  
600.000, 0.00,4,11  
600.000, 0.00,4,13  
500.000, 0.00,3,3  
500.000, 0.00,3,35  
500.000, 0.00,3,38  
400.000, 0.00,7,23  
400.000, 0.00,7,28  
400.000, 0.00,7,31  
400.000, 0.00,7,38  
400.000, 0.00,7,64  
400.000, 0.00,7,67  
400.000, 0.00,7,69  
300.000, 0.00,9,9  
300.000, 0.00,9,20  
300.000, 0.00,9,26  
300.000, 0.00,9,32  
300.000, 0.00,9,38  
300.000, 0.00,9,46  
300.000, 0.00,9,47  
300.000, 0.00,9,61  
300.000, 0.00,9,76  
1000.000, 0.10,7,5  
1000.000, 0.10,7,6  
1000.000, 0.10,7,14  
1000.000, 0.10,7,16  
1000.000, 0.10,7,17  
1000.000, 0.10,7,19  
1000.000, 0.10,7,23  
900.000, 0.10,4,9  
900.000, 0.10,4,11  
900.000, 0.10,4,16  
900.000, 0.10,4,20  
850.000, 0.10,6,6  
850.000, 0.10,6,13  
850.000, 0.10,6,18  
850.000, 0.10,6,22  
850.000, 0.10,6,32  
850.000, 0.10,6,38  
800.000, 0.10,2,25  
800.000, 0.10,2,27  
750.000, 0.10,5,5  
750.000, 0.10,5,11  
750.000, 0.10,5,22  
750.000, 0.10,5,25  
750.000, 0.10,5,26  
700.000, 0.10,2,8  
700.000, 0.10,2,18  
650.000, 0.10,2,8  
650.000, 0.10,2,10  
600.000, 0.10,2,9  
600.000, 0.10,2,19  
500.000, 0.10,3,3  
500.000, 0.10,3,50  
500.000, 0.10,3,62  
400.000, 0.10,10,30  
400.000, 0.10,10,32  
400.000, 0.10,10,34  
400.000, 0.10,10,36  
400.000, 0.10,10,42  
400.000, 0.10,10,51  
400.000, 0.10,10,53  
400.000, 0.10,10,61  
400.000, 0.10,10,68  
400.000, 0.10,10,71  
300.000, 0.10,7,9  
300.000, 0.10,7,18  
300.000, 0.10,7,24  
300.000, 0.10,7,27  
300.000, 0.10,7,34  
300.000, 0.10,7,42  
300.000, 0.10,7,73  
1000.000, 0.20,8,5  
1000.000, 0.20,8,6  
1000.000, 0.20,8,12  
1000.000, 0.20,8,14  
1000.000, 0.20,8,15  
1000.000, 0.20,8,16  
1000.000, 0.20,8,18  
1000.000, 0.20,8,21  
900.000, 0.20,4,8  
900.000, 0.20,4,9  
900.000, 0.20,4,16  
900.000, 0.20,4,21  
850.000, 0.20,7,6  
850.000, 0.20,7,9  
850.000, 0.20,7,15  
850.000, 0.20,7,18  
850.000, 0.20,7,21  
850.000, 0.20,7,33  
850.000, 0.20,7,37  
800.000, 0.20,2,24  
800.000, 0.20,2,26  
750.000, 0.20,5,6  
750.000, 0.20,5,11  
750.000, 0.20,5,12  
750.000, 0.20,5,24  
750.000, 0.20,5,25  
700.000, 0.20,5,8  
700.000, 0.20,5,14  
700.000, 0.20,5,17  
700.000, 0.20,5,20  
700.000, 0.20,5,21  
650.000, 0.20,2,5  
650.000, 0.20,2,17  
600.000, 0.20,4,11  
600.000, 0.20,4,13  
600.000, 0.20,4,20  
600.000, 0.20,4,22  
500.000, 0.20,2,53  
500.000, 0.20,2,67  
400.000, 0.20,13,10  
400.000, 0.20,13,26  
400.000, 0.20,13,28  
400.000, 0.20,13,33  
400.000, 0.20,13,35  
400.000, 0.20,13,44  
400.000, 0.20,13,54  
400.000, 0.20,13,55  
400.000, 0.20,13,61  
400.000, 0.20,13,66  
400.000, 0.20,13,68  
400.000, 0.20,13,78  
400.000, 0.20,13,81  
300.000, 0.20,6,9  
300.000, 0.20,6,20  
300.000, 0.20,6,29  
300.000, 0.20,6,32  
300.000, 0.20,6,39  
300.000, 0.20,6,48  
1000.000, 0.30,7,4  
1000.000, 0.30,7,5  
1000.000, 0.30,7,12  
1000.000, 0.30,7,16  
1000.000, 0.30,7,17  
1000.000, 0.30,7,20  
1000.000, 0.30,7,23  
900.000, 0.30,4,7  
900.000, 0.30,4,8  
900.000, 0.30,4,14  
900.000, 0.30,4,18  
850.000, 0.30,7,6  
850.000, 0.30,7,19  
850.000, 0.30,7,21  
850.000, 0.30,7,33  
850.000, 0.30,7,37  
850.000, 0.30,7,39  
850.000, 0.30,7,43  
800.000, 0.30,3,24  
800.000, 0.30,3,25  
800.000, 0.30,3,29  
750.000, 0.30,5,4  
750.000, 0.30,5,8  
750.000, 0.30,5,9  
750.000, 0.30,5,15  
750.000, 0.30,5,17  
700.000, 0.30,5,7  
700.000, 0.30,5,13  
700.000, 0.30,5,16  
700.000, 0.30,5,17  
700.000, 0.30,5,18  
650.000, 0.30,4,5  
650.000, 0.30,4,13  
650.000, 0.30,4,14  
650.000, 0.30,4,18  
600.000, 0.30,6,9  
600.000, 0.30,6,10  
600.000, 0.30,6,14  
600.000, 0.30,6,15  
600.000, 0.30,6,18  
600.000, 0.30,6,22  
500.000, 0.30,2,42  
500.000, 0.30,2,55  
400.000, 0.30,11,8  
400.000, 0.30,11,14  
400.000, 0.30,11,29  
400.000, 0.30,11,30  
400.000, 0.30,11,34  
400.000, 0.30,11,38  
400.000, 0.30,11,48  
400.000, 0.30,11,57  
400.000, 0.30,11,58  
400.000, 0.30,11,70  
400.000, 0.30,11,86  
300.000, 0.30,7,10  
300.000, 0.30,7,25  
300.000, 0.30,7,34  
300.000, 0.30,7,36  
300.000, 0.30,7,43  
300.000, 0.30,7,55  
300.000, 0.30,7,77  
1000.000, 0.40,7,4  
1000.000, 0.40,7,5  
1000.000, 0.40,7,12  
1000.000, 0.40,7,16  
1000.000, 0.40,7,18  
1000.000, 0.40,7,22  
1000.000, 0.40,7,25  
900.000, 0.40,3,11  
900.000, 0.40,3,20  
900.000, 0.40,3,23  
850.000, 0.40,8,6  
850.000, 0.40,8,14  
850.000, 0.40,8,27  
850.000, 0.40,8,35  
850.000, 0.40,8,37  
850.000, 0.40,8,40  
850.000, 0.40,8,41  
850.000, 0.40,8,46  
800.000, 0.40,4,23  
800.000, 0.40,4,24  
800.000, 0.40,4,28  
800.000, 0.40,4,32  
750.000, 0.40,7,5  
750.000, 0.40,7,13  
750.000, 0.40,7,15  
750.000, 0.40,7,20  
750.000, 0.40,7,22  
750.000, 0.40,7,24  
750.000, 0.40,7,26  
700.000, 0.40,6,8  
700.000, 0.40,6,12  
700.000, 0.40,6,17  
700.000, 0.40,6,21  
700.000, 0.40,6,22  
700.000, 0.40,6,23  
650.000, 0.40,4,4  
650.000, 0.40,4,8  
650.000, 0.40,4,10  
650.000, 0.40,4,15  
600.000, 0.40,5,10  
600.000, 0.40,5,23  
600.000, 0.40,5,26  
600.000, 0.40,5,28  
600.000, 0.40,5,33  
500.000, 0.40,3,21  
500.000, 0.40,3,32  
500.000, 0.40,3,40  
400.000, 0.40,9,7  
400.000, 0.40,9,14  
400.000, 0.40,9,31  
400.000, 0.40,9,34  
400.000, 0.40,9,40  
400.000, 0.40,9,47  
400.000, 0.40,9,56  
400.000, 0.40,9,57  
400.000, 0.40,9,87  
300.000, 0.40,9,9  
300.000, 0.40,9,18  
300.000, 0.40,9,26  
300.000, 0.40,9,27  
300.000, 0.40,9,35  
300.000, 0.40,9,39  
300.000, 0.40,9,49  
300.000, 0.40,9,65  
300.000, 0.40,9,71  
1000.000, 0.50,8,4  
1000.000, 0.50,8,5  
1000.000, 0.50,8,12  
1000.000, 0.50,8,18  
1000.000, 0.50,8,20  
1000.000, 0.50,8,21  
1000.000, 0.50,8,24  
1000.000, 0.50,8,27  
900.000, 0.50,4,6  
900.000, 0.50,4,11  
900.000, 0.50,4,21  
900.000, 0.50,4,24  
850.000, 0.50,9,7  
850.000, 0.50,9,16  
850.000, 0.50,9,30  
850.000, 0.50,9,33  
850.000, 0.50,9,34  
850.000, 0.50,9,39  
850.000, 0.50,9,40  
850.000, 0.50,9,46  
850.000, 0.50,9,67  
800.000, 0.50,6,9  
800.000, 0.50,6,10  
800.000, 0.50,6,21  
800.000, 0.50,6,22  
800.000, 0.50,6,26  
800.000, 0.50,6,28  
750.000, 0.50,7,5  
750.000, 0.50,7,6  
750.000, 0.50,7,14  
750.000, 0.50,7,19  
750.000, 0.50,7,21  
750.000, 0.50,7,22  
750.000, 0.50,7,24  
700.000, 0.50,5,13  
700.000, 0.50,5,19  
700.000, 0.50,5,23  
700.000, 0.50,5,25  
700.000, 0.50,5,27  
650.000, 0.50,4,6  
650.000, 0.50,4,8  
650.000, 0.50,4,15  
650.000, 0.50,4,24  
600.000, 0.50,5,12  
600.000, 0.50,5,22  
600.000, 0.50,5,25  
600.000, 0.50,5,27  
600.000, 0.50,5,32  
500.000, 0.50,2,21  
500.000, 0.50,2,31  
400.000, 0.50,7,7  
400.000, 0.50,7,31  
400.000, 0.50,7,34  
400.000, 0.50,7,43  
400.000, 0.50,7,49  
400.000, 0.50,7,56  
400.000, 0.50,7,89  
300.000, 0.50,10,8  
300.000, 0.50,10,17  
300.000, 0.50,10,23  
300.000, 0.50,10,27  
300.000, 0.50,10,33  
300.000, 0.50,10,38  
300.000, 0.50,10,41  
300.000, 0.50,10,51  
300.000, 0.50,10,68  
300.000, 0.50,10,74  
1000.000, 0.60,7,4  
1000.000, 0.60,7,5  
1000.000, 0.60,7,15  
1000.000, 0.60,7,21  
1000.000, 0.60,7,22  
1000.000, 0.60,7,26  
1000.000, 0.60,7,28  
900.000, 0.60,4,4  
900.000, 0.60,4,7  
900.000, 0.60,4,15  
900.000, 0.60,4,21  
850.000, 0.60,7,5  
850.000, 0.60,7,28  
850.000, 0.60,7,31  
850.000, 0.60,7,32  
850.000, 0.60,7,34  
850.000, 0.60,7,35  
850.000, 0.60,7,38  
800.000, 0.60,7,10  
800.000, 0.60,7,15  
800.000, 0.60,7,21  
800.000, 0.60,7,22  
800.000, 0.60,7,25  
800.000, 0.60,7,28  
800.000, 0.60,7,29  
750.000, 0.60,7,9  
750.000, 0.60,7,16  
750.000, 0.60,7,19  
750.000, 0.60,7,22  
750.000, 0.60,7,23  
750.000, 0.60,7,24  
750.000, 0.60,7,29  
700.000, 0.60,3,19  
700.000, 0.60,3,21  
700.000, 0.60,3,23  
650.000, 0.60,5,5  
650.000, 0.60,5,8  
650.000, 0.60,5,9  
650.000, 0.60,5,14  
650.000, 0.60,5,16  
600.000, 0.60,6,17  
600.000, 0.60,6,23  
600.000, 0.60,6,25  
600.000, 0.60,6,27  
600.000, 0.60,6,32  
600.000, 0.60,6,35  
500.000, 0.60,2,26  
500.000, 0.60,2,36  
400.000, 0.60,5,7  
400.000, 0.60,5,22  
400.000, 0.60,5,44  
400.000, 0.60,5,50  
400.000, 0.60,5,54  
300.000, 0.60,10,10  
300.000, 0.60,10,21  
300.000, 0.60,10,23  
300.000, 0.60,10,28  
300.000, 0.60,10,29  
300.000, 0.60,10,39  
300.000, 0.60,10,42  
300.000, 0.60,10,44  
300.000, 0.60,10,53  
300.000, 0.60,10,76  
1000.000, 0.70,7,4  
1000.000, 0.70,7,5  
1000.000, 0.70,7,13  
1000.000, 0.70,7,14  
1000.000, 0.70,7,15  
1000.000, 0.70,7,18  
1000.000, 0.70,7,19  
