level,value,number_of_labels,label
300.0,0.0,4,4
300.0,0.0,4,6
300.0,0.0,4,12
300.0,0.0,4,25
300.0,0.1,4,5
300.0,0.1,4,7
300.0,0.1,4,15
300.0,0.1,4,28
300.0,0.2,5,4
300.0,0.2,5,13
300.0,0.2,5,28
300.0,0.2,5,29
300.0,0.2,5,37
300.0,0.3,6,4
300.0,0.3,6,13
300.0,0.3,6,15
300.0,0.3,6,34
300.0,0.3,6,37
300.0,0.3,6,48
300.0,0.4,6,4
300.0,0.4,6,14
300.0,0.4,6,15
300.0,0.4,6,30
300.0,0.4,6,38
300.0,0.4,6,44
300.0,0.5,6,4
300.0,0.5,6,14
300.0,0.5,6,15
300.0,0.5,6,29
300.0,0.5,6,38
300.0,0.5,6,40
300.0,0.6,6,5
300.0,0.6,6,8
300.0,0.6,6,16
300.0,0.6,6,18
300.0,0.6,6,32
300.0,0.6,6,38
300.0,0.7,5,5
300.0,0.7,5,9
300.0,0.7,5,14
300.0,0.7,5,16
300.0,0.7,5,41
300.0,0.8,5,5
300.0,0.8,5,8
300.0,0.8,5,14
300.0,0.8,5,16
300.0,0.8,5,39
300.0,0.9,5,6
300.0,0.9,5,9
300.0,0.9,5,13
300.0,0.9,5,14
300.0,0.9,5,34
300.0,1.0,6,6
300.0,1.0,6,8
300.0,1.0,6,12
300.0,1.0,6,14
300.0,1.0,6,16
300.0,1.0,6,34
300.0,1.1,5,14
300.0,1.1,5,15
300.0,1.1,5,17
300.0,1.1,5,18
300.0,1.1,5,37
300.0,1.2,5,12
300.0,1.2,5,13
300.0,1.2,5,17
300.0,1.2,5,19
300.0,1.2,5,38
300.0,1.3,6,11
300.0,1.3,6,13
300.0,1.3,6,17
300.0,1.3,6,19
300.0,1.3,6,34
300.0,1.3,6,35
300.0,1.4,7,6
300.0,1.4,7,7
300.0,1.4,7,9
300.0,1.4,7,13
300.0,1.4,7,14
300.0,1.4,7,17
300.0,1.4,7,28
300.0,1.5,6,9
300.0,1.5,6,10
300.0,1.5,6,14
300.0,1.5,6,19
300.0,1.5,6,21
300.0,1.5,6,32
300.0,1.6,5,10
300.0,1.6,5,13
300.0,1.6,5,17
300.0,1.6,5,19
300.0,1.6,5,33
300.0,1.7,7,10
300.0,1.7,7,11
300.0,1.7,7,14
300.0,1.7,7,19
300.0,1.7,7,21
300.0,1.7,7,30
300.0,1.7,7,37
300.0,1.8,6,11
300.0,1.8,6,13
300.0,1.8,6,19
300.0,1.8,6,20
300.0,1.8,6,27
300.0,1.8,6,35
300.0,1.9,6,12
300.0,1.9,6,14
300.0,1.9,6,17
300.0,1.9,6,18
300.0,1.9,6,25
300.0,1.9,6,36
300.0,2.0,5,7
300.0,2.0,5,11
300.0,2.0,5,14
300.0,2.0,5,17
300.0,2.0,5,33
300.0,2.1,4,6
300.0,2.1,4,13
300.0,2.1,4,14
300.0,2.1,4,35
300.0,2.2,5,7
300.0,2.2,5,12
300.0,2.2,5,13
300.0,2.2,5,20
300.0,2.2,5,32
300.0,2.3,7,7
300.0,2.3,7,12
300.0,2.3,7,13
300.0,2.3,7,15
300.0,2.3,7,17
300.0,2.3,7,22
300.0,2.3,7,34
300.0,2.4,7,6
300.0,2.4,7,9
300.0,2.4,7,10
300.0,2.4,7,17
300.0,2.4,7,23
300.0,2.4,7,38
300.0,2.4,7,39
300.0,2.5,6,5
300.0,2.5,6,7
300.0,2.5,6,8
300.0,2.5,6,24
300.0,2.5,6,40
300.0,2.5,6,44
300.0,2.6,6,6
300.0,2.6,6,8
300.0,2.6,6,9
300.0,2.6,6,25
300.0,2.6,6,43
300.0,2.6,6,48
300.0,2.7,6,3
300.0,2.7,6,5
300.0,2.7,6,6
300.0,2.7,6,23
300.0,2.7,6,39
300.0,2.7,6,44
300.0,2.8,6,2
300.0,2.8,6,6
300.0,2.8,6,8
300.0,2.8,6,23
300.0,2.8,6,40
300.0,2.8,6,47
300.0,2.9,5,2
300.0,2.9,5,6
300.0,2.9,5,8
300.0,2.9,5,23
300.0,2.9,5,45
300.0,3.0,5,3
300.0,3.0,5,6
300.0,3.0,5,7
300.0,3.0,5,19
300.0,3.0,5,40
300.0,3.1,5,3
300.0,3.1,5,5
300.0,3.1,5,7
300.0,3.1,5,17
300.0,3.1,5,36
300.0,3.2,4,4
300.0,3.2,4,6
300.0,3.2,4,9
300.0,3.2,4,34
300.0,3.3,4,4
300.0,3.3,4,6
300.0,3.3,4,9
300.0,3.3,4,33
300.0,3.4,5,3
300.0,3.4,5,5
300.0,3.4,5,9
300.0,3.4,5,11
300.0,3.4,5,33
300.0,3.5,6,3
300.0,3.5,6,5
300.0,3.5,6,8
300.0,3.5,6,9
300.0,3.5,6,10
300.0,3.5,6,35
300.0,3.6,6,4
300.0,3.6,6,12
300.0,3.6,6,13
300.0,3.6,6,14
300.0,3.6,6,15
300.0,3.6,6,45
300.0,3.7,6,4
300.0,3.7,6,11
300.0,3.7,6,13
300.0,3.7,6,14
300.0,3.7,6,15
300.0,3.7,6,18
300.0,3.8,6,3
300.0,3.8,6,9
300.0,3.8,6,10
300.0,3.8,6,11
300.0,3.8,6,13
300.0,3.8,6,15
300.0,3.9,5,7
300.0,3.9,5,8
300.0,3.9,5,9
300.0,3.9,5,10
300.0,3.9,5,13
300.0,4.0,4,7
300.0,4.0,4,8
300.0,4.0,4,12
300.0,4.0,4,13
300.0,4.1,4,6
300.0,4.1,4,8
300.0,4.1,4,9
300.0,4.1,4,16
300.0,4.2,4,5
300.0,4.2,4,7
300.0,4.2,4,8
300.0,4.2,4,9
300.0,4.3,4,5
300.0,4.3,4,6
300.0,4.3,4,7
300.0,4.3,4,8
300.0,4.4,4,4
300.0,4.4,4,5
300.0,4.4,4,10
300.0,4.4,4,15
300.0,4.5,3,5
300.0,4.5,3,6
300.0,4.5,3,18
300.0,4.6,3,2
300.0,4.6,3,6
300.0,4.6,3,15
300.0,4.7,4,2
300.0,4.7,4,5
300.0,4.7,4,15
300.0,4.7,4,24
300.0,4.8,4,1
300.0,4.8,4,4
300.0,4.8,4,11
300.0,4.8,4,21
300.0,4.9,4,1
300.0,4.9,4,5
300.0,4.9,4,14
300.0,4.9,4,23
300.0,5.0,4,1
300.0,5.0,4,4
300.0,5.0,4,11
300.0,5.0,4,22
300.0,5.1,4,1
300.0,5.1,4,6
300.0,5.1,4,7
300.0,5.1,4,18
300.0,5.2,4,1
300.0,5.2,4,4
300.0,5.2,4,5
300.0,5.2,4,14
300.0,5.3,3,1
300.0,5.3,3,4
300.0,5.3,3,13
300.0,5.4,4,1
300.0,5.4,4,7
300.0,5.4,4,9
300.0,5.4,4,16
300.0,5.5,3,1
300.0,5.5,3,7
300.0,5.5,3,18
300.0,5.6,3,1
300.0,5.6,3,6
300.0,5.6,3,16
300.0,5.7,3,1
300.0,5.7,3,4
300.0,5.7,3,11
300.0,5.8,3,1
300.0,5.8,3,4
300.0,5.8,3,13
300.0,5.9,3,1
300.0,5.9,3,3
300.0,5.9,3,12
300.0,6.0,3,1
300.0,6.0,3,3
300.0,6.0,3,14
300.0,6.1,4,1
300.0,6.1,4,3
300.0,6.1,4,11
300.0,6.1,4,12
300.0,6.2,4,1
300.0,6.2,4,3
300.0,6.2,4,12
300.0,6.2,4,13
300.0,6.3,4,1
300.0,6.3,4,3
300.0,6.3,4,11
300.0,6.3,4,12
300.0,6.4,4,1
300.0,6.4,4,3
300.0,6.4,4,11
300.0,6.4,4,12
300.0,6.5,4,1
300.0,6.5,4,3
300.0,6.5,4,12
300.0,6.5,4,14
300.0,6.6,4,1
300.0,6.6,4,3
300.0,6.6,4,14
300.0,6.6,4,15
300.0,6.7,3,1
300.0,6.7,3,12
300.0,6.7,3,13
300.0,6.8,3,2
300.0,6.8,3,12
300.0,6.8,3,13
300.0,6.9,3,2
300.0,6.9,3,11
300.0,6.9,3,12
300.0,7.0,3,2
300.0,7.0,3,8
300.0,7.0,3,9
300.0,7.1,3,1
300.0,7.1,3,8
300.0,7.1,3,9
300.0,7.2,3,1
300.0,7.2,3,9
300.0,7.2,3,10
300.0,7.3,4,1
300.0,7.3,4,9
300.0,7.3,4,10
300.0,7.3,4,11
300.0,7.4,4,1
300.0,7.4,4,9
300.0,7.4,4,10
300.0,7.4,4,12
300.0,7.5,4,1
