level,value,number_of_labels,label
500.0,0.0,2,12
500.0,0.0,2,25
500.0,0.1,2,10
500.0,0.1,2,23
500.0,0.2,1,21
500.0,0.3,1,20
500.0,0.4,1,18
500.0,0.5,1,20
500.0,1.3,2,5
500.0,1.3,2,20
500.0,1.4,4,2
500.0,1.4,4,5
500.0,1.4,4,15
500.0,1.4,4,23
500.0,1.5,4,2
500.0,1.5,4,4
500.0,1.5,4,17
500.0,1.5,4,22
500.0,1.6,4,2
500.0,1.6,4,4
500.0,1.6,4,14
500.0,1.6,4,20
500.0,1.7,4,2
500.0,1.7,4,4
500.0,1.7,4,14
500.0,1.7,4,21
500.0,1.8,4,2
500.0,1.8,4,4
500.0,1.8,4,18
500.0,1.8,4,26
500.0,1.9,6,2
500.0,1.9,6,4
500.0,1.9,6,5
500.0,1.9,6,10
500.0,1.9,6,20
500.0,1.9,6,25
500.0,2.0,5,2
500.0,2.0,5,4
500.0,2.0,5,12
500.0,2.0,5,22
500.0,2.0,5,26
500.0,2.1,5,2
500.0,2.1,5,4
500.0,2.1,5,9
500.0,2.1,5,18
500.0,2.1,5,32
500.0,2.2,4,2
500.0,2.2,4,4
500.0,2.2,4,8
500.0,2.2,4,17
500.0,2.3,3,2
500.0,2.3,3,8
500.0,2.3,3,16
500.0,2.4,3,2
500.0,2.4,3,4
500.0,2.4,3,15
500.0,2.5,3,2
500.0,2.5,3,5
500.0,2.5,3,16
500.0,2.6,2,2
500.0,2.6,2,5
500.0,2.7,2,2
500.0,2.7,2,4
500.0,2.8,2,3
500.0,2.8,2,5
500.0,2.9,1,2
500.0,3.0,3,2
500.0,3.0,3,5
500.0,3.0,3,13
500.0,3.1,5,2
500.0,3.1,5,6
500.0,3.1,5,10
500.0,3.1,5,14
500.0,3.1,5,19
500.0,3.2,3,2
500.0,3.2,3,5
500.0,3.2,3,16
500.0,3.3,3,2
500.0,3.3,3,6
500.0,3.3,3,19
500.0,3.4,3,2
500.0,3.4,3,7
500.0,3.4,3,21
500.0,3.5,4,1
500.0,3.5,4,5
500.0,3.5,4,12
500.0,3.5,4,25
500.0,3.6,5,1
500.0,3.6,5,5
500.0,3.6,5,7
500.0,3.6,5,14
500.0,3.6,5,23
500.0,3.7,7,1
500.0,3.7,7,2
500.0,3.7,7,5
500.0,3.7,7,6
500.0,3.7,7,9
500.0,3.7,7,13
500.0,3.7,7,24
500.0,3.8,6,1
500.0,3.8,6,2
500.0,3.8,6,5
500.0,3.8,6,7
500.0,3.8,6,14
500.0,3.8,6,23
500.0,3.9,6,1
500.0,3.9,6,2
500.0,3.9,6,4
500.0,3.9,6,6
500.0,3.9,6,13
500.0,3.9,6,24
500.0,4.0,6,1
500.0,4.0,6,2
500.0,4.0,6,4
500.0,4.0,6,10
500.0,4.0,6,15
500.0,4.0,6,24
500.0,4.1,6,1
500.0,4.1,6,2
500.0,4.1,6,3
500.0,4.1,6,15
500.0,4.1,6,16
500.0,4.1,6,25
500.0,4.2,7,2
500.0,4.2,7,3
500.0,4.2,7,4
500.0,4.2,7,15
500.0,4.2,7,16
500.0,4.2,7,17
500.0,4.2,7,23
500.0,4.3,7,2
500.0,4.3,7,3
500.0,4.3,7,5
500.0,4.3,7,13
500.0,4.3,7,14
500.0,4.3,7,15
500.0,4.3,7,22
500.0,4.4,7,1
500.0,4.4,7,2
500.0,4.4,7,5
500.0,4.4,7,12
500.0,4.4,7,13
500.0,4.4,7,16
500.0,4.4,7,25
500.0,4.5,6,1
500.0,4.5,6,2
500.0,4.5,6,6
500.0,4.5,6,9
500.0,4.5,6,14
500.0,4.5,6,20
500.0,4.6,7,1
500.0,4.6,7,5
500.0,4.6,7,7
500.0,4.6,7,12
500.0,4.6,7,14
500.0,4.6,7,18
500.0,4.6,7,21
500.0,4.7,7,1
500.0,4.7,7,4
500.0,4.7,7,5
500.0,4.7,7,9
500.0,4.7,7,11
500.0,4.7,7,18
500.0,4.7,7,22
500.0,4.8,6,1
500.0,4.8,6,5
500.0,4.8,6,13
500.0,4.8,6,14
500.0,4.8,6,17
500.0,4.8,6,21
500.0,4.9,6,1
500.0,4.9,6,7
500.0,4.9,6,13
500.0,4.9,6,14
500.0,4.9,6,18
500.0,4.9,6,22
500.0,5.0,6,1
500.0,5.0,6,8
500.0,5.0,6,18
500.0,5.0,6,19
500.0,5.0,6,25
500.0,5.0,6,29
500.0,5.1,6,1
500.0,5.1,6,8
500.0,5.1,6,14
500.0,5.1,6,15
500.0,5.1,6,25
500.0,5.1,6,28
500.0,5.2,6,1
500.0,5.2,6,8
500.0,5.2,6,11
500.0,5.2,6,12
500.0,5.2,6,20
500.0,5.2,6,23
500.0,5.3,5,1
500.0,5.3,5,12
500.0,5.3,5,13
500.0,5.3,5,21
500.0,5.3,5,24
500.0,5.4,5,1
500.0,5.4,5,9
500.0,5.4,5,10
500.0,5.4,5,18
500.0,5.4,5,20
500.0,5.5,5,1
500.0,5.5,5,7
500.0,5.5,5,8
500.0,5.5,5,13
500.0,5.5,5,15
500.0,5.6,4,1
