level,value,number_of_labels,label
800.0,0.0,4,4
800.0,0.0,4,28
800.0,0.0,4,30
800.0,0.0,4,36
800.0,0.1,4,4
800.0,0.1,4,28
800.0,0.1,4,35
800.0,0.1,4,38
800.0,0.2,4,4
800.0,0.2,4,24
800.0,0.2,4,32
800.0,0.2,4,35
800.0,0.3,3,6
800.0,0.3,3,27
800.0,0.3,3,36
800.0,0.4,2,7
800.0,0.4,2,20
800.0,0.5,3,7
800.0,0.5,3,11
800.0,0.5,3,19
800.0,0.6,3,7
800.0,0.6,3,13
800.0,0.6,3,25
800.0,0.7,3,6
800.0,0.7,3,12
800.0,0.7,3,19
800.0,0.8,2,7
800.0,0.8,2,19
800.0,0.9,3,7
800.0,0.9,3,14
800.0,0.9,3,22
800.0,1.0,3,7
800.0,1.0,3,13
800.0,1.0,3,23
800.0,1.1,4,7
800.0,1.1,4,10
800.0,1.1,4,13
800.0,1.1,4,24
800.0,1.2,4,12
800.0,1.2,4,15
800.0,1.2,4,22
800.0,1.2,4,27
800.0,1.3,4,8
800.0,1.3,4,11
800.0,1.3,4,18
800.0,1.3,4,22
800.0,1.4,3,5
800.0,1.4,3,16
800.0,1.4,3,21
800.0,1.5,2,4
800.0,1.5,2,18
800.0,1.6,3,6
800.0,1.6,3,20
800.0,1.6,3,22
800.0,1.7,3,3
800.0,1.7,3,16
800.0,1.7,3,17
800.0,1.8,4,3
800.0,1.8,4,8
800.0,1.8,4,16
800.0,1.8,4,17
800.0,1.9,3,9
800.0,1.9,3,17
800.0,1.9,3,20
800.0,2.0,3,7
800.0,2.0,3,8
800.0,2.0,3,14
800.0,2.1,3,7
800.0,2.1,3,8
800.0,2.1,3,16
800.0,2.2,4,5
800.0,2.2,4,6
800.0,2.2,4,10
800.0,2.2,4,14
800.0,2.3,4,4
800.0,2.3,4,12
800.0,2.3,4,15
800.0,2.3,4,17
800.0,2.4,3,4
800.0,2.4,3,19
800.0,2.4,3,22
800.0,2.5,4,3
800.0,2.5,4,12
800.0,2.5,4,16
800.0,2.5,4,19
800.0,2.6,3,7
800.0,2.6,3,18
800.0,2.6,3,21
800.0,2.7,3,5
800.0,2.7,3,15
800.0,2.7,3,17
800.0,2.8,2,5
800.0,2.8,2,16
800.0,2.9,2,4
800.0,2.9,2,14
800.0,3.0,3,3
800.0,3.0,3,5
800.0,3.0,3,15
800.0,3.1,2,2
800.0,3.1,2,3
800.0,3.2,2,2
800.0,3.2,2,3
800.0,3.3,2,2
800.0,3.3,2,3
800.0,3.4,2,2
800.0,3.4,2,3
800.0,3.5,2,1
800.0,3.5,2,2
800.0,3.6,1,1
800.0,3.7,1,1
800.0,3.8,1,1
800.0,3.9,1,1
800.0,4.0,1,1
800.0,4.1,1,1
800.0,4.2,2,1
800.0,4.2,2,7
800.0,4.3,2,1
800.0,4.3,2,8
800.0,4.4,2,1
800.0,4.4,2,8
800.0,4.5,2,1
800.0,4.5,2,7
800.0,4.6,2,1
800.0,4.6,2,7
800.0,4.7,3,1
800.0,4.7,3,2
800.0,4.7,3,8
800.0,4.8,3,1
800.0,4.8,3,2
800.0,4.8,3,5
800.0,4.9,3,1
800.0,4.9,3,2
800.0,4.9,3,4
800.0,5.0,3,1
800.0,5.0,3,2
800.0,5.0,3,4
800.0,5.1,3,1
800.0,5.1,3,2
800.0,5.1,3,5
800.0,5.2,3,1
800.0,5.2,3,2
800.0,5.2,3,7
800.0,5.3,3,1
800.0,5.3,3,2
800.0,5.3,3,6
800.0,5.4,3,1
800.0,5.4,3,2
800.0,5.4,3,6
800.0,5.5,3,1
800.0,5.5,3,2
800.0,5.5,3,6
800.0,5.6,2,1
800.0,5.6,2,2
800.0,5.7,2,1
800.0,5.7,2,2
800.0,5.8,2,1
800.0,5.8,2,2
800.0,5.9,2,1
800.0,5.9,2,2
800.0,6.0,2,1
800.0,6.0,2,2
800.0,6.1,2,1
800.0,6.1,2,2
800.0,6.2,2,1
800.0,6.2,2,2
800.0,6.3,3,1
800.0,6.3,3,2
800.0,6.3,3,7
800.0,6.4,3,1
800.0,6.4,3,2
800.0,6.4,3,7
800.0,6.5,3,1
800.0,6.5,3,2
800.0,6.5,3,6
800.0,6.6,3,1
800.0,6.6,3,2
800.0,6.6,3,6
800.0,6.7,3,1
800.0,6.7,3,2
800.0,6.7,3,7
800.0,6.8,3,1
800.0,6.8,3,3
800.0,6.8,3,9
800.0,6.9,3,1
800.0,6.9,3,3
800.0,6.9,3,8
800.0,7.0,3,1
800.0,7.0,3,2
800.0,7.0,3,7
800.0,7.1,3,1
800.0,7.1,3,2
800.0,7.1,3,4
800.0,7.2,4,1
800.0,7.2,4,2
800.0,7.2,4,3
800.0,7.2,4,4
800.0,7.3,4,1
800.0,7.3,4,3
800.0,7.3,4,4
800.0,7.3,4,6
800.0,7.4,4,1
800.0,7.4,4,2
800.0,7.4,4,3
800.0,7.4,4,5
800.0,7.5,4,1
800.0,7.5,4,2
800.0,7.5,4,3
800.0,7.5,4,5
800.0,7.6,3,3
800.0,7.6,3,5
800.0,7.6,3,6
800.0,7.7,4,2
800.0,7.7,4,4
800.0,7.7,4,5
800.0,7.7,4,6
800.0,7.8,4,2
800.0,7.8,4,4
800.0,7.8,4,5
800.0,7.8,4,7
800.0,7.9,4,2
800.0,7.9,4,4
800.0,7.9,4,5
800.0,7.9,4,9
800.0,8.0,4,2
800.0,8.0,4,4
800.0,8.0,4,5
800.0,8.0,4,8
800.0,8.1,4,2
800.0,8.1,4,4
800.0,8.1,4,5
800.0,8.1,4,7
800.0,8.2,4,1
800.0,8.2,4,3
800.0,8.2,4,4
800.0,8.2,4,5
800.0,8.3,4,1
800.0,8.3,4,3
800.0,8.3,4,4
800.0,8.3,4,5
800.0,8.4,4,1
800.0,8.4,4,2
800.0,8.4,4,3
800.0,8.4,4,4
800.0,8.5,4,1
800.0,8.5,4,2
800.0,8.5,4,3
800.0,8.5,4,4
800.0,8.6,4,1
800.0,8.6,4,2
800.0,8.6,4,3
800.0,8.6,4,4
800.0,8.7,4,1
800.0,8.7,4,2
800.0,8.7,4,3
800.0,8.7,4,4
800.0,8.8,4,1
800.0,8.8,4,2
800.0,8.8,4,3
800.0,8.8,4,5
800.0,8.9,4,1
800.0,8.9,4,2
800.0,8.9,4,3
800.0,8.9,4,4
800.0,9.0,4,1
800.0,9.0,4,2
800.0,9.0,4,3
800.0,9.0,4,5
800.0,9.1,3,1
800.0,9.1,3,2
800.0,9.1,3,3
800.0,9.2,3,1
800.0,9.2,3,2
800.0,9.2,3,3
800.0,9.3,3,1
800.0,9.3,3,2
800.0,9.3,3,3
800.0,9.4,3,1
800.0,9.4,3,2
800.0,9.4,3,3
800.0,9.5,3,1
800.0,9.5,3,2
800.0,9.5,3,3
800.0,9.6,3,1
800.0,9.6,3,2
800.0,9.6,3,3
800.0,9.7,3,1
800.0,9.7,3,2
800.0,9.7,3,3
800.0,9.8,3,1
800.0,9.8,3,2
800.0,9.8,3,3
800.0,9.9,3,1
800.0,9.9,3,2
800.0,9.9,3,3
800.0,10.0,3,1
800.0,10.0,3,2
800.0,10.0,3,3
800.0,10.1,3,1
800.0,10.1,3,2
