level,value,number_of_labels,label 
1000.000, 0.00,1,4  
900.000, 0.00,4,10  
900.000, 0.00,4,12  
900.000, 0.00,4,18  
900.000, 0.00,4,20  
850.000, 0.00,1,9  
800.000, 0.00,2,11  
800.000, 0.00,2,22  
700.000, 0.00,1,10  
500.000, 0.00,2,12  
500.000, 0.00,2,17  
400.000, 0.00,5,18  
400.000, 0.00,5,19  
400.000, 0.00,5,48  
400.000, 0.00,5,58  
400.000, 0.00,5,62  
300.000, 0.00,15,8  
300.000, 0.00,15,9  
300.000, 0.00,15,13  
300.000, 0.00,15,16  
300.000, 0.00,15,25  
300.000, 0.00,15,31  
300.000, 0.00,15,33  
300.000, 0.00,15,41  
300.000, 0.00,15,46  
300.000, 0.00,15,48  
300.000, 0.00,15,61  
300.000, 0.00,15,63  
300.000, 0.00,15,79  
300.000, 0.00,15,87  
300.000, 0.00,15,97  
1000.000, 0.10,3,4  
1000.000, 0.10,3,6  
1000.000, 0.10,3,14  
900.000, 0.10,2,14  
900.000, 0.10,2,32  
850.000, 0.10,1,10  
800.000, 0.10,1,11  
700.000, 0.10,1,18  
500.000, 0.10,2,15  
500.000, 0.10,2,20  
400.000, 0.10,6,23  
400.000, 0.10,6,24  
400.000, 0.10,6,60  
400.000, 0.10,6,68  
400.000, 0.10,6,71  
400.000, 0.10,6,72  
300.000, 0.10,13,7  
300.000, 0.10,13,11  
300.000, 0.10,13,16  
300.000, 0.10,13,24  
300.000, 0.10,13,28  
300.000, 0.10,13,33  
300.000, 0.10,13,41  
300.000, 0.10,13,46  
300.000, 0.10,13,47  
300.000, 0.10,13,59  
300.000, 0.10,13,75  
300.000, 0.10,13,84  
300.000, 0.10,13,92  
1000.000, 0.20,2,4  
1000.000, 0.20,2,6  
900.000, 0.20,1,14  
850.000, 0.20,1,13  
800.000, 0.20,1,5  
700.000, 0.20,2,7  
700.000, 0.20,2,13  
650.000, 0.20,1,4  
500.000, 0.20,2,11  
500.000, 0.20,2,14  
400.000, 0.20,6,20  
400.000, 0.20,6,22  
400.000, 0.20,6,31  
400.000, 0.20,6,47  
400.000, 0.20,6,52  
400.000, 0.20,6,55  
300.000, 0.20,12,10  
300.000, 0.20,12,11  
300.000, 0.20,12,21  
300.000, 0.20,12,28  
300.000, 0.20,12,32  
300.000, 0.20,12,35  
300.000, 0.20,12,44  
300.000, 0.20,12,49  
300.000, 0.20,12,64  
300.000, 0.20,12,83  
300.000, 0.20,12,89  
300.000, 0.20,12,96  
1000.000, 0.30,2,4  
1000.000, 0.30,2,6  
800.000, 0.30,1,5  
650.000, 0.30,1,3  
500.000, 0.30,3,11  
500.000, 0.30,3,17  
