level,value,number_of_labels,label
800.0,0.0,1,14
800.0,0.1,1,13
800.0,0.2,3,10
800.0,0.2,3,16
800.0,0.2,3,20
800.0,0.3,2,15
800.0,0.3,2,21
800.0,0.4,2,17
800.0,0.4,2,22
800.0,0.5,3,5
800.0,0.5,3,14
800.0,0.5,3,23
800.0,0.6,3,6
800.0,0.6,3,17
800.0,0.6,3,29
800.0,0.7,5,5
800.0,0.7,5,6
800.0,0.7,5,20
800.0,0.7,5,21
800.0,0.7,5,31
800.0,0.8,5,6
800.0,0.8,5,8
800.0,0.8,5,25
800.0,0.8,5,27
800.0,0.8,5,39
800.0,0.9,5,5
800.0,0.9,5,6
800.0,0.9,5,17
800.0,0.9,5,19
800.0,0.9,5,30
800.0,1.0,6,6
800.0,1.0,6,7
800.0,1.0,6,17
800.0,1.0,6,19
800.0,1.0,6,24
800.0,1.0,6,26
800.0,1.1,6,6
800.0,1.1,6,7
800.0,1.1,6,8
800.0,1.1,6,17
800.0,1.1,6,19
800.0,1.1,6,23
800.0,1.2,6,5
800.0,1.2,6,6
800.0,1.2,6,7
800.0,1.2,6,22
800.0,1.2,6,24
800.0,1.2,6,27
800.0,1.3,6,2
800.0,1.3,6,4
800.0,1.3,6,7
800.0,1.3,6,23
800.0,1.3,6,24
800.0,1.3,6,26
800.0,1.4,6,5
800.0,1.4,6,8
800.0,1.4,6,10
800.0,1.4,6,22
800.0,1.4,6,24
800.0,1.4,6,26
800.0,1.5,7,3
800.0,1.5,7,8
800.0,1.5,7,16
800.0,1.5,7,18
800.0,1.5,7,19
800.0,1.5,7,22
800.0,1.5,7,23
800.0,1.6,4,5
800.0,1.6,4,17
800.0,1.6,4,18
800.0,1.6,4,25
800.0,1.7,4,5
800.0,1.7,4,18
800.0,1.7,4,25
800.0,1.7,4,27
800.0,1.8,4,3
800.0,1.8,4,13
800.0,1.8,4,18
800.0,1.8,4,20
800.0,1.9,4,2
800.0,1.9,4,12
800.0,1.9,4,15
800.0,1.9,4,17
800.0,2.0,4,2
800.0,2.0,4,10
800.0,2.0,4,13
800.0,2.0,4,14
800.0,2.1,5,3
800.0,2.1,5,4
800.0,2.1,5,14
800.0,2.1,5,16
800.0,2.1,5,18
800.0,2.2,6,1
800.0,2.2,6,3
800.0,2.2,6,4
800.0,2.2,6,15
800.0,2.2,6,16
800.0,2.2,6,19
800.0,2.3,5,1
800.0,2.3,5,3
800.0,2.3,5,4
800.0,2.3,5,16
800.0,2.3,5,17
800.0,2.4,5,1
800.0,2.4,5,4
800.0,2.4,5,5
800.0,2.4,5,16
800.0,2.4,5,17
800.0,2.5,5,1
800.0,2.5,5,2
800.0,2.5,5,5
800.0,2.5,5,14
800.0,2.5,5,15
800.0,2.6,5,1
800.0,2.6,5,2
800.0,2.6,5,5
800.0,2.6,5,14
800.0,2.6,5,15
800.0,2.7,5,1
800.0,2.7,5,2
800.0,2.7,5,5
800.0,2.7,5,17
800.0,2.7,5,18
800.0,2.8,6,1
800.0,2.8,6,3
800.0,2.8,6,4
800.0,2.8,6,8
800.0,2.8,6,11
800.0,2.8,6,12
800.0,2.9,5,1
800.0,2.9,5,3
800.0,2.9,5,4
800.0,2.9,5,15
800.0,2.9,5,16
800.0,3.0,4,1
800.0,3.0,4,2
800.0,3.0,4,4
800.0,3.0,4,14
800.0,3.1,5,1
800.0,3.1,5,2
800.0,3.1,5,3
800.0,3.1,5,4
800.0,3.1,5,12
800.0,3.2,5,1
800.0,3.2,5,2
800.0,3.2,5,3
800.0,3.2,5,5
800.0,3.2,5,16
800.0,3.3,5,1
800.0,3.3,5,2
800.0,3.3,5,3
800.0,3.3,5,4
800.0,3.3,5,13
800.0,3.4,4,1
800.0,3.4,4,4
800.0,3.4,4,6
800.0,3.4,4,11
800.0,3.5,5,1
800.0,3.5,5,2
800.0,3.5,5,4
800.0,3.5,5,6
800.0,3.5,5,10
800.0,3.6,5,1
800.0,3.6,5,2
800.0,3.6,5,4
800.0,3.6,5,5
800.0,3.6,5,11
800.0,3.7,5,1
800.0,3.7,5,3
800.0,3.7,5,6
800.0,3.7,5,7
800.0,3.7,5,13
800.0,3.8,3,9
800.0,3.8,3,10
800.0,3.8,3,14
800.0,3.9,3,4
800.0,3.9,3,5
800.0,3.9,3,11
800.0,4.0,3,5
800.0,4.0,3,6
