level,value,number_of_labels,label
500.0,0.0,2,5
500.0,0.0,2,18
500.0,0.1,1,10
500.0,0.2,2,13
500.0,0.2,2,20
500.0,0.3,4,13
500.0,0.3,4,14
500.0,0.3,4,17
500.0,0.3,4,33
500.0,0.4,3,13
500.0,0.4,3,23
500.0,0.4,3,36
500.0,0.5,5,10
500.0,0.5,5,15
500.0,0.5,5,28
500.0,0.5,5,41
500.0,0.5,5,43
500.0,0.6,4,13
500.0,0.6,4,16
500.0,0.6,4,34
500.0,0.6,4,53
500.0,0.7,3,10
500.0,0.7,3,15
500.0,0.7,3,28
500.0,0.8,3,7
500.0,0.8,3,13
500.0,0.8,3,24
500.0,0.9,2,15
500.0,0.9,2,24
500.0,1.0,2,16
500.0,1.0,2,26
500.0,1.1,2,26
500.0,1.1,2,37
500.0,1.2,2,22
500.0,1.2,2,38
500.0,1.3,2,19
500.0,1.3,2,21
500.0,1.4,3,5
500.0,1.4,3,23
500.0,1.4,3,25
500.0,1.5,2,16
500.0,1.5,2,23
500.0,1.6,3,18
500.0,1.6,3,27
500.0,1.6,3,42
500.0,1.7,6,4
500.0,1.7,6,5
500.0,1.7,6,18
500.0,1.7,6,19
500.0,1.7,6,20
500.0,1.7,6,26
500.0,1.8,6,3
500.0,1.8,6,4
500.0,1.8,6,13
500.0,1.8,6,14
500.0,1.8,6,15
500.0,1.8,6,19
500.0,1.9,6,5
500.0,1.9,6,8
500.0,1.9,6,10
500.0,1.9,6,18
500.0,1.9,6,19
500.0,1.9,6,26
500.0,2.0,5,7
500.0,2.0,5,8
500.0,2.0,5,15
500.0,2.0,5,16
500.0,2.0,5,21
500.0,2.1,6,7
500.0,2.1,6,8
500.0,2.1,6,17
500.0,2.1,6,18
500.0,2.1,6,19
500.0,2.1,6,23
500.0,2.2,4,10
500.0,2.2,4,11
500.0,2.2,4,19
500.0,2.2,4,27
500.0,2.3,4,8
500.0,2.3,4,10
500.0,2.3,4,15
500.0,2.3,4,20
500.0,2.4,7,6
500.0,2.4,7,8
500.0,2.4,7,9
500.0,2.4,7,18
500.0,2.4,7,22
500.0,2.4,7,32
500.0,2.4,7,33
500.0,2.5,10,4
500.0,2.5,10,5
500.0,2.5,10,6
500.0,2.5,10,9
500.0,2.5,10,11
500.0,2.5,10,20
500.0,2.5,10,24
500.0,2.5,10,31
500.0,2.5,10,33
500.0,2.5,10,34
500.0,2.6,9,3
500.0,2.6,9,4
500.0,2.6,9,6
500.0,2.6,9,9
500.0,2.6,9,12
