level,value,number_of_labels,label
800.0,0.0,3,5
800.0,0.0,3,8
800.0,0.0,3,22
800.0,0.1,4,8
800.0,0.1,4,11
800.0,0.1,4,25
800.0,0.1,4,41
800.0,0.2,3,5
800.0,0.2,3,9
800.0,0.2,3,34
800.0,0.3,3,8
800.0,0.3,3,11
800.0,0.3,3,34
800.0,0.4,3,7
800.0,0.4,3,10
800.0,0.4,3,24
800.0,0.5,2,6
800.0,0.5,2,9
800.0,0.6,4,4
800.0,0.6,4,6
800.0,0.6,4,26
800.0,0.6,4,27
800.0,0.7,3,3
800.0,0.7,3,5
800.0,0.7,3,25
800.0,0.8,5,1
800.0,0.8,5,4
800.0,0.8,5,5
800.0,0.8,5,17
800.0,0.8,5,26
800.0,0.9,4,1
800.0,0.9,4,5
800.0,0.9,4,6
800.0,0.9,4,26
800.0,1.0,4,1
800.0,1.0,4,5
800.0,1.0,4,7
800.0,1.0,4,24
800.0,1.1,3,1
800.0,1.1,3,6
800.0,1.1,3,19
800.0,1.2,1,1
800.0,1.3,2,1
800.0,1.3,2,16
800.0,1.4,3,1
800.0,1.4,3,2
800.0,1.4,3,19
800.0,1.5,3,1
800.0,1.5,3,2
800.0,1.5,3,17
800.0,1.6,2,1
800.0,1.6,2,9
800.0,1.7,2,1
800.0,1.7,2,10
800.0,1.8,2,1
800.0,1.8,2,11
800.0,1.9,2,1
800.0,1.9,2,7
800.0,2.0,4,1
800.0,2.0,4,6
800.0,2.0,4,14
800.0,2.0,4,15
800.0,2.1,5,1
800.0,2.1,5,4
800.0,2.1,5,9
800.0,2.1,5,18
800.0,2.1,5,19
800.0,2.2,4,5
800.0,2.2,4,8
800.0,2.2,4,16
800.0,2.2,4,19
800.0,2.3,5,4
800.0,2.3,5,8
800.0,2.3,5,9
800.0,2.3,5,10
800.0,2.3,5,20
800.0,2.4,5,10
800.0,2.4,5,12
800.0,2.4,5,14
800.0,2.4,5,16
800.0,2.4,5,20
800.0,2.5,4,9
800.0,2.5,4,11
800.0,2.5,4,15
800.0,2.5,4,20
800.0,2.6,5,7
800.0,2.6,5,13
800.0,2.6,5,14
800.0,2.6,5,18
800.0,2.6,5,25
800.0,2.7,4,12
800.0,2.7,4,13
800.0,2.7,4,17
800.0,2.7,4,27
800.0,2.8,3,6
800.0,2.8,3,10
800.0,2.8,3,21
800.0,2.9,3,5
800.0,2.9,3,7
800.0,2.9,3,15
800.0,3.0,3,3
800.0,3.0,3,5
800.0,3.0,3,14
800.0,3.1,3,2
800.0,3.1,3,5
800.0,3.1,3,11
800.0,3.2,3,2
800.0,3.2,3,5
800.0,3.2,3,9
800.0,3.3,3,2
800.0,3.3,3,6
800.0,3.3,3,10
800.0,3.4,4,2
800.0,3.4,4,5
800.0,3.4,4,6
800.0,3.4,4,12
800.0,3.5,4,2
800.0,3.5,4,5
800.0,3.5,4,7
800.0,3.5,4,11
800.0,3.6,4,2
800.0,3.6,4,3
800.0,3.6,4,4
800.0,3.6,4,9
800.0,3.7,5,2
800.0,3.7,5,3
800.0,3.7,5,4
800.0,3.7,5,6
800.0,3.7,5,11
800.0,3.8,5,2
800.0,3.8,5,3
800.0,3.8,5,5
800.0,3.8,5,7
800.0,3.8,5,13
800.0,3.9,3,4
800.0,3.9,3,6
800.0,3.9,3,9
800.0,4.0,3,5
800.0,4.0,3,7
800.0,4.0,3,8
800.0,4.1,2,5
800.0,4.1,2,6
800.0,4.2,2,2
800.0,4.2,2,3
800.0,4.3,2,2
800.0,4.3,2,3
800.0,4.4,2,2
800.0,4.4,2,3
800.0,4.5,2,2
800.0,4.5,2,3
800.0,4.6,2,2
800.0,4.6,2,3
800.0,4.7,2,2
800.0,4.7,2,3
800.0,4.8,2,2
800.0,4.8,2,3
800.0,4.9,2,2
800.0,4.9,2,3
800.0,5.0,2,2
800.0,5.0,2,3
800.0,5.1,2,2
800.0,5.1,2,3
800.0,5.2,2,2
800.0,5.2,2,3
800.0,5.3,2,2
800.0,5.3,2,3
800.0,5.4,3,2
800.0,5.4,3,3
800.0,5.4,3,6
800.0,5.5,2,2
800.0,5.5,2,3
800.0,5.6,2,1
800.0,5.6,2,2
800.0,5.7,3,1
800.0,5.7,3,3
800.0,5.7,3,4
800.0,5.8,3,1
800.0,5.8,3,2
800.0,5.8,3,4
800.0,5.9,3,1
800.0,5.9,3,2
800.0,5.9,3,4
800.0,6.0,3,1
800.0,6.0,3,2
800.0,6.0,3,3
800.0,6.1,3,1
800.0,6.1,3,2
800.0,6.1,3,3
800.0,6.2,3,1
800.0,6.2,3,2
800.0,6.2,3,3
800.0,6.3,3,1
800.0,6.3,3,2
800.0,6.3,3,3
800.0,6.4,3,1
800.0,6.4,3,2
800.0,6.4,3,3
800.0,6.5,3,1
800.0,6.5,3,2
800.0,6.5,3,3
800.0,6.6,3,1
800.0,6.6,3,2
800.0,6.6,3,3
800.0,6.7,3,1
800.0,6.7,3,2
800.0,6.7,3,3
800.0,6.8,3,1
800.0,6.8,3,2
800.0,6.8,3,3
800.0,6.9,3,1
800.0,6.9,3,2
800.0,6.9,3,3
800.0,7.0,3,1
800.0,7.0,3,2
800.0,7.0,3,3
800.0,7.1,3,1
800.0,7.1,3,2
800.0,7.1,3,3
800.0,7.2,3,1
800.0,7.2,3,2
800.0,7.2,3,3
800.0,7.3,3,1
800.0,7.3,3,2
800.0,7.3,3,3
800.0,7.4,2,1
800.0,7.4,2,2
800.0,7.5,2,1
800.0,7.5,2,2
800.0,7.6,2,1
800.0,7.6,2,2
800.0,7.7,2,1
800.0,7.7,2,2
800.0,7.8,2,1
800.0,7.8,2,2
800.0,7.9,2,1
800.0,7.9,2,2
800.0,8.0,2,1
800.0,8.0,2,2
800.0,8.1,2,1
800.0,8.1,2,2
800.0,8.2,2,1
800.0,8.2,2,3
800.0,8.3,2,2
800.0,8.3,2,3
800.0,8.4,2,2
800.0,8.4,2,3
800.0,8.5,2,2
800.0,8.5,2,4
800.0,8.6,2,2
800.0,8.6,2,3
800.0,8.7,2,1
800.0,8.7,2,2
800.0,8.8,2,1
800.0,8.8,2,2
800.0,8.9,2,1
800.0,8.9,2,2
800.0,9.0,2,1
800.0,9.0,2,2
800.0,9.1,2,1
800.0,9.1,2,2
800.0,9.2,2,1
800.0,9.2,2,2
800.0,9.3,2,1
800.0,9.3,2,2
800.0,9.4,2,2
800.0,9.4,2,4
800.0,9.5,3,3
800.0,9.5,3,4
800.0,9.5,3,6
800.0,9.6,3,3
800.0,9.6,3,4
800.0,9.6,3,6
800.0,9.7,3,4
800.0,9.7,3,5
800.0,9.7,3,8
800.0,9.8,3,4
800.0,9.8,3,5
800.0,9.8,3,8
800.0,9.9,3,4
800.0,9.9,3,5
800.0,9.9,3,9
800.0,10.0,3,1
800.0,10.0,3,3
800.0,10.0,3,8
800.0,10.1,3,1
800.0,10.1,3,3
800.0,10.1,3,7
800.0,10.2,3,1
800.0,10.2,3,3
800.0,10.2,3,7
800.0,10.3,3,1
800.0,10.3,3,2
800.0,10.3,3,6
800.0,10.4,2,1
800.0,10.4,2,2
800.0,10.5,2,1
800.0,10.5,2,4
800.0,10.6,2,1
800.0,10.6,2,5
800.0,10.7,2,3
800.0,10.7,2,5
800.0,10.8,2,3
800.0,10.8,2,5
800.0,10.9,2,2
800.0,10.9,2,5
800.0,11.0,2,2
800.0,11.0,2,5
800.0,11.1,1,1
800.0,11.2,1,1
800.0,11.3,2,1
800.0,11.3,2,8
800.0,11.4,2,1
800.0,11.4,2,8
800.0,11.5,2,1
800.0,11.5,2,8
800.0,11.6,2,1
800.0,11.6,2,7
800.0,11.7,2,1
800.0,11.7,2,6
800.0,11.8,2,2
800.0,11.8,2,6
800.0,11.9,3,2
800.0,11.9,3,5
800.0,11.9,3,8
800.0,12.0,3,2
800.0,12.0,3,5
800.0,12.0,3,8
800.0,12.1,3,1
800.0,12.1,3,3
800.0,12.1,3,6
800.0,12.2,3,1
800.0,12.2,3,3
800.0,12.2,3,5
800.0,12.3,3,1
800.0,12.3,3,3
800.0,12.3,3,6
800.0,12.4,3,1
800.0,12.4,3,3
800.0,12.4,3,6
800.0,12.5,2,1
800.0,12.5,2,5
800.0,12.6,2,1
800.0,12.6,2,3
800.0,12.7,2,1
800.0,12.7,2,3
800.0,12.8,2,1
800.0,12.8,2,4
800.0,12.9,2,1
800.0,12.9,2,3
800.0,13.0,2,1
800.0,13.0,2,3
800.0,13.1,2,1
800.0,13.1,2,3
800.0,13.2,2,1
800.0,13.2,2,3
800.0,13.3,2,1
800.0,13.3,2,3
800.0,13.4,2,1
800.0,13.4,2,2
800.0,13.5,2,1
800.0,13.5,2,2
800.0,13.6,2,1
800.0,13.6,2,2
800.0,13.7,2,1
800.0,13.7,2,2
800.0,13.8,2,1
800.0,13.8,2,2
800.0,13.9,2,1
800.0,13.9,2,2
800.0,14.0,2,1
800.0,14.0,2,3
800.0,14.1,2,1
800.0,14.1,2,3
800.0,14.2,2,1
800.0,14.2,2,2
800.0,14.3,2,1
800.0,14.3,2,2
800.0,14.4,2,1
800.0,14.4,2,2
800.0,14.5,2,1
800.0,14.5,2,2
800.0,14.6,2,1
800.0,14.6,2,2
800.0,14.7,2,1
800.0,14.7,2,3
800.0,14.8,2,1
800.0,14.8,2,3
800.0,14.9,2,1
800.0,14.9,2,2
800.0,15.0,2,1
800.0,15.0,2,2
800.0,15.1,2,1
800.0,15.1,2,2
800.0,15.2,2,1
800.0,15.2,2,2
800.0,15.3,2,1
800.0,15.3,2,2
800.0,15.4,2,1
800.0,15.4,2,2
800.0,15.5,2,1
800.0,15.5,2,2
800.0,15.6,2,1
800.0,15.6,2,2
800.0,15.7,2,1
800.0,15.7,2,2
800.0,15.8,2,1
800.0,15.8,2,2
800.0,15.9,2,1
800.0,15.9,2,2
800.0,16.0,2,1
800.0,16.0,2,2
800.0,16.1,2,1
800.0,16.1,2,2
800.0,16.2,2,1
800.0,16.2,2,2
800.0,16.3,2,1
800.0,16.3,2,2
800.0,16.4,2,1
800.0,16.4,2,2
800.0,16.5,2,1
800.0,16.5,2,2
800.0,16.6,2,1
800.0,16.6,2,2
800.0,16.7,2,1
800.0,16.7,2,2
800.0,16.8,2,1
800.0,16.8,2,3
800.0,16.9,2,1
800.0,16.9,2,3
800.0,17.0,2,1
800.0,17.0,2,2
800.0,17.1,2,1
800.0,17.1,2,2
800.0,17.2,2,1
800.0,17.2,2,2
800.0,17.3,2,1
800.0,17.3,2,2
800.0,17.4,2,1
800.0,17.4,2,2
800.0,17.5,2,1
800.0,17.5,2,2
800.0,17.6,2,1
800.0,17.6,2,2
800.0,17.7,2,1
800.0,17.7,2,2
800.0,17.8,2,1
800.0,17.8,2,2
800.0,17.9,2,1
