level,value,number_of_labels,label
850.0,0.0,7,7
850.0,0.0,7,14
850.0,0.0,7,32
850.0,0.0,7,39
850.0,0.0,7,44
850.0,0.0,7,47
850.0,0.0,7,52
850.0,0.1,3,5
850.0,0.1,3,30
850.0,0.1,3,47
850.0,0.2,3,8
850.0,0.2,3,32
850.0,0.2,3,49
850.0,0.3,3,7
850.0,0.3,3,28
850.0,0.3,3,40
850.0,0.4,3,6
850.0,0.4,3,30
850.0,0.4,3,40
850.0,0.5,2,9
850.0,0.5,2,33
850.0,0.6,3,6
850.0,0.6,3,9
850.0,0.6,3,40
850.0,0.7,4,8
850.0,0.7,4,34
850.0,0.7,4,41
850.0,0.7,4,52
850.0,0.8,5,8
850.0,0.8,5,28
850.0,0.8,5,35
850.0,0.8,5,37
850.0,0.8,5,48
850.0,0.9,4,5
850.0,0.9,4,28
850.0,0.9,4,29
850.0,0.9,4,40
850.0,1.0,4,4
850.0,1.0,4,20
850.0,1.0,4,21
850.0,1.0,4,32
850.0,1.1,4,5
850.0,1.1,4,15
850.0,1.1,4,16
850.0,1.1,4,27
850.0,1.2,3,17
850.0,1.2,3,18
850.0,1.2,3,31
850.0,1.3,3,19
850.0,1.3,3,22
850.0,1.3,3,34
850.0,1.4,3,14
850.0,1.4,3,20
850.0,1.4,3,23
850.0,1.5,3,6
850.0,1.5,3,15
850.0,1.5,3,21
850.0,1.6,4,6
850.0,1.6,4,9
850.0,1.6,4,35
850.0,1.6,4,51
850.0,1.7,5,6
850.0,1.7,5,9
850.0,1.7,5,31
850.0,1.7,5,47
850.0,1.7,5,48
850.0,1.8,5,7
850.0,1.8,5,10
850.0,1.8,5,24
850.0,1.8,5,41
850.0,1.8,5,42
850.0,1.9,6,4
850.0,1.9,6,6
850.0,1.9,6,7
850.0,1.9,6,25
850.0,1.9,6,45
850.0,1.9,6,46
850.0,2.0,6,3
850.0,2.0,6,5
850.0,2.0,6,7
850.0,2.0,6,21
850.0,2.0,6,43
850.0,2.0,6,44
850.0,2.1,7,3
850.0,2.1,7,5
850.0,2.1,7,9
850.0,2.1,7,27
850.0,2.1,7,48
850.0,2.1,7,49
850.0,2.1,7,51
850.0,2.2,8,2
850.0,2.2,8,4
850.0,2.2,8,7
850.0,2.2,8,14
850.0,2.2,8,25
850.0,2.2,8,44
850.0,2.2,8,45
850.0,2.2,8,47
850.0,2.3,7,4
850.0,2.3,7,6
850.0,2.3,7,9
850.0,2.3,7,15
850.0,2.3,7,27
850.0,2.3,7,45
850.0,2.3,7,47
850.0,2.4,6,4
850.0,2.4,6,6
850.0,2.4,6,9
850.0,2.4,6,15
850.0,2.4,6,26
850.0,2.4,6,43
850.0,2.5,7,4
850.0,2.5,7,6
850.0,2.5,7,9
850.0,2.5,7,10
850.0,2.5,7,13
850.0,2.5,7,21
850.0,2.5,7,42
850.0,2.6,7,3
850.0,2.6,7,4
850.0,2.6,7,7
850.0,2.6,7,10
850.0,2.6,7,11
850.0,2.6,7,21
850.0,2.6,7,37
850.0,2.7,7,1
850.0,2.7,7,2
850.0,2.7,7,5
850.0,2.7,7,6
850.0,2.7,7,8
850.0,2.7,7,22
850.0,2.7,7,37
850.0,2.8,6,1
850.0,2.8,6,2
850.0,2.8,6,4
850.0,2.8,6,5
850.0,2.8,6,7
850.0,2.8,6,21
850.0,2.9,6,1
850.0,2.9,6,2
850.0,2.9,6,4
850.0,2.9,6,6
850.0,2.9,6,7
850.0,2.9,6,20
850.0,3.0,6,1
850.0,3.0,6,2
850.0,3.0,6,4
850.0,3.0,6,6
850.0,3.0,6,8
850.0,3.0,6,23
850.0,3.1,5,1
850.0,3.1,5,2
850.0,3.1,5,6
850.0,3.1,5,7
850.0,3.1,5,19
850.0,3.2,5,1
850.0,3.2,5,2
850.0,3.2,5,6
850.0,3.2,5,10
