level,value,number_of_labels,label 
1000.000, 0.00,4,5  
1000.000, 0.00,4,6  
1000.000, 0.00,4,8  
1000.000, 0.00,4,14  
900.000, 0.00,5,4  
900.000, 0.00,5,7  
900.000, 0.00,5,10  
900.000, 0.00,5,17  
900.000, 0.00,5,21  
850.000, 0.00,2,3  
850.000, 0.00,2,34  
800.000, 0.00,4,4  
800.000, 0.00,4,8  
800.000, 0.00,4,14  
800.000, 0.00,4,17  
750.000, 0.00,3,4  
750.000, 0.00,3,9  
750.000, 0.00,3,16  
700.000, 0.00,1,29  
600.000, 0.00,3,2  
600.000, 0.00,3,11  
600.000, 0.00,3,15  
500.000, 0.00,3,11  
500.000, 0.00,3,21  
500.000, 0.00,3,23  
400.000, 0.00,3,7  
400.000, 0.00,3,17  
400.000, 0.00,3,55  
300.000, 0.00,7,6  
300.000, 0.00,7,7  
300.000, 0.00,7,25  
300.000, 0.00,7,28  
300.000, 0.00,7,29  
300.000, 0.00,7,43  
300.000, 0.00,7,45  
1000.000, 0.10,4,4  
1000.000, 0.10,4,5  
1000.000, 0.10,4,11  
1000.000, 0.10,4,14  
900.000, 0.10,4,3  
900.000, 0.10,4,10  
900.000, 0.10,4,17  
900.000, 0.10,4,21  
850.000, 0.10,2,4  
850.000, 0.10,2,28  
800.000, 0.10,4,5  
800.000, 0.10,4,16  
800.000, 0.10,4,19  
800.000, 0.10,4,20  
750.000, 0.10,4,4  
750.000, 0.10,4,8  
750.000, 0.10,4,9  
750.000, 0.10,4,18  
700.000, 0.10,1,33  
600.000, 0.10,2,2  
600.000, 0.10,2,8  
500.000, 0.10,3,11  
500.000, 0.10,3,21  
500.000, 0.10,3,24  
400.000, 0.10,2,6  
400.000, 0.10,2,15  
300.000, 0.10,6,7  
300.000, 0.10,6,8  
300.000, 0.10,6,27  
300.000, 0.10,6,29  
300.000, 0.10,6,36  
300.000, 0.10,6,47  
1000.000, 0.20,6,4  
1000.000, 0.20,6,5  
1000.000, 0.20,6,6  
1000.000, 0.20,6,12  
1000.000, 0.20,6,13  
1000.000, 0.20,6,15  
900.000, 0.20,4,3  
900.000, 0.20,4,7  
900.000, 0.20,4,15  
900.000, 0.20,4,21  
850.000, 0.20,2,3  
850.000, 0.20,2,25  
800.000, 0.20,3,5  
800.000, 0.20,3,24  
800.000, 0.20,3,25  
750.000, 0.20,4,4  
750.000, 0.20,4,6  
750.000, 0.20,4,9  
750.000, 0.20,4,20  
700.000, 0.20,1,18  
600.000, 0.20,2,3  
600.000, 0.20,2,17  
500.000, 0.20,2,23  
500.000, 0.20,2,24  
400.000, 0.20,2,7  
400.000, 0.20,2,12  
300.000, 0.20,6,6  
300.000, 0.20,6,7  
300.000, 0.20,6,24  
300.000, 0.20,6,26  
300.000, 0.20,6,38  
300.000, 0.20,6,48  
1000.000, 0.30,5,3  
1000.000, 0.30,5,4  
1000.000, 0.30,5,5  
1000.000, 0.30,5,10  
1000.000, 0.30,5,14  
900.000, 0.30,3,3  
900.000, 0.30,3,16  
900.000, 0.30,3,21  
850.000, 0.30,3,3  
850.000, 0.30,3,9  
850.000, 0.30,3,22  
800.000, 0.30,4,5  
800.000, 0.30,4,17  
800.000, 0.30,4,18  
800.000, 0.30,4,19  
750.000, 0.30,2,3  
750.000, 0.30,2,21  
700.000, 0.30,1,14  
600.000, 0.30,2,3  
600.000, 0.30,2,15  
500.000, 0.30,2,26  
500.000, 0.30,2,28  
400.000, 0.30,3,10  
400.000, 0.30,3,15  
400.000, 0.30,3,45  
300.000, 0.30,6,6  
300.000, 0.30,6,8  
300.000, 0.30,6,25  
300.000, 0.30,6,29  
300.000, 0.30,6,44  
300.000, 0.30,6,52  
1000.000, 0.40,6,3  
1000.000, 0.40,6,5  
1000.000, 0.40,6,6  
1000.000, 0.40,6,10  
1000.000, 0.40,6,14  
1000.000, 0.40,6,16  
900.000, 0.40,4,3  
900.000, 0.40,4,17  
900.000, 0.40,4,21  
900.000, 0.40,4,27  
850.000, 0.40,2,8  
850.000, 0.40,2,21  
800.000, 0.40,5,5  
800.000, 0.40,5,8  
800.000, 0.40,5,19  
800.000, 0.40,5,21  
800.000, 0.40,5,22  
750.000, 0.40,2,3  
750.000, 0.40,2,22  
600.000, 0.40,2,5  
600.000, 0.40,2,18  
500.000, 0.40,4,4  
500.000, 0.40,4,6  
500.000, 0.40,4,22  
500.000, 0.40,4,23  
400.000, 0.40,4,6  
400.000, 0.40,4,10  
400.000, 0.40,4,14  
400.000, 0.40,4,44  
300.000, 0.40,7,6  
300.000, 0.40,7,8  
300.000, 0.40,7,22  
300.000, 0.40,7,24  
300.000, 0.40,7,38  
300.000, 0.40,7,47  
300.000, 0.40,7,51  
1000.000, 0.50,4,6  
1000.000, 0.50,4,7  
1000.000, 0.50,4,11  
1000.000, 0.50,4,14  
900.000, 0.50,5,3  
