level,value,number_of_labels,label
400.0,0.0,5,6
400.0,0.0,5,13
400.0,0.0,5,20
400.0,0.0,5,27
400.0,0.0,5,31
400.0,0.1,5,7
400.0,0.1,5,14
400.0,0.1,5,21
400.0,0.1,5,30
400.0,0.1,5,36
400.0,0.2,5,7
400.0,0.2,5,13
400.0,0.2,5,19
400.0,0.2,5,28
400.0,0.2,5,37
400.0,0.3,4,8
400.0,0.3,4,12
400.0,0.3,4,17
400.0,0.3,4,33
400.0,0.4,3,8
400.0,0.4,3,10
400.0,0.4,3,47
400.0,0.5,4,12
400.0,0.5,4,13
400.0,0.5,4,44
400.0,0.5,4,56
400.0,0.6,2,13
400.0,0.6,2,14
400.0,0.7,2,12
400.0,0.7,2,19
400.0,0.8,1,15
400.0,0.9,1,13
400.0,1.0,1,13
400.0,1.1,2,6
400.0,1.1,2,14
400.0,1.2,2,6
400.0,1.2,2,17
400.0,1.3,2,6
400.0,1.3,2,16
400.0,1.4,1,5
400.0,1.5,1,4
400.0,1.6,1,4
400.0,1.7,1,6
400.0,1.8,1,6
400.0,1.9,5,5
400.0,1.9,5,13
400.0,1.9,5,30
400.0,1.9,5,32
400.0,1.9,5,48
400.0,2.0,5,3
400.0,2.0,5,6
400.0,2.0,5,10
400.0,2.0,5,24
400.0,2.0,5,26
400.0,2.1,4,3
400.0,2.1,4,9
400.0,2.1,4,26
400.0,2.1,4,28
400.0,2.2,6,3
400.0,2.2,6,11
400.0,2.2,6,14
400.0,2.2,6,17
400.0,2.2,6,34
400.0,2.2,6,36
400.0,2.3,9,3
400.0,2.3,9,6
400.0,2.3,9,11
400.0,2.3,9,15
400.0,2.3,9,16
400.0,2.3,9,20
400.0,2.3,9,34
400.0,2.3,9,36
400.0,2.3,9,47
400.0,2.4,9,2
400.0,2.4,9,4
400.0,2.4,9,10
400.0,2.4,9,14
400.0,2.4,9,15
400.0,2.4,9,20
400.0,2.4,9,33
400.0,2.4,9,35
400.0,2.4,9,45
400.0,2.5,9,2
400.0,2.5,9,3
400.0,2.5,9,10
400.0,2.5,9,16
400.0,2.5,9,17
400.0,2.5,9,20
400.0,2.5,9,34
400.0,2.5,9,36
400.0,2.5,9,47
400.0,2.6,9,2
400.0,2.6,9,3
400.0,2.6,9,11
400.0,2.6,9,17
400.0,2.6,9,18
400.0,2.6,9,20
400.0,2.6,9,34
400.0,2.6,9,36
400.0,2.6,9,50
400.0,2.7,9,2
400.0,2.7,9,5
400.0,2.7,9,12
400.0,2.7,9,17
400.0,2.7,9,18
400.0,2.7,9,20
400.0,2.7,9,33
400.0,2.7,9,36
400.0,2.7,9,46
400.0,2.8,10,2
400.0,2.8,10,5
400.0,2.8,10,10
400.0,2.8,10,14
400.0,2.8,10,15
400.0,2.8,10,16
400.0,2.8,10,26
