level,value,number_of_labels,label
600.0,0.2,1,4
600.0,0.3,3,3
600.0,0.3,3,17
600.0,0.3,3,22
600.0,0.4,2,3
600.0,0.4,2,16
600.0,0.5,2,3
600.0,0.5,2,12
600.0,0.6,5,4
600.0,0.6,5,11
600.0,0.6,5,15
600.0,0.6,5,27
600.0,0.6,5,31
600.0,0.7,6,3
600.0,0.7,6,5
600.0,0.7,6,11
600.0,0.7,6,14
600.0,0.7,6,16
600.0,0.7,6,27
600.0,0.8,6,3
600.0,0.8,6,5
600.0,0.8,6,12
600.0,0.8,6,17
600.0,0.8,6,18
600.0,0.8,6,33
600.0,0.9,7,2
600.0,0.9,7,4
600.0,0.9,7,6
600.0,0.9,7,14
600.0,0.9,7,17
600.0,0.9,7,20
600.0,0.9,7,28
600.0,1.0,9,2
600.0,1.0,9,4
600.0,1.0,9,5
600.0,1.0,9,7
600.0,1.0,9,14
600.0,1.0,9,15
600.0,1.0,9,22
600.0,1.0,9,23
600.0,1.0,9,27
600.0,1.1,5,2
600.0,1.1,5,7
600.0,1.1,5,18
600.0,1.1,5,25
600.0,1.1,5,26
600.0,1.2,4,2
600.0,1.2,4,7
600.0,1.2,4,17
600.0,1.2,4,20
600.0,1.3,5,2
600.0,1.3,5,7
600.0,1.3,5,16
600.0,1.3,5,19
600.0,1.3,5,20
600.0,1.4,3,7
600.0,1.4,3,17
600.0,1.4,3,20
600.0,1.5,4,7
600.0,1.5,4,10
600.0,1.5,4,18
600.0,1.5,4,19
600.0,1.6,4,6
600.0,1.6,4,7
600.0,1.6,4,11
600.0,1.6,4,20
600.0,1.7,3,7
600.0,1.7,3,10
600.0,1.7,3,20
600.0,1.8,1,6
600.0,1.9,2,5
600.0,1.9,2,7
600.0,2.0,2,5
600.0,2.0,2,6
600.0,2.1,3,4
600.0,2.1,3,5
600.0,2.1,3,17
600.0,2.2,4,3
600.0,2.2,4,6
600.0,2.2,4,7
600.0,2.2,4,17
600.0,2.3,5,2
600.0,2.3,5,5
600.0,2.3,5,7
600.0,2.3,5,9
600.0,2.3,5,18
600.0,2.4,5,1
600.0,2.4,5,4
600.0,2.4,5,6
600.0,2.4,5,9
600.0,2.4,5,17
600.0,2.5,4,1
600.0,2.5,4,9
600.0,2.5,4,15
600.0,2.5,4,16
600.0,2.6,4,1
600.0,2.6,4,15
600.0,2.6,4,24
600.0,2.6,4,25
600.0,2.7,5,1
600.0,2.7,5,10
600.0,2.7,5,11
600.0,2.7,5,15
600.0,2.7,5,16
600.0,2.8,4,9
600.0,2.8,4,10
600.0,2.8,4,16
600.0,2.8,4,17
600.0,2.9,4,9
600.0,2.9,4,10
600.0,2.9,4,15
600.0,2.9,4,16
600.0,3.0,3,6
600.0,3.0,3,13
600.0,3.0,3,14
600.0,3.1,3,4
600.0,3.1,3,11
600.0,3.1,3,12
600.0,3.2,3,3
600.0,3.2,3,12
600.0,3.2,3,13
600.0,3.3,4,4
600.0,3.3,4,5
600.0,3.3,4,13
600.0,3.3,4,14
600.0,3.4,4,3
600.0,3.4,4,4
600.0,3.4,4,14
600.0,3.4,4,15
600.0,3.5,3,3
600.0,3.5,3,13
600.0,3.5,3,14
600.0,3.6,3,4
600.0,3.6,3,9
600.0,3.6,3,10
600.0,3.7,3,5
600.0,3.7,3,8
600.0,3.7,3,9
600.0,3.8,4,1
600.0,3.8,4,5
600.0,3.8,4,9
600.0,3.8,4,10
600.0,3.9,4,1
600.0,3.9,4,3
600.0,3.9,4,7
600.0,3.9,4,8
600.0,4.0,3,1
600.0,4.0,3,6
600.0,4.0,3,7
600.0,4.1,4,1
600.0,4.1,4,3
600.0,4.1,4,10
600.0,4.1,4,11
600.0,4.2,4,1
600.0,4.2,4,2
600.0,4.2,4,8
600.0,4.2,4,10
600.0,4.3,4,1
600.0,4.3,4,2
600.0,4.3,4,7
600.0,4.3,4,8
600.0,4.4,4,1
600.0,4.4,4,2
600.0,4.4,4,6
600.0,4.4,4,7
600.0,4.5,4,1
600.0,4.5,4,3
600.0,4.5,4,7
600.0,4.5,4,8
600.0,4.6,4,1
600.0,4.6,4,3
600.0,4.6,4,7
600.0,4.6,4,8
600.0,4.7,4,1
600.0,4.7,4,2
600.0,4.7,4,5
600.0,4.7,4,6
600.0,4.8,4,1
600.0,4.8,4,3
600.0,4.8,4,5
600.0,4.8,4,6
600.0,4.9,4,1
600.0,4.9,4,2
600.0,4.9,4,4
600.0,4.9,4,5
600.0,5.0,4,1
600.0,5.0,4,2
600.0,5.0,4,4
600.0,5.0,4,5
600.0,5.1,4,1
600.0,5.1,4,2
600.0,5.1,4,4
600.0,5.1,4,5
600.0,5.2,3,1
600.0,5.2,3,2
600.0,5.2,3,4
600.0,5.3,3,1
600.0,5.3,3,2
600.0,5.3,3,4
600.0,5.4,4,1
600.0,5.4,4,2
600.0,5.4,4,3
600.0,5.4,4,6
600.0,5.5,4,1
600.0,5.5,4,2
600.0,5.5,4,3
600.0,5.5,4,6
600.0,5.6,4,1
600.0,5.6,4,2
