level,value,number_of_labels,label
500.0,0.0,8,8
500.0,0.0,8,10
500.0,0.0,8,15
500.0,0.0,8,26
500.0,0.0,8,31
500.0,0.0,8,36
500.0,0.0,8,59
500.0,0.0,8,61
500.0,0.1,9,8
500.0,0.1,9,17
500.0,0.1,9,18
500.0,0.1,9,26
500.0,0.1,9,27
500.0,0.1,9,36
500.0,0.1,9,37
500.0,0.1,9,65
500.0,0.1,9,66
500.0,0.2,12,10
500.0,0.2,12,14
500.0,0.2,12,15
500.0,0.2,12,24
500.0,0.2,12,28
500.0,0.2,12,34
500.0,0.2,12,37
500.0,0.2,12,43
500.0,0.2,12,51
500.0,0.2,12,62
500.0,0.2,12,63
500.0,0.2,12,68
500.0,0.3,10,13
500.0,0.3,10,23
500.0,0.3,10,33
500.0,0.3,10,35
500.0,0.3,10,38
500.0,0.3,10,42
500.0,0.3,10,44
500.0,0.3,10,46
500.0,0.3,10,51
500.0,0.3,10,73
500.0,0.4,6,13
500.0,0.4,6,22
500.0,0.4,6,30
500.0,0.4,6,40
500.0,0.4,6,47
500.0,0.4,6,68
500.0,0.5,5,9
500.0,0.5,5,14
500.0,0.5,5,27
500.0,0.5,5,36
500.0,0.5,5,60
500.0,0.6,5,4
500.0,0.6,5,10
500.0,0.6,5,18
500.0,0.6,5,22
500.0,0.6,5,46
500.0,0.7,5,3
500.0,0.7,5,6
500.0,0.7,5,13
500.0,0.7,5,20
500.0,0.7,5,36
500.0,0.8,4,2
500.0,0.8,4,4
500.0,0.8,4,12
500.0,0.8,4,30
500.0,0.9,4,2
500.0,0.9,4,4
500.0,0.9,4,12
500.0,0.9,4,30
500.0,1.0,4,2
500.0,1.0,4,4
500.0,1.0,4,12
500.0,1.0,4,32
500.0,1.1,5,2
500.0,1.1,5,3
500.0,1.1,5,4
500.0,1.1,5,11
500.0,1.1,5,23
500.0,1.2,4,3
500.0,1.2,4,4
500.0,1.2,4,12
500.0,1.2,4,29
500.0,1.3,5,2
500.0,1.3,5,3
500.0,1.3,5,10
500.0,1.3,5,14
500.0,1.3,5,25
500.0,1.4,5,1
500.0,1.4,5,6
500.0,1.4,5,9
500.0,1.4,5,10
500.0,1.4,5,18
500.0,1.5,5,1
500.0,1.5,5,7
500.0,1.5,5,11
500.0,1.5,5,12
500.0,1.5,5,23
500.0,1.6,6,1
500.0,1.6,6,4
500.0,1.6,6,8
500.0,1.6,6,14
500.0,1.6,6,16
500.0,1.6,6,24
500.0,1.7,7,1
500.0,1.7,7,3
500.0,1.7,7,4
500.0,1.7,7,8
500.0,1.7,7,9
500.0,1.7,7,10
500.0,1.7,7,28
500.0,1.8,9,1
500.0,1.8,9,3
500.0,1.8,9,5
500.0,1.8,9,6
500.0,1.8,9,9
500.0,1.8,9,10
500.0,1.8,9,13
500.0,1.8,9,17
500.0,1.8,9,32
500.0,1.9,9,1
500.0,1.9,9,3
500.0,1.9,9,4
500.0,1.9,9,5
500.0,1.9,9,7
500.0,1.9,9,12
500.0,1.9,9,13
500.0,1.9,9,20
500.0,1.9,9,30
500.0,2.0,10,1
500.0,2.0,10,3
500.0,2.0,10,4
500.0,2.0,10,5
500.0,2.0,10,7
500.0,2.0,10,14
500.0,2.0,10,16
500.0,2.0,10,20
500.0,2.0,10,27
500.0,2.0,10,33
500.0,2.1,10,1
500.0,2.1,10,3
500.0,2.1,10,4
500.0,2.1,10,5
500.0,2.1,10,6
500.0,2.1,10,11
500.0,2.1,10,25
500.0,2.1,10,31
500.0,2.1,10,32
500.0,2.1,10,37
500.0,2.2,9,1
500.0,2.2,9,5
500.0,2.2,9,7
500.0,2.2,9,8
500.0,2.2,9,14
500.0,2.2,9,24
500.0,2.2,9,27
500.0,2.2,9,31
500.0,2.2,9,35
500.0,2.3,8,1
500.0,2.3,8,4
500.0,2.3,8,5
500.0,2.3,8,7
500.0,2.3,8,12
500.0,2.3,8,21
500.0,2.3,8,25
500.0,2.3,8,32
500.0,2.4,8,1
500.0,2.4,8,8
500.0,2.4,8,11
500.0,2.4,8,18
500.0,2.4,8,24
500.0,2.4,8,27
500.0,2.4,8,33
500.0,2.4,8,34
500.0,2.5,5,2
500.0,2.5,5,6
500.0,2.5,5,10
500.0,2.5,5,20
500.0,2.5,5,29
500.0,2.6,4,1
500.0,2.6,4,6
500.0,2.6,4,17
500.0,2.6,4,29
500.0,2.7,5,2
500.0,2.7,5,5
500.0,2.7,5,13
500.0,2.7,5,21
500.0,2.7,5,26
500.0,2.8,6,2
500.0,2.8,6,3
500.0,2.8,6,7
500.0,2.8,6,9
500.0,2.8,6,14
500.0,2.8,6,23
500.0,2.9,4,1
500.0,2.9,4,2
500.0,2.9,4,7
500.0,2.9,4,15
500.0,3.0,4,1
500.0,3.0,4,2
500.0,3.0,4,5
500.0,3.0,4,12
500.0,3.1,4,1
500.0,3.1,4,3
500.0,3.1,4,8
500.0,3.1,4,18
500.0,3.2,3,2
500.0,3.2,3,8
500.0,3.2,3,17
500.0,3.3,2,2
500.0,3.3,2,14
500.0,3.4,2,3
500.0,3.4,2,16
500.0,3.5,2,1
500.0,3.5,2,11
500.0,3.6,1,1
500.0,3.7,2,1
500.0,3.7,2,12
500.0,3.8,2,1
500.0,3.8,2,6
500.0,3.9,2,1
500.0,3.9,2,4
500.0,4.0,2,1
500.0,4.0,2,5
500.0,4.1,1,8
500.0,4.2,1,4
500.0,4.3,2,2
500.0,4.3,2,3
500.0,4.4,2,1
500.0,4.4,2,2
500.0,4.5,2,1
500.0,4.5,2,3
500.0,4.6,1,1
500.0,4.7,1,1
500.0,4.8,2,1
500.0,4.8,2,5
500.0,4.9,2,1
500.0,4.9,2,2
500.0,5.0,2,1
500.0,5.0,2,5
500.0,5.1,2,1
500.0,5.1,2,4
500.0,5.2,1,1
500.0,5.3,1,1
500.0,5.4,1,1
500.0,5.5,1,1
500.0,5.6,1,1
500.0,5.7,1,1
500.0,5.8,1,1
500.0,5.9,1,1
500.0,6.0,1,1
500.0,6.1,1,1
500.0,6.2,1,1
500.0,6.3,1,1
