level,value,number_of_labels,label
300.0,0.0,9,9
300.0,0.0,9,11
300.0,0.0,9,15
300.0,0.0,9,16
300.0,0.0,9,18
300.0,0.0,9,20
300.0,0.0,9,23
300.0,0.0,9,26
300.0,0.0,9,35
300.0,0.1,9,7
300.0,0.1,9,10
300.0,0.1,9,14
300.0,0.1,9,15
300.0,0.1,9,16
300.0,0.1,9,18
300.0,0.1,9,24
300.0,0.1,9,28
300.0,0.1,9,36
300.0,0.2,10,6
300.0,0.2,10,9
300.0,0.2,10,11
300.0,0.2,10,12
300.0,0.2,10,13
300.0,0.2,10,16
300.0,0.2,10,20
300.0,0.2,10,24
300.0,0.2,10,32
300.0,0.2,10,43
300.0,0.3,9,5
300.0,0.3,9,8
300.0,0.3,9,12
300.0,0.3,9,14
300.0,0.3,9,20
300.0,0.3,9,25
300.0,0.3,9,28
300.0,0.3,9,33
300.0,0.3,9,45
300.0,0.4,8,7
300.0,0.4,8,10
300.0,0.4,8,14
300.0,0.4,8,21
300.0,0.4,8,25
300.0,0.4,8,28
300.0,0.4,8,32
300.0,0.4,8,44
300.0,0.5,5,8
300.0,0.5,5,9
300.0,0.5,5,30
300.0,0.5,5,32
300.0,0.5,5,38
300.0,0.6,4,10
300.0,0.6,4,29
300.0,0.6,4,31
300.0,0.6,4,38
300.0,0.7,3,29
300.0,0.7,3,30
300.0,0.7,3,37
300.0,0.8,3,21
300.0,0.8,3,22
300.0,0.8,3,26
300.0,0.9,3,20
300.0,0.9,3,25
300.0,0.9,3,39
300.0,1.0,2,23
300.0,1.0,2,38
300.0,1.1,3,21
300.0,1.1,3,35
300.0,1.1,3,38
300.0,1.2,3,20
300.0,1.2,3,34
300.0,1.2,3,37
300.0,1.3,3,25
300.0,1.3,3,34
300.0,1.3,3,36
300.0,1.4,4,21
300.0,1.4,4,30
300.0,1.4,4,31
300.0,1.4,4,33
300.0,1.5,4,18
300.0,1.5,4,26
300.0,1.5,4,28
300.0,1.5,4,30
300.0,1.6,3,19
300.0,1.6,3,27
300.0,1.6,3,28
300.0,1.7,2,21
300.0,1.7,2,31
300.0,1.8,2,20
300.0,1.8,2,31
300.0,1.9,2,20
300.0,1.9,2,36
300.0,2.0,1,26
300.0,2.1,3,8
300.0,2.1,3,16
300.0,2.1,3,22
300.0,2.2,3,14
300.0,2.2,3,15
300.0,2.2,3,18
300.0,2.3,2,12
300.0,2.3,2,19
300.0,2.4,6,3
300.0,2.4,6,13
300.0,2.4,6,17
300.0,2.4,6,20
300.0,2.4,6,31
300.0,2.4,6,45
300.0,2.5,7,3
300.0,2.5,7,10
300.0,2.5,7,12
300.0,2.5,7,20
300.0,2.5,7,43
300.0,2.5,7,51
300.0,2.5,7,55
300.0,2.6,6,3
300.0,2.6,6,8
300.0,2.6,6,12
300.0,2.6,6,21
300.0,2.6,6,39
300.0,2.6,6,52
300.0,2.7,7,2
300.0,2.7,7,6
300.0,2.7,7,9
300.0,2.7,7,17
300.0,2.7,7,18
300.0,2.7,7,39
300.0,2.7,7,52
300.0,2.8,13,5
300.0,2.8,13,7
300.0,2.8,13,12
300.0,2.8,13,14
300.0,2.8,13,19
300.0,2.8,13,23
300.0,2.8,13,24
300.0,2.8,13,25
300.0,2.8,13,26
300.0,2.8,13,31
300.0,2.8,13,39
300.0,2.8,13,49
300.0,2.8,13,60
300.0,2.9,12,3
300.0,2.9,12,5
300.0,2.9,12,8
300.0,2.9,12,10
300.0,2.9,12,16
300.0,2.9,12,23
300.0,2.9,12,26
300.0,2.9,12,32
300.0,2.9,12,33
300.0,2.9,12,42
300.0,2.9,12,53
300.0,2.9,12,64
300.0,3.0,11,3
300.0,3.0,11,4
300.0,3.0,11,6
300.0,3.0,11,8
300.0,3.0,11,9
300.0,3.0,11,18
300.0,3.0,11,28
300.0,3.0,11,36
300.0,3.0,11,39
300.0,3.0,11,44
300.0,3.0,11,64
300.0,3.1,14,3
300.0,3.1,14,4
300.0,3.1,14,6
300.0,3.1,14,7
300.0,3.1,14,8
300.0,3.1,14,12
300.0,3.1,14,13
300.0,3.1,14,15
300.0,3.1,14,25
300.0,3.1,14,35
300.0,3.1,14,40
300.0,3.1,14,43
300.0,3.1,14,48
300.0,3.1,14,68
300.0,3.2,13,2
300.0,3.2,13,3
300.0,3.2,13,5
300.0,3.2,13,6
300.0,3.2,13,7
300.0,3.2,13,15
300.0,3.2,13,17
300.0,3.2,13,28
300.0,3.2,13,36
300.0,3.2,13,42
300.0,3.2,13,46
300.0,3.2,13,50
300.0,3.2,13,69
300.0,3.3,9,3
300.0,3.3,9,6
300.0,3.3,9,13
300.0,3.3,9,15
300.0,3.3,9,27
300.0,3.3,9,38
300.0,3.3,9,49
300.0,3.3,9,52
300.0,3.3,9,72
300.0,3.4,8,3
300.0,3.4,8,5
300.0,3.4,8,12
300.0,3.4,8,15
300.0,3.4,8,29
300.0,3.4,8,38
300.0,3.4,8,47
300.0,3.4,8,67
300.0,3.5,9,3
300.0,3.5,9,7
300.0,3.5,9,10
300.0,3.5,9,12
300.0,3.5,9,16
300.0,3.5,9,30
300.0,3.5,9,38
300.0,3.5,9,43
300.0,3.5,9,58
300.0,3.6,8,5
300.0,3.6,8,8
300.0,3.6,8,10
300.0,3.6,8,14
300.0,3.6,8,25
300.0,3.6,8,32
300.0,3.6,8,39
300.0,3.6,8,51
300.0,3.7,7,5
300.0,3.7,7,6
300.0,3.7,7,10
300.0,3.7,7,21
300.0,3.7,7,26
300.0,3.7,7,30
300.0,3.7,7,35
300.0,3.8,7,4
300.0,3.8,7,5
300.0,3.8,7,9
300.0,3.8,7,20
300.0,3.8,7,27
300.0,3.8,7,31
300.0,3.8,7,37
300.0,3.9,8,1
300.0,3.9,8,2
300.0,3.9,8,6
300.0,3.9,8,8
300.0,3.9,8,19
300.0,3.9,8,25
300.0,3.9,8,27
300.0,3.9,8,34
300.0,4.0,8,1
300.0,4.0,8,8
300.0,4.0,8,26
300.0,4.0,8,31
300.0,4.0,8,32
300.0,4.0,8,35
300.0,4.0,8,42
300.0,4.0,8,58
300.0,4.1,8,1
300.0,4.1,8,3
300.0,4.1,8,8
300.0,4.1,8,16
300.0,4.1,8,24
300.0,4.1,8,30
300.0,4.1,8,49
300.0,4.1,8,68
300.0,4.2,8,2
300.0,4.2,8,3
300.0,4.2,8,8
300.0,4.2,8,24
300.0,4.2,8,30
300.0,4.2,8,47
300.0,4.2,8,66
300.0,4.2,8,71
300.0,4.3,8,1
300.0,4.3,8,2
300.0,4.3,8,9
300.0,4.3,8,26
300.0,4.3,8,29
300.0,4.3,8,42
300.0,4.3,8,60
300.0,4.3,8,65
300.0,4.4,8,1
300.0,4.4,8,3
300.0,4.4,8,7
300.0,4.4,8,24
300.0,4.4,8,27
300.0,4.4,8,39
300.0,4.4,8,43
300.0,4.4,8,55
300.0,4.5,9,1
300.0,4.5,9,3
300.0,4.5,9,7
300.0,4.5,9,20
300.0,4.5,9,22
300.0,4.5,9,31
300.0,4.5,9,35
300.0,4.5,9,37
300.0,4.5,9,44
300.0,4.6,8,1
300.0,4.6,8,3
300.0,4.6,8,7
300.0,4.6,8,9
300.0,4.6,8,19
300.0,4.6,8,28
300.0,4.6,8,32
300.0,4.6,8,34
300.0,4.7,8,1
300.0,4.7,8,3
300.0,4.7,8,6
300.0,4.7,8,9
300.0,4.7,8,16
300.0,4.7,8,25
300.0,4.7,8,30
300.0,4.7,8,32
300.0,4.8,5,1
300.0,4.8,5,3
300.0,4.8,5,16
300.0,4.8,5,29
300.0,4.8,5,34
300.0,4.9,5,1
300.0,4.9,5,7
300.0,4.9,5,16
300.0,4.9,5,24
300.0,4.9,5,29
300.0,5.0,5,1
300.0,5.0,5,7
300.0,5.0,5,13
300.0,5.0,5,18
300.0,5.0,5,23
300.0,5.1,3,4
300.0,5.1,3,12
300.0,5.1,3,23
300.0,5.2,3,4
300.0,5.2,3,9
300.0,5.2,3,23
300.0,5.3,2,9
300.0,5.3,2,20
300.0,5.4,2,6
300.0,5.4,2,13
300.0,5.5,3,4
300.0,5.5,3,6
300.0,5.5,3,13
300.0,5.6,5,2
300.0,5.6,5,4
300.0,5.6,5,5
300.0,5.6,5,7
300.0,5.6,5,13
300.0,5.7,5,2
300.0,5.7,5,4
300.0,5.7,5,5
300.0,5.7,5,7
300.0,5.7,5,11
300.0,5.8,5,1
300.0,5.8,5,3
