level,value,number_of_labels,label
300.0,0.0,5,22
300.0,0.0,5,33
300.0,0.0,5,51
300.0,0.0,5,52
300.0,0.0,5,61
300.0,0.1,5,20
300.0,0.1,5,32
300.0,0.1,5,51
300.0,0.1,5,53
300.0,0.1,5,58
300.0,0.2,5,19
300.0,0.2,5,29
300.0,0.2,5,48
300.0,0.2,5,49
300.0,0.2,5,57
300.0,0.3,7,8
300.0,0.3,7,21
300.0,0.3,7,31
300.0,0.3,7,45
300.0,0.3,7,51
300.0,0.3,7,52
300.0,0.3,7,58
300.0,0.4,7,9
300.0,0.4,7,20
300.0,0.4,7,28
300.0,0.4,7,35
300.0,0.4,7,44
300.0,0.4,7,50
300.0,0.4,7,51
300.0,0.5,8,11
300.0,0.5,8,12
300.0,0.5,8,28
300.0,0.5,8,43
300.0,0.5,8,46
300.0,0.5,8,47
300.0,0.5,8,53
300.0,0.5,8,66
300.0,0.6,7,10
300.0,0.6,7,11
300.0,0.6,7,28
300.0,0.6,7,41
300.0,0.6,7,43
300.0,0.6,7,45
300.0,0.6,7,67
300.0,0.7,8,9
300.0,0.7,8,11
300.0,0.7,8,12
300.0,0.7,8,42
300.0,0.7,8,44
300.0,0.7,8,46
300.0,0.7,8,67
300.0,0.7,8,73
300.0,0.8,9,10
300.0,0.8,9,11
300.0,0.8,9,12
300.0,0.8,9,41
300.0,0.8,9,44
300.0,0.8,9,47
300.0,0.8,9,66
300.0,0.8,9,73
300.0,0.8,9,84
300.0,0.9,8,8
300.0,0.9,8,13
300.0,0.9,8,14
300.0,0.9,8,21
300.0,0.9,8,48
300.0,0.9,8,70
300.0,0.9,8,77
300.0,0.9,8,84
300.0,1.0,7,8
300.0,1.0,7,10
300.0,1.0,7,11
300.0,1.0,7,24
300.0,1.0,7,49
300.0,1.0,7,77
300.0,1.0,7,83
300.0,1.1,8,10
300.0,1.1,8,11
300.0,1.1,8,15
300.0,1.1,8,16
300.0,1.1,8,32
300.0,1.1,8,55
300.0,1.1,8,85
300.0,1.1,8,92
300.0,1.2,11,8
300.0,1.2,11,10
300.0,1.2,11,11
300.0,1.2,11,14
300.0,1.2,11,15
300.0,1.2,11,28
