level,value,number_of_labels,label 
1000.000, 0.00,1,5  
900.000, 0.00,3,26  
900.000, 0.00,3,33  
900.000, 0.00,3,36  
850.000, 0.00,2,11  
850.000, 0.00,2,22  
800.000, 0.00,2,17  
800.000, 0.00,2,20  
750.000, 0.00,2,11  
750.000, 0.00,2,18  
700.000, 0.00,2,1  
700.000, 0.00,2,22  
600.000, 0.00,1,10  
500.000, 0.00,2,12  
500.000, 0.00,2,25  
400.000, 0.00,7,14  
400.000, 0.00,7,15  
400.000, 0.00,7,16  
400.000, 0.00,7,17  
400.000, 0.00,7,23  
400.000, 0.00,7,41  
400.000, 0.00,7,52  
300.000, 0.00,6,8  
300.000, 0.00,6,40  
300.000, 0.00,6,49  
300.000, 0.00,6,55  
300.000, 0.00,6,59  
300.000, 0.00,6,71  
1000.000, 0.10,1,5  
900.000, 0.10,1,40  
850.000, 0.10,2,14  
850.000, 0.10,2,24  
800.000, 0.10,2,20  
800.000, 0.10,2,26  
750.000, 0.10,3,1  
750.000, 0.10,3,9  
750.000, 0.10,3,16  
700.000, 0.10,2,1  
700.000, 0.10,2,22  
600.000, 0.10,1,9  
500.000, 0.10,2,10  
500.000, 0.10,2,23  
400.000, 0.10,4,12  
400.000, 0.10,4,13  
400.000, 0.10,4,14  
400.000, 0.10,4,15  
300.000, 0.10,7,6  
300.000, 0.10,7,33  
300.000, 0.10,7,40  
300.000, 0.10,7,46  
300.000, 0.10,7,50  
300.000, 0.10,7,52  
300.000, 0.10,7,80  
1000.000, 0.20,1,5  
900.000, 0.20,1,30  
850.000, 0.20,2,16  
850.000, 0.20,2,28  
800.000, 0.20,3,3  
800.000, 0.20,3,19  
800.000, 0.20,3,25  
750.000, 0.20,2,1  
750.000, 0.20,2,11  
700.000, 0.20,1,2  
600.000, 0.20,1,10  
500.000, 0.20,1,21  
400.000, 0.20,6,6  
400.000, 0.20,6,12  
400.000, 0.20,6,14  
400.000, 0.20,6,15  
400.000, 0.20,6,16  
400.000, 0.20,6,32  
300.000, 0.20,6,7  
300.000, 0.20,6,35  
300.000, 0.20,6,43  
300.000, 0.20,6,49  
300.000, 0.20,6,54  
300.000, 0.20,6,77  
1000.000, 0.30,1,6  
900.000, 0.30,2,25  
900.000, 0.30,2,34  
850.000, 0.30,3,13  
850.000, 0.30,3,21  
850.000, 0.30,3,29  
800.000, 0.30,3,4  
800.000, 0.30,3,20  
800.000, 0.30,3,26  
750.000, 0.30,2,1  
750.000, 0.30,2,13  
