level,value,number_of_labels,label
500.0,0.0,7,15
500.0,0.0,7,19
500.0,0.0,7,26
500.0,0.0,7,33
500.0,0.0,7,43
500.0,0.0,7,51
500.0,0.0,7,54
500.0,0.1,2,45
500.0,0.1,2,52
500.0,0.2,3,12
500.0,0.2,3,42
500.0,0.2,3,48
500.0,0.3,5,9
500.0,0.3,5,14
500.0,0.3,5,37
500.0,0.3,5,42
500.0,0.3,5,54
500.0,0.4,5,9
500.0,0.4,5,12
500.0,0.4,5,16
500.0,0.4,5,35
500.0,0.4,5,51
500.0,0.5,6,7
500.0,0.5,6,16
500.0,0.5,6,18
500.0,0.5,6,21
500.0,0.5,6,40
500.0,0.5,6,60
500.0,0.6,5,14
500.0,0.6,5,18
500.0,0.6,5,35
500.0,0.6,5,52
500.0,0.6,5,57
500.0,0.7,5,16
500.0,0.7,5,18
500.0,0.7,5,36
500.0,0.7,5,52
500.0,0.7,5,58
500.0,0.8,5,22
500.0,0.8,5,23
500.0,0.8,5,39
500.0,0.8,5,49
500.0,0.8,5,56
500.0,0.9,4,18
500.0,0.9,4,32
500.0,0.9,4,43
500.0,0.9,4,50
500.0,1.0,4,4
500.0,1.0,4,20
500.0,1.0,4,29
500.0,1.0,4,34
500.0,1.1,4,3
500.0,1.1,4,20
500.0,1.1,4,28
500.0,1.1,4,33
500.0,1.2,5,3
500.0,1.2,5,23
500.0,1.2,5,24
500.0,1.2,5,30
500.0,1.2,5,38
500.0,1.3,3,3
500.0,1.3,3,21
500.0,1.3,3,41
500.0,1.4,4,3
500.0,1.4,4,18
500.0,1.4,4,39
500.0,1.4,4,40
500.0,1.5,4,3
500.0,1.5,4,19
500.0,1.5,4,41
500.0,1.5,4,42
500.0,1.6,3,3
500.0,1.6,3,16
500.0,1.6,3,46
500.0,1.7,3,3
500.0,1.7,3,16
500.0,1.7,3,39
500.0,1.8,3,4
500.0,1.8,3,15
500.0,1.8,3,36
500.0,1.9,5,3
500.0,1.9,5,4
500.0,1.9,5,6
500.0,1.9,5,13
500.0,1.9,5,29
500.0,2.0,5,4
500.0,2.0,5,6
500.0,2.0,5,11
500.0,2.0,5,37
500.0,2.0,5,39
500.0,2.1,6,5
500.0,2.1,6,7
500.0,2.1,6,12
500.0,2.1,6,17
500.0,2.1,6,35
500.0,2.1,6,39
500.0,2.2,6,6
500.0,2.2,6,9
500.0,2.2,6,14
500.0,2.2,6,19
500.0,2.2,6,20
500.0,2.2,6,35
500.0,2.3,5,4
500.0,2.3,5,6
500.0,2.3,5,15
500.0,2.3,5,16
500.0,2.3,5,35
500.0,2.4,5,5
500.0,2.4,5,10
500.0,2.4,5,18
500.0,2.4,5,26
500.0,2.4,5,32
500.0,2.5,6,4
500.0,2.5,6,8
500.0,2.5,6,12
500.0,2.5,6,15
500.0,2.5,6,23
500.0,2.5,6,28
500.0,2.6,7,4
500.0,2.6,7,7
500.0,2.6,7,12
500.0,2.6,7,17
500.0,2.6,7,20
500.0,2.6,7,27
500.0,2.6,7,35
500.0,2.7,6,3
500.0,2.7,6,5
500.0,2.7,6,8
500.0,2.7,6,14
500.0,2.7,6,17
500.0,2.7,6,24
500.0,2.8,5,7
500.0,2.8,5,8
500.0,2.8,5,11
500.0,2.8,5,16
500.0,2.8,5,27
500.0,2.9,5,6
500.0,2.9,5,7
500.0,2.9,5,11
500.0,2.9,5,14
500.0,2.9,5,27
500.0,3.0,4,4
500.0,3.0,4,6
500.0,3.0,4,13
500.0,3.0,4,25
500.0,3.1,4,6
500.0,3.1,4,7
500.0,3.1,4,12
500.0,3.1,4,23
500.0,3.2,7,5
500.0,3.2,7,6
500.0,3.2,7,9
500.0,3.2,7,10
500.0,3.2,7,18
500.0,3.2,7,20
500.0,3.2,7,24
500.0,3.3,7,5
500.0,3.3,7,6
500.0,3.3,7,8
500.0,3.3,7,11
500.0,3.3,7,19
500.0,3.3,7,20
500.0,3.3,7,25
500.0,3.4,7,4
500.0,3.4,7,5
500.0,3.4,7,7
500.0,3.4,7,10
500.0,3.4,7,16
500.0,3.4,7,18
500.0,3.4,7,24
500.0,3.5,7,2
500.0,3.5,7,3
500.0,3.5,7,5
500.0,3.5,7,6
500.0,3.5,7,12
500.0,3.5,7,13
500.0,3.5,7,17
500.0,3.6,8,1
500.0,3.6,8,2
500.0,3.6,8,4
500.0,3.6,8,6
500.0,3.6,8,7
500.0,3.6,8,14
500.0,3.6,8,15
500.0,3.6,8,21
500.0,3.7,9,1
500.0,3.7,9,2
500.0,3.7,9,4
500.0,3.7,9,7
500.0,3.7,9,9
500.0,3.7,9,16
500.0,3.7,9,19
500.0,3.7,9,25
500.0,3.7,9,27
500.0,3.8,8,1
500.0,3.8,8,2
500.0,3.8,8,3
500.0,3.8,8,6
500.0,3.8,8,8
500.0,3.8,8,14
500.0,3.8,8,17
500.0,3.8,8,19
500.0,3.9,8,1
500.0,3.9,8,2
500.0,3.9,8,3
500.0,3.9,8,7
500.0,3.9,8,9
500.0,3.9,8,17
500.0,3.9,8,18
500.0,3.9,8,20
500.0,4.0,8,1
500.0,4.0,8,2
500.0,4.0,8,4
500.0,4.0,8,5
500.0,4.0,8,6
500.0,4.0,8,12
500.0,4.0,8,13
500.0,4.0,8,15
500.0,4.1,8,1
500.0,4.1,8,2
500.0,4.1,8,4
500.0,4.1,8,5
500.0,4.1,8,7
500.0,4.1,8,14
500.0,4.1,8,15
500.0,4.1,8,17
500.0,4.2,7,1
500.0,4.2,7,2
500.0,4.2,7,4
500.0,4.2,7,5
500.0,4.2,7,11
500.0,4.2,7,18
500.0,4.2,7,20
500.0,4.3,7,1
500.0,4.3,7,2
500.0,4.3,7,5
500.0,4.3,7,6
500.0,4.3,7,11
500.0,4.3,7,17
500.0,4.3,7,18
500.0,4.4,8,1
500.0,4.4,8,2
500.0,4.4,8,8
500.0,4.4,8,11
500.0,4.4,8,14
500.0,4.4,8,21
500.0,4.4,8,23
500.0,4.4,8,26
500.0,4.5,9,1
500.0,4.5,9,2
500.0,4.5,9,7
500.0,4.5,9,11
500.0,4.5,9,14
500.0,4.5,9,16
500.0,4.5,9,22
500.0,4.5,9,24
500.0,4.5,9,25
500.0,4.6,9,1
500.0,4.6,9,2
500.0,4.6,9,4
500.0,4.6,9,9
500.0,4.6,9,12
500.0,4.6,9,13
500.0,4.6,9,18
500.0,4.6,9,20
500.0,4.6,9,22
500.0,4.7,8,3
500.0,4.7,8,6
500.0,4.7,8,9
500.0,4.7,8,13
500.0,4.7,8,15
500.0,4.7,8,17
500.0,4.7,8,19
500.0,4.7,8,24
500.0,4.8,8,2
500.0,4.8,8,5
500.0,4.8,8,8
500.0,4.8,8,11
500.0,4.8,8,13
500.0,4.8,8,16
500.0,4.8,8,18
500.0,4.8,8,25
500.0,4.9,6,3
500.0,4.9,6,10
500.0,4.9,6,12
500.0,4.9,6,13
500.0,4.9,6,17
500.0,4.9,6,19
500.0,5.0,6,1
500.0,5.0,6,7
500.0,5.0,6,8
500.0,5.0,6,9
500.0,5.0,6,13
500.0,5.0,6,15
500.0,5.1,7,1
500.0,5.1,7,6
500.0,5.1,7,8
500.0,5.1,7,11
500.0,5.1,7,17
500.0,5.1,7,19
500.0,5.1,7,25
500.0,5.2,7,1
500.0,5.2,7,5
500.0,5.2,7,7
500.0,5.2,7,12
500.0,5.2,7,17
500.0,5.2,7,19
500.0,5.2,7,24
500.0,5.3,7,1
500.0,5.3,7,4
500.0,5.3,7,6
500.0,5.3,7,12
500.0,5.3,7,18
500.0,5.3,7,19
500.0,5.3,7,24
500.0,5.4,6,1
500.0,5.4,6,5
500.0,5.4,6,6
500.0,5.4,6,11
500.0,5.4,6,18
500.0,5.4,6,20
500.0,5.5,6,1
500.0,5.5,6,4
500.0,5.5,6,6
500.0,5.5,6,10
500.0,5.5,6,15
500.0,5.5,6,17
500.0,5.6,6,1
500.0,5.6,6,5
500.0,5.6,6,7
500.0,5.6,6,8
500.0,5.6,6,13
500.0,5.6,6,14
500.0,5.7,5,1
500.0,5.7,5,3
500.0,5.7,5,5
500.0,5.7,5,7
500.0,5.7,5,10
500.0,5.8,5,1
500.0,5.8,5,3
500.0,5.8,5,6
500.0,5.8,5,8
500.0,5.8,5,12
500.0,5.9,5,1
500.0,5.9,5,5
500.0,5.9,5,9
500.0,5.9,5,11
500.0,5.9,5,15
500.0,6.0,5,1
500.0,6.0,5,5
500.0,6.0,5,8
500.0,6.0,5,9
500.0,6.0,5,12
500.0,6.1,6,1
500.0,6.1,6,6
500.0,6.1,6,7
500.0,6.1,6,9
500.0,6.1,6,10
500.0,6.1,6,11
500.0,6.2,6,1
500.0,6.2,6,6
500.0,6.2,6,8
500.0,6.2,6,10
500.0,6.2,6,11
500.0,6.2,6,12
500.0,6.3,6,1
500.0,6.3,6,5
500.0,6.3,6,7
500.0,6.3,6,8
500.0,6.3,6,9
500.0,6.3,6,11
500.0,6.4,6,1
500.0,6.4,6,5
500.0,6.4,6,6
500.0,6.4,6,7
500.0,6.4,6,8
500.0,6.4,6,9
500.0,6.5,5,1
500.0,6.5,5,7
500.0,6.5,5,8
500.0,6.5,5,9
500.0,6.5,5,10
500.0,6.6,5,1
500.0,6.6,5,8
500.0,6.6,5,9
500.0,6.6,5,10
500.0,6.6,5,12
500.0,6.7,5,1
500.0,6.7,5,6
500.0,6.7,5,9
500.0,6.7,5,10
500.0,6.7,5,13
500.0,6.8,5,1
500.0,6.8,5,5
500.0,6.8,5,7
500.0,6.8,5,8
500.0,6.8,5,10
500.0,6.9,4,1
500.0,6.9,4,7
500.0,6.9,4,8
500.0,6.9,4,10
500.0,7.0,4,1
500.0,7.0,4,10
500.0,7.0,4,11
500.0,7.0,4,13
500.0,7.1,4,1
500.0,7.1,4,11
500.0,7.1,4,12
500.0,7.1,4,13
500.0,7.2,4,1
500.0,7.2,4,7
500.0,7.2,4,8
500.0,7.2,4,9
500.0,7.3,4,1
500.0,7.3,4,9
500.0,7.3,4,10
500.0,7.3,4,11
500.0,7.4,4,1
500.0,7.4,4,6
500.0,7.4,4,8
500.0,7.4,4,9
500.0,7.5,3,1
500.0,7.5,3,7
500.0,7.5,3,8
500.0,7.6,3,1
500.0,7.6,3,8
500.0,7.6,3,10
500.0,7.7,3,2
500.0,7.7,3,7
500.0,7.7,3,8
500.0,7.8,3,1
500.0,7.8,3,5
500.0,7.8,3,6
500.0,7.9,3,1
500.0,7.9,3,5
500.0,7.9,3,6
500.0,8.0,3,1
500.0,8.0,3,5
500.0,8.0,3,6
500.0,8.1,3,1
500.0,8.1,3,5
500.0,8.1,3,6
500.0,8.2,3,1
500.0,8.2,3,5
500.0,8.2,3,7
500.0,8.3,3,3
500.0,8.3,3,5
500.0,8.3,3,7
500.0,8.4,3,2
500.0,8.4,3,4
500.0,8.4,3,6
500.0,8.5,3,1
500.0,8.5,3,3
500.0,8.5,3,4
500.0,8.6,3,1
500.0,8.6,3,2
500.0,8.6,3,3
