level,value,number_of_labels,label 
1000.000, 0.00,4,5  
1000.000, 0.00,4,7  
1000.000, 0.00,4,9  
1000.000, 0.00,4,12  
900.000, 0.00,4,15  
900.000, 0.00,4,18  
900.000, 0.00,4,19  
900.000, 0.00,4,30  
850.000, 0.00,3,19  
850.000, 0.00,3,31  
850.000, 0.00,3,32  
800.000, 0.00,1,23  
700.000, 0.00,2,4  
700.000, 0.00,2,12  
650.000, 0.00,1,16  
600.000, 0.00,1,15  
500.000, 0.00,2,12  
500.000, 0.00,2,13  
400.000, 0.00,8,11  
400.000, 0.00,8,23  
400.000, 0.00,8,31  
400.000, 0.00,8,41  
400.000, 0.00,8,60  
400.000, 0.00,8,62  
400.000, 0.00,8,68  
400.000, 0.00,8,75  
300.000, 0.00,5,27  
300.000, 0.00,5,34  
300.000, 0.00,5,68  
300.000, 0.00,5,77  
300.000, 0.00,5,82  
1000.000, 0.10,4,6  
1000.000, 0.10,4,9  
1000.000, 0.10,4,10  
1000.000, 0.10,4,15  
900.000, 0.10,4,14  
900.000, 0.10,4,16  
900.000, 0.10,4,23  
900.000, 0.10,4,28  
850.000, 0.10,3,6  
850.000, 0.10,3,17  
850.000, 0.10,3,30  
800.000, 0.10,1,9  
750.000, 0.10,2,5  
750.000, 0.10,2,6  
700.000, 0.10,2,4  
700.000, 0.10,2,16  
600.000, 0.10,1,15  
500.000, 0.10,1,12  
400.000, 0.10,9,7  
400.000, 0.10,9,9  
400.000, 0.10,9,21  
400.000, 0.10,9,28  
400.000, 0.10,9,31  
400.000, 0.10,9,41  
400.000, 0.10,9,62  
400.000, 0.10,9,64  
400.000, 0.10,9,74  
300.000, 0.10,6,22  
300.000, 0.10,6,23  
300.000, 0.10,6,30  
300.000, 0.10,6,80  
300.000, 0.10,6,84  
300.000, 0.10,6,107  
1000.000, 0.20,2,6  
1000.000, 0.20,2,14  
900.000, 0.20,2,11  
900.000, 0.20,2,18  
750.000, 0.20,3,7  
750.000, 0.20,3,10  
750.000, 0.20,3,19  
700.000, 0.20,1,18  
600.000, 0.20,2,8  
600.000, 0.20,2,14  
500.000, 0.20,1,15  
400.000, 0.20,8,8  
400.000, 0.20,8,10  
400.000, 0.20,8,22  
400.000, 0.20,8,34  
400.000, 0.20,8,41  
400.000, 0.20,8,61  
400.000, 0.20,8,63  
400.000, 0.20,8,72  
300.000, 0.20,9,6  
300.000, 0.20,9,7  
300.000, 0.20,9,17  
300.000, 0.20,9,18  
300.000, 0.20,9,26  
300.000, 0.20,9,27  
300.000, 0.20,9,76  
300.000, 0.20,9,78  
300.000, 0.20,9,101  
1000.000, 0.30,2,6  
1000.000, 0.30,2,14  
900.000, 0.30,1,24  
750.000, 0.30,4,7  
750.000, 0.30,4,10  
750.000, 0.30,4,18  
750.000, 0.30,4,20  
700.000, 0.30,1,16  
600.000, 0.30,2,7  
600.000, 0.30,2,11  
500.000, 0.30,1,15  
400.000, 0.30,8,6  
400.000, 0.30,8,11  
400.000, 0.30,8,26  
400.000, 0.30,8,31  
400.000, 0.30,8,38  
400.000, 0.30,8,45  
400.000, 0.30,8,60  
400.000, 0.30,8,71  
300.000, 0.30,8,7  
300.000, 0.30,8,8  
300.000, 0.30,8,19  
300.000, 0.30,8,22  
300.000, 0.30,8,29  
300.000, 0.30,8,73  
300.000, 0.30,8,81  
300.000, 0.30,8,115  
1000.000, 0.40,2,4  
1000.000, 0.40,2,7  
900.000, 0.40,1,6  
850.000, 0.40,1,15  
750.000, 0.40,3,12  
750.000, 0.40,3,22  
750.000, 0.40,3,23  
700.000, 0.40,3,4  
700.000, 0.40,3,11  
700.000, 0.40,3,19  
600.000, 0.40,2,9  
600.000, 0.40,2,14  
500.000, 0.40,1,18  
400.000, 0.40,9,6  
400.000, 0.40,9,11  
400.000, 0.40,9,23  
400.000, 0.40,9,30  
