level,value,number_of_labels,label
600.0,0.0,1,2
600.0,0.1,2,2
600.0,0.1,2,14
600.0,0.2,2,3
600.0,0.2,2,12
600.0,0.3,1,4
600.0,0.4,3,6
600.0,0.4,3,15
600.0,0.4,3,19
600.0,0.5,3,6
600.0,0.5,3,14
600.0,0.5,3,21
600.0,0.6,2,12
600.0,0.6,2,18
600.0,0.7,2,14
600.0,0.7,2,16
600.0,0.8,3,6
600.0,0.8,3,10
600.0,0.8,3,13
600.0,0.9,4,7
600.0,0.9,4,14
600.0,0.9,4,15
600.0,0.9,4,19
600.0,1.0,5,4
600.0,1.0,5,7
600.0,1.0,5,13
600.0,1.0,5,15
600.0,1.0,5,20
600.0,1.1,7,3
600.0,1.1,7,6
600.0,1.1,7,12
600.0,1.1,7,13
600.0,1.1,7,16
600.0,1.1,7,18
600.0,1.1,7,24
600.0,1.2,9,5
600.0,1.2,9,7
600.0,1.2,9,11
600.0,1.2,9,12
600.0,1.2,9,13
600.0,1.2,9,17
600.0,1.2,9,20
600.0,1.2,9,21
600.0,1.2,9,26
600.0,1.3,9,2
600.0,1.3,9,3
600.0,1.3,9,4
600.0,1.3,9,6
600.0,1.3,9,12
600.0,1.3,9,20
600.0,1.3,9,25
600.0,1.3,9,27
600.0,1.3,9,32
600.0,1.4,8,2
600.0,1.4,8,3
600.0,1.4,8,4
600.0,1.4,8,7
600.0,1.4,8,16
600.0,1.4,8,21
600.0,1.4,8,23
600.0,1.4,8,28
600.0,1.5,8,2
600.0,1.5,8,3
600.0,1.5,8,4
600.0,1.5,8,8
600.0,1.5,8,16
600.0,1.5,8,25
600.0,1.5,8,26
600.0,1.5,8,29
600.0,1.6,9,2
600.0,1.6,9,3
600.0,1.6,9,4
600.0,1.6,9,8
600.0,1.6,9,13
600.0,1.6,9,15
600.0,1.6,9,25
600.0,1.6,9,26
600.0,1.6,9,28
600.0,1.7,8,2
600.0,1.7,8,3
600.0,1.7,8,4
600.0,1.7,8,17
600.0,1.7,8,20
600.0,1.7,8,30
600.0,1.7,8,31
600.0,1.7,8,35
600.0,1.8,6,2
600.0,1.8,6,3
600.0,1.8,6,5
600.0,1.8,6,21
600.0,1.8,6,25
600.0,1.8,6,44
600.0,1.9,7,2
600.0,1.9,7,5
600.0,1.9,7,6
600.0,1.9,7,7
600.0,1.9,7,15
600.0,1.9,7,16
600.0,1.9,7,34
600.0,2.0,6,4
600.0,2.0,6,6
600.0,2.0,6,8
600.0,2.0,6,13
600.0,2.0,6,14
600.0,2.0,6,23
600.0,2.1,8,3
600.0,2.1,8,4
600.0,2.1,8,6
600.0,2.1,8,9
600.0,2.1,8,14
600.0,2.1,8,16
600.0,2.1,8,19
600.0,2.1,8,31
600.0,2.2,7,2
600.0,2.2,7,3
600.0,2.2,7,4
600.0,2.2,7,10
600.0,2.2,7,17
600.0,2.2,7,18
600.0,2.2,7,22
600.0,2.3,6,3
600.0,2.3,6,4
600.0,2.3,6,5
600.0,2.3,6,14
600.0,2.3,6,17
600.0,2.3,6,24
600.0,2.4,5,3
600.0,2.4,5,4
600.0,2.4,5,13
600.0,2.4,5,15
600.0,2.4,5,22
600.0,2.5,5,3
600.0,2.5,5,5
600.0,2.5,5,9
600.0,2.5,5,14
600.0,2.5,5,21
600.0,2.6,6,2
600.0,2.6,6,4
600.0,2.6,6,9
600.0,2.6,6,15
600.0,2.6,6,16
600.0,2.6,6,21
600.0,2.7,4,5
600.0,2.7,4,18
600.0,2.7,4,19
600.0,2.7,4,23
600.0,2.8,4,5
600.0,2.8,4,14
600.0,2.8,4,15
600.0,2.8,4,19
600.0,2.9,5,4
600.0,2.9,5,7
600.0,2.9,5,15
600.0,2.9,5,16
600.0,2.9,5,18
600.0,3.0,4,4
600.0,3.0,4,15
600.0,3.0,4,16
600.0,3.0,4,21
600.0,3.1,5,3
600.0,3.1,5,14
600.0,3.1,5,15
600.0,3.1,5,21
600.0,3.1,5,22
600.0,3.2,4,4
600.0,3.2,4,12
600.0,3.2,4,13
600.0,3.2,4,19
600.0,3.3,4,4
600.0,3.3,4,9
600.0,3.3,4,10
600.0,3.3,4,16
600.0,3.4,4,2
600.0,3.4,4,7
600.0,3.4,4,8
600.0,3.4,4,15
600.0,3.5,4,1
600.0,3.5,4,7
600.0,3.5,4,8
600.0,3.5,4,15
600.0,3.6,4,1
600.0,3.6,4,7
600.0,3.6,4,8
600.0,3.6,4,16
600.0,3.7,5,1
600.0,3.7,5,2
600.0,3.7,5,6
600.0,3.7,5,7
600.0,3.7,5,14
600.0,3.8,5,1
600.0,3.8,5,2
600.0,3.8,5,5
600.0,3.8,5,8
600.0,3.8,5,16
600.0,3.9,6,1
600.0,3.9,6,2
600.0,3.9,6,4
600.0,3.9,6,7
600.0,3.9,6,8
600.0,3.9,6,16
600.0,4.0,6,1
600.0,4.0,6,2
600.0,4.0,6,4
600.0,4.0,6,6
600.0,4.0,6,7
600.0,4.0,6,13
600.0,4.1,5,1
600.0,4.1,5,2
600.0,4.1,5,5
600.0,4.1,5,6
600.0,4.1,5,16
600.0,4.2,5,1
600.0,4.2,5,2
600.0,4.2,5,5
600.0,4.2,5,6
600.0,4.2,5,16
600.0,4.3,5,1
600.0,4.3,5,3
600.0,4.3,5,7
600.0,4.3,5,8
600.0,4.3,5,13
600.0,4.4,6,1
600.0,4.4,6,3
600.0,4.4,6,5
600.0,4.4,6,6
600.0,4.4,6,12
600.0,4.4,6,18
600.0,4.5,7,1
600.0,4.5,7,2
600.0,4.5,7,3
600.0,4.5,7,4
600.0,4.5,7,8
600.0,4.5,7,12
600.0,4.5,7,16
600.0,4.6,7,1
600.0,4.6,7,3
600.0,4.6,7,4
600.0,4.6,7,8
600.0,4.6,7,11
600.0,4.6,7,13
600.0,4.6,7,16
600.0,4.7,7,2
600.0,4.7,7,4
600.0,4.7,7,5
600.0,4.7,7,9
600.0,4.7,7,11
