level,value,number_of_labels,label
900.0,0.0,2,9
900.0,0.0,2,12
900.0,0.1,1,11
900.0,0.4,1,13
900.0,0.5,1,15
900.0,0.7,2,26
900.0,0.7,2,28
900.0,1.0,2,7
900.0,1.0,2,9
900.0,1.1,3,5
900.0,1.1,3,7
900.0,1.1,3,12
900.0,1.2,3,6
900.0,1.2,3,9
900.0,1.2,3,14
900.0,1.3,2,6
900.0,1.3,2,9
900.0,1.4,2,5
900.0,1.4,2,8
900.0,1.5,2,3
900.0,1.5,2,6
900.0,1.6,3,3
900.0,1.6,3,6
900.0,1.6,3,9
900.0,1.7,3,3
900.0,1.7,3,7
900.0,1.7,3,10
900.0,1.8,4,3
900.0,1.8,4,4
900.0,1.8,4,8
900.0,1.8,4,12
900.0,1.9,5,4
900.0,1.9,5,6
900.0,1.9,5,8
900.0,1.9,5,11
900.0,1.9,5,19
900.0,2.0,4,8
900.0,2.0,4,9
900.0,2.0,4,12
900.0,2.0,4,22
900.0,2.1,5,9
900.0,2.1,5,12
900.0,2.1,5,13
900.0,2.1,5,16
900.0,2.1,5,22
900.0,2.2,5,12
900.0,2.2,5,15
900.0,2.2,5,16
900.0,2.2,5,21
900.0,2.2,5,25
900.0,2.3,4,12
900.0,2.3,4,14
900.0,2.3,4,15
900.0,2.3,4,19
900.0,2.4,5,2
900.0,2.4,5,11
900.0,2.4,5,13
900.0,2.4,5,15
900.0,2.4,5,18
900.0,2.5,5,3
900.0,2.5,5,7
900.0,2.5,5,9
900.0,2.5,5,10
900.0,2.5,5,14
900.0,2.6,5,6
900.0,2.6,5,9
900.0,2.6,5,10
900.0,2.6,5,16
900.0,2.6,5,19
900.0,2.7,9,6
900.0,2.7,9,8
900.0,2.7,9,9
900.0,2.7,9,15
900.0,2.7,9,16
900.0,2.7,9,21
900.0,2.7,9,22
900.0,2.7,9,26
900.0,2.7,9,27
900.0,2.8,13,2
900.0,2.8,13,5
900.0,2.8,13,6
900.0,2.8,13,8
900.0,2.8,13,9
900.0,2.8,13,13
900.0,2.8,13,18
900.0,2.8,13,20
900.0,2.8,13,23
900.0,2.8,13,25
900.0,2.8,13,26
900.0,2.8,13,28
900.0,2.8,13,29
900.0,2.9,12,3
900.0,2.9,12,6
900.0,2.9,12,7
900.0,2.9,12,9
900.0,2.9,12,10
900.0,2.9,12,13
900.0,2.9,12,15
900.0,2.9,12,21
900.0,2.9,12,24
900.0,2.9,12,28
900.0,2.9,12,30
900.0,2.9,12,31
900.0,3.0,8,6
900.0,3.0,8,7
900.0,3.0,8,9
900.0,3.0,8,18
900.0,3.0,8,19
900.0,3.0,8,24
900.0,3.0,8,25
900.0,3.0,8,27
900.0,3.1,6,4
900.0,3.1,6,5
900.0,3.1,6,7
900.0,3.1,6,16
900.0,3.1,6,22
900.0,3.1,6,25
900.0,3.2,6,2
900.0,3.2,6,3
900.0,3.2,6,5
900.0,3.2,6,13
900.0,3.2,6,17
900.0,3.2,6,19
900.0,3.3,6,2
900.0,3.3,6,3
900.0,3.3,6,5
900.0,3.3,6,12
900.0,3.3,6,15
900.0,3.3,6,17
900.0,3.4,6,1
900.0,3.4,6,2
900.0,3.4,6,4
900.0,3.4,6,7
900.0,3.4,6,9
900.0,3.4,6,11
900.0,3.5,5,2
900.0,3.5,5,3
900.0,3.5,5,6
900.0,3.5,5,10
900.0,3.5,5,12
900.0,3.6,5,1
900.0,3.6,5,2
900.0,3.6,5,4
900.0,3.6,5,8
900.0,3.6,5,11
900.0,3.7,5,1
900.0,3.7,5,2
900.0,3.7,5,3
900.0,3.7,5,7
900.0,3.7,5,10
900.0,3.8,6,1
900.0,3.8,6,2
900.0,3.8,6,3
