level,value,number_of_labels,label
650.0,0.6,1,14
650.0,1.2,1,12
650.0,1.3,1,10
650.0,1.4,1,11
650.0,1.5,1,8
650.0,1.6,1,6
650.0,1.7,1,7
650.0,1.8,2,2
650.0,1.8,2,7
650.0,1.9,4,2
650.0,1.9,4,4
650.0,1.9,4,7
650.0,1.9,4,12
650.0,2.0,5,2
650.0,2.0,5,3
650.0,2.0,5,5
650.0,2.0,5,8
650.0,2.0,5,14
650.0,2.1,5,2
650.0,2.1,5,6
650.0,2.1,5,7
650.0,2.1,5,18
650.0,2.1,5,26
650.0,2.2,3,6
650.0,2.2,3,7
650.0,2.2,3,16
650.0,2.3,4,5
650.0,2.3,4,6
650.0,2.3,4,13
650.0,2.3,4,17
650.0,2.4,3,3
650.0,2.4,3,7
650.0,2.4,3,12
650.0,2.5,3,2
650.0,2.5,3,9
650.0,2.5,3,11
650.0,2.6,2,9
650.0,2.6,2,11
650.0,2.7,3,3
650.0,2.7,3,5
650.0,2.7,3,7
650.0,2.8,1,4
650.0,2.9,1,4
650.0,3.0,2,2
650.0,3.0,2,3
650.0,3.1,2,1
650.0,3.1,2,2
650.0,3.2,2,1
650.0,3.2,2,3
650.0,3.3,2,1
650.0,3.3,2,3
650.0,3.4,2,1
650.0,3.4,2,2
650.0,3.5,4,1
650.0,3.5,4,2
650.0,3.5,4,10
650.0,3.5,4,14
650.0,3.6,3,1
650.0,3.6,3,2
650.0,3.6,3,13
650.0,3.7,4,1
650.0,3.7,4,2
650.0,3.7,4,9
650.0,3.7,4,10
650.0,3.8,5,1
650.0,3.8,5,2
650.0,3.8,5,6
650.0,3.8,5,7
650.0,3.8,5,11
650.0,3.9,5,1
650.0,3.9,5,2
650.0,3.9,5,8
650.0,3.9,5,9
650.0,3.9,5,12
650.0,4.0,5,1
650.0,4.0,5,2
650.0,4.0,5,9
650.0,4.0,5,10
650.0,4.0,5,11
650.0,4.1,5,1
650.0,4.1,5,2
650.0,4.1,5,8
650.0,4.1,5,9
650.0,4.1,5,11
650.0,4.2,3,1
650.0,4.2,3,2
650.0,4.2,3,9
650.0,4.3,3,1
650.0,4.3,3,2
650.0,4.3,3,9
650.0,4.4,3,1
650.0,4.4,3,2
650.0,4.4,3,8
650.0,4.5,3,1
650.0,4.5,3,2
650.0,4.5,3,8
650.0,4.6,3,1
650.0,4.6,3,2
650.0,4.6,3,5
650.0,4.7,2,1
650.0,4.7,2,2
650.0,4.8,2,1
650.0,4.8,2,2
650.0,4.9,2,1
650.0,4.9,2,2
650.0,5.0,2,1
650.0,5.0,2,2
650.0,5.1,2,1
650.0,5.1,2,2
650.0,5.2,2,1
650.0,5.2,2,2
650.0,5.3,2,1
650.0,5.3,2,2
650.0,5.4,2,1
650.0,5.4,2,2
650.0,5.5,2,1
650.0,5.5,2,3
650.0,5.6,3,1
650.0,5.6,3,3
650.0,5.6,3,5
650.0,5.7,3,1
650.0,5.7,3,3
650.0,5.7,3,5
650.0,5.8,3,1
650.0,5.8,3,2
650.0,5.8,3,4
650.0,5.9,3,1
650.0,5.9,3,2
650.0,5.9,3,4
650.0,6.0,3,1
650.0,6.0,3,2
650.0,6.0,3,5
650.0,6.1,3,1
650.0,6.1,3,2
650.0,6.1,3,5
650.0,6.2,3,1
650.0,6.2,3,2
650.0,6.2,3,5
650.0,6.3,3,1
650.0,6.3,3,2
650.0,6.3,3,5
650.0,6.4,2,1
650.0,6.4,2,2
650.0,6.5,2,1
650.0,6.5,2,2
650.0,6.6,2,1
650.0,6.6,2,2
650.0,6.7,2,1
650.0,6.7,2,2
650.0,6.8,2,1
650.0,6.8,2,2
650.0,6.9,2,1
650.0,6.9,2,2
650.0,7.0,2,1
650.0,7.0,2,2
650.0,7.1,2,1
650.0,7.1,2,2
650.0,7.2,2,1
650.0,7.2,2,2
650.0,7.3,2,1
650.0,7.3,2,4
650.0,7.4,2,1
650.0,7.4,2,2
650.0,7.5,2,1
650.0,7.5,2,3
650.0,7.6,2,1
650.0,7.6,2,4
650.0,7.7,1,3
650.0,7.8,1,3
650.0,7.9,1,1
650.0,8.0,1,1
650.0,8.1,1,1
650.0,8.2,1,1
650.0,8.3,1,1
650.0,8.4,1,1
650.0,8.5,1,1
650.0,8.6,1,1
650.0,8.7,1,1
650.0,8.8,1,1
650.0,8.9,1,1
650.0,9.0,1,1
650.0,9.1,1,1
650.0,9.2,1,1
650.0,9.3,1,1
650.0,9.4,1,1
650.0,9.5,1,1
650.0,9.6,1,1
650.0,9.7,1,1
650.0,9.8,1,1
650.0,9.9,1,1
650.0,10.0,1,1
650.0,10.1,1,1
650.0,10.2,1,1
650.0,10.3,1,1
650.0,10.4,1,1
650.0,10.5,1,1
650.0,10.6,1,1
650.0,10.7,1,1
650.0,10.8,1,1
650.0,10.9,1,1
650.0,11.0,1,1
650.0,11.1,1,1
650.0,11.2,1,1
650.0,11.3,1,1
650.0,11.4,1,1
650.0,11.5,1,1
650.0,11.6,1,1
650.0,11.7,1,1
650.0,11.8,1,1
650.0,11.9,1,1
650.0,12.0,1,1
650.0,12.1,1,1
650.0,12.2,1,1
650.0,12.3,1,1
650.0,12.4,1,1
650.0,12.5,1,1
650.0,12.6,1,1
650.0,12.7,1,1
650.0,12.8,1,1
650.0,12.9,1,1
650.0,13.0,1,1
650.0,13.1,2,1
650.0,13.1,2,2
650.0,13.2,2,1
650.0,13.2,2,2
650.0,13.3,2,1
650.0,13.3,2,2
650.0,13.4,2,1
650.0,13.4,2,2
650.0,13.5,2,1
650.0,13.5,2,2
650.0,13.6,2,1
650.0,13.6,2,2
650.0,13.7,2,1
650.0,13.7,2,2
650.0,13.8,2,1
650.0,13.8,2,2
650.0,13.9,2,1
650.0,13.9,2,2
650.0,14.0,2,1
650.0,14.0,2,2
650.0,14.1,2,1
650.0,14.1,2,2
650.0,14.2,2,1
650.0,14.2,2,2
650.0,14.3,2,1
650.0,14.3,2,2
650.0,14.4,2,1
650.0,14.4,2,2
650.0,14.5,2,1
650.0,14.5,2,2
650.0,14.6,2,1
650.0,14.6,2,2
650.0,14.7,2,1
650.0,14.7,2,2
650.0,14.8,2,1
650.0,14.8,2,2
650.0,14.9,2,1
650.0,14.9,2,2
650.0,15.0,2,1
650.0,15.0,2,2
650.0,15.1,2,1
650.0,15.1,2,2
650.0,15.2,2,1
650.0,15.2,2,2
650.0,15.3,2,1
650.0,15.3,2,2
650.0,15.4,2,1
650.0,15.4,2,2
650.0,15.5,2,1
650.0,15.5,2,2
650.0,15.6,2,1
650.0,15.6,2,2
650.0,15.7,2,1
650.0,15.7,2,3
650.0,15.8,2,1
650.0,15.8,2,3
650.0,15.9,2,1
650.0,15.9,2,3
650.0,16.0,2,1
650.0,16.0,2,3
650.0,16.1,2,1
650.0,16.1,2,2
650.0,16.2,1,4
