level,value,number_of_labels,label
600.0,0.0,1,7
600.0,0.1,3,6
600.0,0.1,3,8
600.0,0.1,3,17
600.0,0.2,2,8
600.0,0.2,2,20
600.0,0.3,1,25
600.0,0.4,3,27
600.0,0.4,3,31
600.0,0.4,3,38
600.0,0.5,2,29
600.0,0.5,2,31
600.0,0.6,3,16
600.0,0.6,3,24
600.0,0.6,3,26
600.0,0.7,3,18
600.0,0.7,3,24
600.0,0.7,3,26
600.0,0.8,2,23
600.0,0.8,2,25
600.0,0.9,2,20
600.0,0.9,2,22
600.0,1.0,2,16
600.0,1.0,2,18
600.0,1.1,2,14
600.0,1.1,2,20
600.0,1.2,2,15
600.0,1.2,2,20
600.0,1.3,2,14
600.0,1.3,2,15
600.0,1.4,3,10
600.0,1.4,3,15
600.0,1.4,3,16
600.0,1.5,4,6
600.0,1.5,4,9
600.0,1.5,4,13
600.0,1.5,4,15
600.0,1.6,4,5
600.0,1.6,4,10
600.0,1.6,4,14
600.0,1.6,4,15
600.0,1.7,4,5
600.0,1.7,4,11
600.0,1.7,4,13
600.0,1.7,4,15
600.0,1.8,3,5
600.0,1.8,3,13
600.0,1.8,3,17
600.0,1.9,3,8
600.0,1.9,3,12
600.0,1.9,3,16
600.0,2.0,2,12
600.0,2.0,2,15
600.0,2.1,3,4
600.0,2.1,3,13
600.0,2.1,3,16
600.0,2.2,3,4
600.0,2.2,3,13
600.0,2.2,3,16
600.0,2.3,3,4
600.0,2.3,3,14
600.0,2.3,3,17
600.0,2.4,4,5
600.0,2.4,4,9
600.0,2.4,4,16
600.0,2.4,4,19
600.0,2.5,4,6
600.0,2.5,4,12
600.0,2.5,4,22
600.0,2.5,4,25
600.0,2.6,4,5
600.0,2.6,4,10
600.0,2.6,4,18
600.0,2.6,4,21
600.0,2.7,4,5
600.0,2.7,4,7
600.0,2.7,4,17
600.0,2.7,4,19
600.0,2.8,6,5
600.0,2.8,6,7
600.0,2.8,6,8
600.0,2.8,6,16
600.0,2.8,6,17
600.0,2.8,6,18
600.0,2.9,7,1
600.0,2.9,7,6
600.0,2.9,7,7
600.0,2.9,7,8
600.0,2.9,7,15
600.0,2.9,7,16
600.0,2.9,7,19
600.0,3.0,5,1
600.0,3.0,5,6
600.0,3.0,5,9
600.0,3.0,5,10
600.0,3.0,5,14
600.0,3.1,5,1
600.0,3.1,5,5
600.0,3.1,5,7
600.0,3.1,5,8
600.0,3.1,5,11
600.0,3.2,5,1
600.0,3.2,5,5
600.0,3.2,5,6
600.0,3.2,5,7
600.0,3.2,5,10
600.0,3.3,5,1
600.0,3.3,5,5
600.0,3.3,5,7
600.0,3.3,5,8
600.0,3.3,5,12
600.0,3.4,5,1
600.0,3.4,5,4
600.0,3.4,5,5
600.0,3.4,5,6
600.0,3.4,5,8
600.0,3.5,6,1
600.0,3.5,6,4
600.0,3.5,6,5
600.0,3.5,6,7
600.0,3.5,6,8
600.0,3.5,6,12
600.0,3.6,7,1
600.0,3.6,7,4
600.0,3.6,7,6
600.0,3.6,7,8
600.0,3.6,7,9
600.0,3.6,7,11
600.0,3.6,7,13
600.0,3.7,6,1
600.0,3.7,6,6
600.0,3.7,6,8
600.0,3.7,6,9
600.0,3.7,6,11
600.0,3.7,6,14
600.0,3.8,5,1
600.0,3.8,5,3
600.0,3.8,5,4
600.0,3.8,5,8
600.0,3.8,5,10
600.0,3.9,5,1
600.0,3.9,5,3
600.0,3.9,5,4
600.0,3.9,5,8
600.0,3.9,5,10
600.0,4.0,4,1
600.0,4.0,4,5
600.0,4.0,4,9
600.0,4.0,4,11
600.0,4.1,4,1
600.0,4.1,4,6
600.0,4.1,4,9
600.0,4.1,4,11
600.0,4.2,4,1
600.0,4.2,4,4
600.0,4.2,4,6
600.0,4.2,4,8
600.0,4.3,5,1
600.0,4.3,5,3
600.0,4.3,5,5
600.0,4.3,5,7
600.0,4.3,5,9
600.0,4.4,5,1
600.0,4.4,5,3
600.0,4.4,5,4
600.0,4.4,5,6
600.0,4.4,5,7
600.0,4.5,4,1
600.0,4.5,4,4
600.0,4.5,4,6
600.0,4.5,4,7
600.0,4.6,4,1
600.0,4.6,4,3
600.0,4.6,4,5
600.0,4.6,4,6
600.0,4.7,4,1
600.0,4.7,4,4
600.0,4.7,4,6
600.0,4.7,4,7
600.0,4.8,4,1
600.0,4.8,4,2
600.0,4.8,4,3
600.0,4.8,4,7
600.0,4.9,4,1
600.0,4.9,4,2
600.0,4.9,4,4
600.0,4.9,4,8
600.0,5.0,4,1
600.0,5.0,4,2
600.0,5.0,4,3
600.0,5.0,4,10
600.0,5.1,4,1
600.0,5.1,4,2
600.0,5.1,4,3
600.0,5.1,4,8
600.0,5.2,5,1
600.0,5.2,5,2
600.0,5.2,5,3
600.0,5.2,5,4
