time,type,local time,latitude,longitude
20190104_00, TD,20190104_00,2.6,174.8
20190104_06, TD,20190104_06,2.8,174.8
20190104_12, DB,20190104_12,2.9,174.7
20190104_18, DB,20190104_18,3.1,174.6
20190105_00, DB,20190105_00,3.3,174.6
20190105_06, DB,20190105_06,3.6,174.8
20190105_12, DB,20190105_12,3.8,174.8
20190105_18, DB,20190105_18,4.2,174.8
20190106_00, DB,20190106_00,4.5,174.7
20190106_06, DB,20190106_06,4.8,174.4
20190106_12, DB,20190106_12,5.1,173.9
20190106_18, DB,20190106_18,4.8,173.4
20190107_00, DB,20190107_00,4.6,173.6
20190107_06, DB,20190107_06,4.1,173.6
20190107_12, DB,20190107_12,3.5,173.2
20190107_18, DB,20190107_18,3.6,172.5
20190108_00, DB,20190108_00,3.7,172.0
20190108_06, LO,20190108_06,4.0,171.4
20190108_12, LO,20190108_12,4.2,170.6
20190108_18, LO,20190108_18,4.1,169.5
20190109_00, LO,20190109_00,3.8,168.3
20190109_06, LO,20190109_06,3.1,167.3
20190109_12, LO,20190109_12,2.2,166.9
20190109_18, LO,20190109_18,2.8,165.6
20190110_00, LO,20190110_00,3.8,164.7
20190110_06, LO,20190110_06,4.7,163.8
20190110_12, LO,20190110_12,5.0,162.6
20190110_18, LO,20190110_18,5.2,161.3
20190111_00, LO,20190111_00,5.2,160.2
20190111_06, LO,20190111_06,5.2,159.5
20190111_12, LO,20190111_12,5.3,159.0
20190111_18, LO,20190111_18,5.4,158.6
20190112_00, LO,20190112_00,5.5,158.3
20190112_06, LO,20190112_06,5.6,158.1
20190112_12, LO,20190112_12,5.6,157.8
20190112_18, LO,20190112_18,5.5,157.4
20190113_00, LO,20190113_00,5.4,157.0
20190113_06, LO,20190113_06,5.3,156.6
20190113_12, LO,20190113_12,5.1,156.0
20190113_18, LO,20190113_18,4.8,155.3
20190114_00, LO,20190114_00,4.6,154.4
20190114_06, LO,20190114_06,4.5,153.6
20190114_12, LO,20190114_12,4.5,153.0
20190114_18, LO,20190114_18,4.5,152.5
20190115_00, LO,20190115_00,4.4,152.1
20190115_06, LO,20190115_06,4.2,151.6
20190115_12, LO,20190115_12,4.0,151.0
20190115_18, LO,20190115_18,4.1,150.3
20190116_00, LO,20190116_00,4.1,149.4
20190116_06, LO,20190116_06,4.4,148.1
20190116_12, LO,20190116_12,5.3,147.1
20190116_18, LO,20190116_18,5.9,146.0
20190117_00, LO,20190117_00,5.9,144.6
20190117_06, LO,20190117_06,6.1,143.2
20190117_12, LO,20190117_12,6.3,141.7
20190117_18, DB,20190117_18,6.3,140.2
20190118_00, DB,20190118_00,6.4,138.9
20190118_06, DB,20190118_06,6.6,138.2
20190118_12, DB,20190118_12,6.9,137.8
20190118_18, DB,20190118_18,7.0,136.5
20190119_00, DB,20190119_00,6.6,134.6
20190119_06, DB,20190119_06,6.5,132.3
20190119_12, DB,20190119_12,7.0,131.0
20190119_18, DB,20190119_18,7.4,129.7
20190120_00, DB,20190120_00,7.7,128.3
20190120_06, DB,20190120_06,8.8,127.4
20190120_12, DB,20190120_12,9.7,126.7
20190120_18, DB,20190120_18,10.3,126.5
20190121_00, DB,20190121_00,10.9,126.4
20190121_06, TD,20190121_06,11.6,126.3
20190121_12, TD,20190121_12,12.6,126.2
20190121_18, TD,20190121_18,13.1,126.2
20190122_00, DB,20190122_00,13.3,125.9
20190122_06, DB,20190122_06,12.6,125.7
20190122_12, DB,20190122_12,12.0,125.7
20190218_12, DB,20190218_12,4.6,162.8
20190218_18, DB,20190218_18,4.9,161.3
20190219_00, TD,20190219_00,5.0,159.7
20190219_06, TD,20190219_06,4.9,158.4
20190219_12, TD,20190219_12,4.6,157.0
20190219_18, TS,20190219_18,4.6,155.9
20190220_00, TS,20190220_00,4.7,154.6
20190220_06, TS,20190220_06,5.0,153.6
20190220_06, TS,20190220_06,5.0,153.6
20190220_12, TS,20190220_12,5.3,152.5
20190220_12, TS,20190220_12,5.3,152.5
20190220_18, TS,20190220_18,5.8,151.3
20190220_18, TS,20190220_18,5.8,151.3
20190221_00, TY,20190221_00,6.2,150.4
20190221_00, TY,20190221_00,6.2,150.4
20190221_00, TY,20190221_00,6.2,150.4
20190221_06, TY,20190221_06,6.6,149.6
20190221_06, TY,20190221_06,6.6,149.6
20190221_06, TY,20190221_06,6.6,149.6
20190221_12, TY,20190221_12,7.1,148.8
20190221_12, TY,20190221_12,7.1,148.8
20190221_12, TY,20190221_12,7.1,148.8
20190221_18, TY,20190221_18,7.7,148.0
20190221_18, TY,20190221_18,7.7,148.0
20190221_18, TY,20190221_18,7.7,148.0
20190222_00, TY,20190222_00,8.3,147.1
20190222_00, TY,20190222_00,8.3,147.1
20190222_00, TY,20190222_00,8.3,147.1
20190222_06, TY,20190222_06,9.1,146.1
20190222_06, TY,20190222_06,9.1,146.1
20190222_06, TY,20190222_06,9.1,146.1
20190222_12, TY,20190222_12,9.9,145.0
20190222_12, TY,20190222_12,9.9,145.0
20190222_12, TY,20190222_12,9.9,145.0
20190222_18, TY,20190222_18,10.2,144.1
20190222_18, TY,20190222_18,10.2,144.1
20190222_18, TY,20190222_18,10.2,144.1
20190223_00, TY,20190223_00,10.7,143.7
20190223_00, TY,20190223_00,10.7,143.7
20190223_00, TY,20190223_00,10.7,143.7
20190223_06, TY,20190223_06,11.4,143.2
20190223_06, TY,20190223_06,11.4,143.2
20190223_06, TY,20190223_06,11.4,143.2
20190223_10, ST,20190223_10,11.9,142.9
20190223_10, ST,20190223_10,11.9,142.9
20190223_10, ST,20190223_10,11.9,142.9
20190223_12, ST,20190223_12,12.0,142.8
20190223_12, ST,20190223_12,12.0,142.8
20190223_12, ST,20190223_12,12.0,142.8
20190223_18, ST,20190223_18,12.4,142.4
20190223_18, ST,20190223_18,12.4,142.4
20190223_18, ST,20190223_18,12.4,142.4
20190224_00, TY,20190224_00,12.6,142.1
20190224_00, TY,20190224_00,12.6,142.1
20190224_00, TY,20190224_00,12.6,142.1
20190224_06, TY,20190224_06,12.9,141.7
20190224_06, TY,20190224_06,12.9,141.7
20190224_06, TY,20190224_06,12.9,141.7
20190224_12, TY,20190224_12,13.0,141.1
20190224_12, TY,20190224_12,13.0,141.1
20190224_12, TY,20190224_12,13.0,141.1
20190224_18, TY,20190224_18,13.1,140.7
20190224_18, TY,20190224_18,13.1,140.7
20190224_18, TY,20190224_18,13.1,140.7
20190225_00, TY,20190225_00,13.4,140.4
20190225_00, TY,20190225_00,13.4,140.4
20190225_00, TY,20190225_00,13.4,140.4
20190225_06, ST,20190225_06,13.8,140.2
20190225_06, ST,20190225_06,13.8,140.2
20190225_06, ST,20190225_06,13.8,140.2
20190225_12, ST,20190225_12,14.2,140.1
20190225_12, ST,20190225_12,14.2,140.1
20190225_12, ST,20190225_12,14.2,140.1
20190225_18, TY,20190225_18,14.6,139.9
20190225_18, TY,20190225_18,14.6,139.9
20190225_18, TY,20190225_18,14.6,139.9
20190226_00, TY,20190226_00,14.9,139.9
20190226_00, TY,20190226_00,14.9,139.9
20190226_00, TY,20190226_00,14.9,139.9
20190226_06, TY,20190226_06,15.2,139.9
20190226_06, TY,20190226_06,15.2,139.9
20190226_06, TY,20190226_06,15.2,139.9
20190226_12, TY,20190226_12,15.4,140.1
20190226_12, TY,20190226_12,15.4,140.1
20190226_12, TY,20190226_12,15.4,140.1
20190226_18, TY,20190226_18,15.6,140.1
20190226_18, TY,20190226_18,15.6,140.1
20190226_18, TY,20190226_18,15.6,140.1
20190227_00, TY,20190227_00,15.8,140.1
20190227_00, TY,20190227_00,15.8,140.1
20190227_00, TY,20190227_00,15.8,140.1
20190227_06, TY,20190227_06,16.2,139.9
20190227_06, TY,20190227_06,16.2,139.9
20190227_06, TY,20190227_06,16.2,139.9
20190227_12, TS,20190227_12,16.4,139.0
20190227_12, TS,20190227_12,16.4,139.0
20190227_18, TS,20190227_18,16.7,137.8
20190228_00, TD,20190228_00,17.1,136.7
20190228_06, TD,20190228_06,17.5,135.6
20190228_12, DB,20190228_12,18.1,134.9
20190228_18, DB,20190228_18,18.5,134.6
20190301_00, DB,20190301_00,19.0,134.3
20190311_18, LO,20190311_18,3.7,160.5
20190312_00, LO,20190312_00,4.0,159.4
20190312_06, LO,20190312_06,4.2,158.5
20190312_12, WV,20190312_12,4.5,157.5
20190312_18, WV,20190312_18,4.8,156.6
20190313_00, WV,20190313_00,5.3,155.3
20190313_06, WV,20190313_06,5.7,153.9
20190313_12, WV,20190313_12,6.0,152.5
20190313_18, WV,20190313_18,6.5,151.1
20190314_00, WV,20190314_00,7.0,149.8
20190314_06, WV,20190314_06,7.5,148.3
20190314_12, WV,20190314_12,7.7,146.9
20190314_18, DB,20190314_18,7.9,145.6
20190315_00, TD,20190315_00,8.0,144.2
20190315_06, TD,20190315_06,8.0,143.0
20190315_12, TD,20190315_12,7.9,141.9
20190315_18, TD,20190315_18,7.8,140.9
20190316_00, TD,20190316_00,7.7,139.9
20190316_06, TD,20190316_06,7.6,138.7
20190316_12, TD,20190316_12,7.5,137.5
20190316_18, TD,20190316_18,7.4,136.1
20190317_00, TD,20190317_00,7.4,134.8
20190317_06, TS,20190317_06,7.5,133.7
20190317_12, TD,20190317_12,7.3,132.8
20190317_18, TD,20190317_18,7.1,131.4
20190318_00, TD,20190318_00,6.8,130.0
20190318_06, TD,20190318_06,6.7,128.7
20190318_12, TD,20190318_12,6.6,127.5
20190318_18, DB,20190318_18,6.6,126.2
