time,type,local time,latitude,longitude
20170107_12, DB,20170107_12,7.9,127.8
20170107_18, DB,20170107_18,8.4,127.5
20170108_00, TD,20170108_00,9.0,127.1
20170108_06, TD,20170108_06,9.5,126.5
20170108_12, TD,20170108_12,9.8,125.9
20170108_18, TD,20170108_18,10.0,125.4
20170109_00, TD,20170109_00,10.2,124.9
20170109_06, WV,20170109_06,10.3,124.0
20170109_12, WV,20170109_12,10.0,122.9
20170109_18, WV,20170109_18,9.2,122.0
20170110_00, WV,20170110_00,8.3,121.4
20170110_06, WV,20170110_06,7.9,120.4
20170110_12, WV,20170110_12,8.0,119.7
20170110_18, WV,20170110_18,8.4,118.8
20170111_00, WV,20170111_00,9.2,117.7
20170111_06, WV,20170111_06,9.6,116.5
20170111_12, WV,20170111_12,9.9,115.3
20170111_18, WV,20170111_18,10.2,114.1
20170112_00, WV,20170112_00,10.5,113.2
20170112_06, DB,20170112_06,10.8,112.5
20170112_12, DB,20170112_12,10.6,112.7
20170112_18, DB,20170112_18,10.8,112.6
20170113_00, DB,20170113_00,11.0,112.5
20170113_06, DB,20170113_06,11.3,112.2
20170113_12, DB,20170113_12,10.9,112.0
20170113_18, TD,20170113_18,10.5,111.6
20170114_00, TD,20170114_00,10.3,111.2
20170114_06, TD,20170114_06,10.0,111.0
20170114_12, TD,20170114_12,9.6,110.7
20170114_18, DB,20170114_18,9.4,110.0
20170115_00, DB,20170115_00,9.5,109.8
20170115_06, DB,20170115_06,9.6,109.4
20170115_12, DB,20170115_12,9.5,109.0
20170115_18, DB,20170115_18,9.3,108.3
20170116_00, DB,20170116_00,9.1,107.5
20170416_12, LO,20170416_12,13.1,119.6
20170416_18, LO,20170416_18,13.6,118.7
20170417_00, DB,20170417_00,14.0,117.9
20170417_06, DB,20170417_06,14.4,117.2
20170417_12, DB,20170417_12,14.7,117.0
20170417_18, DB,20170417_18,15.0,116.9
20170418_00, TD,20170418_00,15.3,116.9
20170418_06, TD,20170418_06,15.9,117.3
20170418_12, TD,20170418_12,16.3,117.7
20170418_18, TD,20170418_18,16.7,117.9
20170419_00, TD,20170419_00,17.3,118.0
20170419_06, TD,20170419_06,18.2,118.2
20170419_12, DB,20170419_12,19.1,118.8
20170419_18, DB,20170419_18,19.9,119.8
20170420_00, DB,20170420_00,20.7,120.9
20170420_06, PT,20170420_06,21.7,122.2
20170424_18, DB,20170424_18,12.4,136.5
20170425_00, TD,20170425_00,12.6,136.3
20170425_06, TD,20170425_06,12.7,136.1
20170425_12, TD,20170425_12,12.8,135.9
20170425_18, TS,20170425_18,12.9,135.4
20170426_00, TS,20170426_00,13.0,134.8
20170426_06, TS,20170426_06,13.3,134.4
20170426_12, TS,20170426_12,13.8,134.2
20170426_18, TS,20170426_18,14.6,134.3
20170427_00, TS,20170427_00,15.2,134.5
20170427_06, TS,20170427_06,15.9,134.6
20170427_12, TD,20170427_12,17.0,134.6
20170427_18, TD,20170427_18,17.9,134.8
20170428_00, DB,20170428_00,18.4,135.5
20170428_06, DB,20170428_06,18.9,136.3
