time,type,local time,latitude,longitude
20171231_18, DB,20171231_18,8.6,131.0
20180101_00, DB,20180101_00,8.9,129.3
20180101_06, DB,20180101_06,9.2,127.6
20180101_12, TD,20180101_12,9.3,126.4
20180101_18, TD,20180101_18,9.4,124.6
20180102_00, TD,20180102_00,9.4,122.5
20180102_06, TD,20180102_06,9.3,120.6
20180102_12, TD,20180102_12,9.1,119.1
20180102_18, TD,20180102_18,9.7,117.6
20180103_00, TS,20180103_00,10.4,115.9
20180103_06, TS,20180103_06,11.0,114.6
20180103_12, TD,20180103_12,11.5,113.2
20180103_18, TD,20180103_18,11.9,111.9
20180104_00, TD,20180104_00,12.3,111.0
20180104_06, DB,20180104_06,12.2,110.1
20180208_06, DB,20180208_06,9.5,149.8
20180208_12, WV,20180208_12,10.2,148.8
20180208_18, DB,20180208_18,10.5,147.8
20180209_00, DB,20180209_00,10.6,147.1
20180209_06, WV,20180209_06,10.5,146.0
20180209_12, WV,20180209_12,10.1,145.1
20180209_18, WV,20180209_18,9.2,144.3
20180210_00, WV,20180210_00,8.2,143.5
20180210_06, WV,20180210_06,7.0,141.7
20180210_12, TD,20180210_12,6.4,140.0
20180210_18, TD,20180210_18,6.4,138.2
20180211_00, TS,20180211_00,6.6,137.4
20180211_06, TS,20180211_06,6.9,135.9
20180211_12, TS,20180211_12,7.1,134.4
20180211_18, TS,20180211_18,6.8,132.9
20180212_00, TS,20180212_00,6.9,132.0
20180212_06, TS,20180212_06,7.1,130.6
20180212_12, TS,20180212_12,8.1,129.0
20180212_18, TS,20180212_18,9.0,127.3
20180213_00, TS,20180213_00,9.6,126.1
20180213_06, TD,20180213_06,9.8,124.9
20180213_12, TD,20180213_12,9.3,123.3
20180213_18, WV,20180213_18,8.8,121.8
20180214_00, WV,20180214_00,8.4,120.4
20180214_06, LO,20180214_06,7.7,120.0
20180214_12, LO,20180214_12,7.6,119.8
20180214_18, TD,20180214_18,7.8,119.9
20180215_00, DB,20180215_00,8.0,119.8
20180215_06, DB,20180215_06,8.7,119.2
20180215_12, DB,20180215_12,9.1,118.2
20180215_18, DB,20180215_18,9.3,117.4
20180323_06, DB,20180323_06,4.4,147.4
20180323_12, DB,20180323_12,4.8,146.9
20180323_18, DB,20180323_18,5.1,146.4
20180324_00, DB,20180324_00,5.3,145.9
