time,type,local time,latitude,longitude
20120217_00, DB,20120217_00,10.0,116.8
20120217_06, DB,20120217_06,9.9,115.7
20120217_12, DB,20120217_12,9.7,114.4
20120217_18, DB,20120217_18,9.8,113.3
20120218_00, DB,20120218_00,9.8,112.7
20120218_06, DB,20120218_06,9.8,112.4
20120218_12, DB,20120218_12,9.9,113.2
20120218_18, DB,20120218_18,9.9,112.6
20120219_00, TD,20120219_00,9.6,112.9
20120219_03, TD,20120219_03,10.0,112.9
20120219_06, TD,20120219_06,10.4,112.3
20120219_12, DB,20120219_12,9.7,111.9
20120219_18, DB,20120219_18,9.3,112.1
20120220_00, DB,20120220_00,9.0,111.8
20120220_06, DB,20120220_06,8.8,111.5
20120220_09, TD,20120220_09,8.9,111.7
20120220_12, DB,20120220_12,9.2,111.5
20120220_18, DB,20120220_18,9.0,111.2
20120221_00, TD,20120221_00,9.5,110.4
20120327_18, DB,20120327_18,9.2,113.4
20120328_00, DB,20120328_00,9.4,113.3
20120328_06, DB,20120328_06,9.6,113.2
20120328_12, DB,20120328_12,9.7,112.9
20120328_18, TD,20120328_18,9.6,112.7
20120329_00, TD,20120329_00,9.6,112.5
20120329_06, TS,20120329_06,9.7,112.2
20120329_12, TS,20120329_12,9.8,111.9
20120329_18, TS,20120329_18,9.7,111.6
20120329_18, TS,20120329_18,9.7,111.6
20120330_00, TS,20120330_00,9.6,111.4
20120330_00, TS,20120330_00,9.6,111.4
20120330_06, TS,20120330_06,9.6,111.1
20120330_06, TS,20120330_06,9.6,111.1
20120330_12, TS,20120330_12,9.7,110.8
20120330_12, TS,20120330_12,9.7,110.8
20120330_18, TS,20120330_18,9.6,110.5
20120330_18, TS,20120330_18,9.6,110.5
20120331_00, TS,20120331_00,9.5,110.2
20120331_00, TS,20120331_00,9.5,110.2
20120331_06, TS,20120331_06,9.5,109.9
20120331_12, TS,20120331_12,9.3,109.3
20120331_18, TS,20120331_18,9.4,108.7
20120401_00, TS,20120401_00,9.8,108.2
20120401_06, TS,20120401_06,10.3,107.7
20120401_12, TS,20120401_12,11.0,107.2
20120401_18, TD,20120401_18,11.8,106.8
20120520_06, DB,20120520_06,11.1,148.0
20120520_12, DB,20120520_12,10.8,147.5
20120520_18, TD,20120520_18,10.8,146.9
20120521_00, DB,20120521_00,11.2,146.4
20120521_06, TD,20120521_06,11.3,145.6
20120521_12, TD,20120521_12,11.8,145.0
20120521_18, TS,20120521_18,12.3,144.4
20120522_00, TS,20120522_00,13.4,144.2
20120522_06, TS,20120522_06,14.1,143.3
20120522_12, TS,20120522_12,14.7,142.3
20120522_18, TS,20120522_18,15.6,141.7
20120523_00, TS,20120523_00,16.3,141.0
20120523_06, TS,20120523_06,16.8,140.4
20120523_06, TS,20120523_06,16.8,140.4
20120523_12, TS,20120523_12,17.4,139.8
20120523_12, TS,20120523_12,17.4,139.8
20120523_18, TS,20120523_18,18.1,139.3
20120523_18, TS,20120523_18,18.1,139.3
20120524_00, TS,20120524_00,19.0,139.1
20120524_00, TS,20120524_00,19.0,139.1
20120524_06, TS,20120524_06,19.9,139.0
20120524_06, TS,20120524_06,19.9,139.0
20120524_12, TY,20120524_12,20.7,138.8
20120524_12, TY,20120524_12,20.7,138.8
20120524_18, TY,20120524_18,21.5,138.8
20120524_18, TY,20120524_18,21.5,138.8
20120524_18, TY,20120524_18,21.5,138.8
20120525_00, TY,20120525_00,22.2,139.2
20120525_00, TY,20120525_00,22.2,139.2
20120525_00, TY,20120525_00,22.2,139.2
20120525_06, TY,20120525_06,23.0,139.5
20120525_06, TY,20120525_06,23.0,139.5
20120525_06, TY,20120525_06,23.0,139.5
20120525_12, TY,20120525_12,23.6,139.9
20120525_12, TY,20120525_12,23.6,139.9
20120525_12, TY,20120525_12,23.6,139.9
20120525_18, TY,20120525_18,24.1,140.5
20120525_18, TY,20120525_18,24.1,140.5
20120525_18, TY,20120525_18,24.1,140.5
20120526_00, TY,20120526_00,24.6,141.2
20120526_00, TY,20120526_00,24.6,141.2
20120526_00, TY,20120526_00,24.6,141.2
20120526_06, TY,20120526_06,25.0,142.1
20120526_06, TY,20120526_06,25.0,142.1
20120526_06, TY,20120526_06,25.0,142.1
20120526_12, TY,20120526_12,25.6,143.0
20120526_12, TY,20120526_12,25.6,143.0
20120526_18, TS,20120526_18,26.1,144.0
20120526_18, TS,20120526_18,26.1,144.0
20120527_00, TS,20120527_00,26.8,145.1
20120527_06, TS,20120527_06,27.6,146.8
20120527_12, TS,20120527_12,28.5,148.6
20120527_18, EX,20120527_18,29.8,150.1
20120531_00, DB,20120531_00,12.4,129.5
20120531_06, DB,20120531_06,12.2,128.5
20120531_12, DB,20120531_12,12.5,127.5
20120531_18, TD,20120531_18,13.4,126.9
20120601_00, TD,20120601_00,14.3,126.4
20120601_06, TS,20120601_06,14.9,125.6
20120601_12, TS,20120601_12,15.7,125.0
20120601_18, TS,20120601_18,16.2,124.7
20120602_00, TS,20120602_00,16.7,124.1
20120602_00, TS,20120602_00,16.7,124.1
20120602_06, TS,20120602_06,17.1,124.4
20120602_06, TS,20120602_06,17.1,124.4
20120602_12, TY,20120602_12,17.6,124.7
20120602_12, TY,20120602_12,17.6,124.7
20120602_12, TY,20120602_12,17.6,124.7
20120602_18, TY,20120602_18,18.1,124.9
20120602_18, TY,20120602_18,18.1,124.9
20120602_18, TY,20120602_18,18.1,124.9
20120603_00, TY,20120603_00,18.7,125.0
20120603_00, TY,20120603_00,18.7,125.0
20120603_00, TY,20120603_00,18.7,125.0
20120603_06, TY,20120603_06,19.3,125.5
20120603_06, TY,20120603_06,19.3,125.5
20120603_06, TY,20120603_06,19.3,125.5
20120603_12, TY,20120603_12,20.1,125.7
20120603_12, TY,20120603_12,20.1,125.7
20120603_12, TY,20120603_12,20.1,125.7
20120603_18, TY,20120603_18,20.9,125.9
20120603_18, TY,20120603_18,20.9,125.9
20120603_18, TY,20120603_18,20.9,125.9
20120604_00, TY,20120604_00,21.6,126.2
20120604_00, TY,20120604_00,21.6,126.2
20120604_00, TY,20120604_00,21.6,126.2
20120604_06, TY,20120604_06,22.6,126.7
20120604_06, TY,20120604_06,22.6,126.7
20120604_06, TY,20120604_06,22.6,126.7
20120604_12, TY,20120604_12,23.5,127.6
20120604_12, TY,20120604_12,23.5,127.6
20120604_12, TY,20120604_12,23.5,127.6
20120604_18, TY,20120604_18,24.6,128.7
20120604_18, TY,20120604_18,24.6,128.7
20120604_18, TY,20120604_18,24.6,128.7
20120605_00, TY,20120605_00,26.2,130.2
20120605_00, TY,20120605_00,26.2,130.2
20120605_00, TY,20120605_00,26.2,130.2
20120605_06, TY,20120605_06,27.5,132.0
20120605_06, TY,20120605_06,27.5,132.0
20120605_12, TS,20120605_12,28.7,134.4
20120605_12, TS,20120605_12,28.7,134.4
20120605_18, TS,20120605_18,29.9,137.7
20120605_18, TS,20120605_18,29.9,137.7
20120606_00, TS,20120606_00,31.3,141.1
20120606_06, EX,20120606_06,34.3,145.3
20120610_00, DB,20120610_00,6.1,150.4
20120610_06, DB,20120610_06,6.9,149.8
20120610_12, DB,20120610_12,7.7,149.1
20120610_18, TD,20120610_18,8.6,148.5
20120611_00, TD,20120611_00,9.3,147.9
20120611_06, TD,20120611_06,9.6,146.6
20120611_12, TD,20120611_12,9.6,145.3
20120611_18, TD,20120611_18,9.6,144.3
20120612_00, TS,20120612_00,9.6,143.5
20120612_06, TS,20120612_06,9.6,142.7
20120612_12, TS,20120612_12,9.6,141.9
20120612_18, TS,20120612_18,9.7,141.1
20120613_00, TS,20120613_00,9.9,140.2
20120613_06, TS,20120613_06,10.5,139.1
20120613_12, TS,20120613_12,10.8,137.8
20120613_18, TS,20120613_18,10.9,136.4
20120614_00, TS,20120614_00,10.9,135.1
20120614_00, TS,20120614_00,10.9,135.1
20120614_06, TY,20120614_06,10.7,133.9
20120614_06, TY,20120614_06,10.7,133.9
20120614_12, TY,20120614_12,10.6,132.8
20120614_12, TY,20120614_12,10.6,132.8
20120614_12, TY,20120614_12,10.6,132.8
20120614_18, TY,20120614_18,10.4,132.2
20120614_18, TY,20120614_18,10.4,132.2
20120614_18, TY,20120614_18,10.4,132.2
20120615_00, TY,20120615_00,10.2,131.5
20120615_00, TY,20120615_00,10.2,131.5
20120615_00, TY,20120615_00,10.2,131.5
20120615_06, TY,20120615_06,10.7,131.3
20120615_06, TY,20120615_06,10.7,131.3
20120615_06, TY,20120615_06,10.7,131.3
20120615_09, TY,20120615_09,11.0,131.1
20120615_09, TY,20120615_09,11.0,131.1
20120615_09, TY,20120615_09,11.0,131.1
20120615_12, TY,20120615_12,11.3,130.9
20120615_12, TY,20120615_12,11.3,130.9
20120615_12, TY,20120615_12,11.3,130.9
20120615_18, TY,20120615_18,11.9,130.5
20120615_18, TY,20120615_18,11.9,130.5
20120615_18, TY,20120615_18,11.9,130.5
20120616_00, TY,20120616_00,12.9,130.2
20120616_00, TY,20120616_00,12.9,130.2
20120616_00, TY,20120616_00,12.9,130.2
20120616_06, TY,20120616_06,14.0,129.6
20120616_06, TY,20120616_06,14.0,129.6
20120616_06, TY,20120616_06,14.0,129.6
20120616_12, TY,20120616_12,15.0,128.8
20120616_12, TY,20120616_12,15.0,128.8
20120616_12, TY,20120616_12,15.0,128.8
20120616_18, ST,20120616_18,16.2,128.3
20120616_18, ST,20120616_18,16.2,128.3
20120616_18, ST,20120616_18,16.2,128.3
20120617_00, ST,20120617_00,17.3,127.7
20120617_00, ST,20120617_00,17.3,127.7
20120617_00, ST,20120617_00,17.3,127.7
20120617_06, ST,20120617_06,18.4,127.3
20120617_06, ST,20120617_06,18.4,127.3
20120617_06, ST,20120617_06,18.4,127.3
20120617_12, TY,20120617_12,19.7,127.1
20120617_12, TY,20120617_12,19.7,127.1
20120617_12, TY,20120617_12,19.7,127.1
20120617_18, TY,20120617_18,21.0,127.2
20120617_18, TY,20120617_18,21.0,127.2
20120617_18, TY,20120617_18,21.0,127.2
20120618_00, TY,20120618_00,22.3,127.4
20120618_00, TY,20120618_00,22.3,127.4
20120618_00, TY,20120618_00,22.3,127.4
20120618_06, TY,20120618_06,23.9,127.9
20120618_06, TY,20120618_06,23.9,127.9
20120618_06, TY,20120618_06,23.9,127.9
20120618_12, TY,20120618_12,25.4,128.8
20120618_12, TY,20120618_12,25.4,128.8
20120618_12, TY,20120618_12,25.4,128.8
20120618_18, TY,20120618_18,27.3,130.3
20120618_18, TY,20120618_18,27.3,130.3
20120618_18, TY,20120618_18,27.3,130.3
20120619_00, TY,20120619_00,29.6,131.9
20120619_00, TY,20120619_00,29.6,131.9
20120619_00, TY,20120619_00,29.6,131.9
20120619_06, TS,20120619_06,32.5,134.7
20120619_06, TS,20120619_06,32.5,134.7
20120619_12, TS,20120619_12,35.0,137.4
20120619_18, EX,20120619_18,37.3,140.8
20120620_00, EX,20120620_00,38.5,143.6
20120617_00, TD,20120617_00,19.6,111.1
20120617_06, TD,20120617_06,19.0,111.1
20120617_12, TD,20120617_12,18.6,111.4
20120617_18, DB,20120617_18,18.8,111.9
20120618_00, TD,20120618_00,19.0,112.4
20120618_06, TS,20120618_06,19.2,112.9
20120618_12, TS,20120618_12,19.2,113.6
20120618_18, TS,20120618_18,19.3,114.3
20120619_00, TS,20120619_00,19.7,114.9
20120619_06, TS,20120619_06,20.2,115.7
20120619_12, TS,20120619_12,20.8,116.4
20120619_12, TS,20120619_12,20.8,116.4
20120619_18, TS,20120619_18,21.6,117.0
20120620_00, TS,20120620_00,22.7,117.7
20120620_06, TS,20120620_06,23.8,118.6
20120620_12, TS,20120620_12,24.2,120.1
20120620_18, TD,20120620_18,25.7,121.1
20120625_12, DB,20120625_12,13.2,134.5
20120625_18, DB,20120625_18,13.6,133.6
20120626_00, DB,20120626_00,14.5,132.8
20120626_06, TD,20120626_06,15.3,131.6
20120626_12, TD,20120626_12,15.1,130.2
20120626_18, TD,20120626_18,15.3,128.8
20120626_21, TD,20120626_21,15.0,128.3
20120627_00, TS,20120627_00,15.3,127.9
20120627_03, TS,20120627_03,15.6,127.9
20120627_06, TD,20120627_06,16.2,127.8
20120627_09, TD,20120627_09,16.9,127.5
20120627_12, TD,20120627_12,17.6,127.0
20120627_18, TD,20120627_18,18.0,125.6
20120628_00, TD,20120628_00,19.1,124.8
20120628_03, TD,20120628_03,20.0,123.7
20120628_06, TD,20120628_06,19.5,123.0
20120628_12, TS,20120628_12,19.9,121.2
20120628_18, TS,20120628_18,20.2,119.4
20120629_00, TS,20120629_00,20.6,117.6
20120629_06, TS,20120629_06,20.9,116.2
20120629_12, TS,20120629_12,21.6,114.7
20120629_18, TS,20120629_18,21.9,113.4
20120630_00, TD,20120630_00,22.2,112.2
20120713_18, DB,20120713_18,18.7,143.8
20120714_00, DB,20120714_00,19.1,144.0
20120714_06, DB,20120714_06,19.5,143.9
20120714_12, DB,20120714_12,19.8,143.8
20120714_18, DB,20120714_18,20.2,143.3
20120715_00, DB,20120715_00,20.7,142.8
20120715_06, DB,20120715_06,21.7,141.8
20120715_12, TD,20120715_12,22.5,140.1
20120715_18, TD,20120715_18,22.9,138.8
20120716_00, TD,20120716_00,23.3,137.6
20120716_06, TD,20120716_06,24.0,136.1
20120716_12, TS,20120716_12,24.9,134.5
20120716_18, TS,20120716_18,25.6,132.8
20120717_00, TS,20120717_00,26.3,131.1
20120717_06, TS,20120717_06,26.8,129.6
20120717_12, TS,20120717_12,27.7,128.3
20120717_18, TS,20120717_18,28.8,127.4
20120718_00, TS,20120718_00,29.9,126.7
20120718_06, TS,20120718_06,32.0,126.2
20120718_06, TS,20120718_06,32.0,126.2
20120718_12, TS,20120718_12,33.7,126.3
20120718_18, TS,20120718_18,35.6,126.3
20120719_00, TD,20120719_00,37.3,127.2
20120719_06, EX,20120719_06,39.3,128.9
20120720_06, DB,20120720_06,18.0,123.1
20120720_12, DB,20120720_12,19.0,122.4
20120720_18, DB,20120720_18,19.8,121.5
20120721_00, TD,20120721_00,19.9,120.1
20120721_06, DB,20120721_06,19.5,118.1
20120721_12, TD,20120721_12,19.3,116.9
20120721_18, TS,20120721_18,19.2,116.3
20120722_00, TS,20120722_00,19.0,115.8
20120722_06, TS,20120722_06,19.0,115.4
20120722_12, TS,20120722_12,19.1,115.2
20120722_18, TS,20120722_18,19.3,115.1
20120723_00, TS,20120723_00,19.7,115.2
20120723_00, TS,20120723_00,19.7,115.2
20120723_06, TY,20120723_06,20.5,114.8
20120723_06, TY,20120723_06,20.5,114.8
20120723_06, TY,20120723_06,20.5,114.8
20120723_12, TY,20120723_12,21.1,114.2
20120723_12, TY,20120723_12,21.1,114.2
20120723_12, TY,20120723_12,21.1,114.2
20120723_15, TY,20120723_15,21.4,113.8
20120723_15, TY,20120723_15,21.4,113.8
20120723_15, TY,20120723_15,21.4,113.8
