time,type,local time,latitude,longitude
20110401_00, DB,20110401_00,8.9,111.8
20110401_06, DB,20110401_06,8.7,111.7
20110401_12, DB,20110401_12,8.8,111.6
20110401_18, DB,20110401_18,8.8,111.7
20110402_00, TD,20110402_00,9.0,111.5
20110402_06, TD,20110402_06,9.3,111.4
20110402_12, TD,20110402_12,9.5,111.6
20110402_18, TD,20110402_18,9.5,111.8
20110403_00, TD,20110403_00,9.3,111.8
20110403_06, DB,20110403_06,9.0,111.9
20110403_12, DB,20110403_12,8.8,112.1
20110403_18, DB,20110403_18,8.7,112.5
20110402_12, DB,20110402_12,10.2,130.5
20110402_18, DB,20110402_18,9.7,130.5
20110403_00, DB,20110403_00,9.5,131.0
20110403_06, DB,20110403_06,9.5,131.8
20110403_12, DB,20110403_12,10.2,132.6
20110403_18, DB,20110403_18,10.9,133.5
20110404_00, DB,20110404_00,11.6,134.3
20110404_06, DB,20110404_06,12.4,135.1
20110404_12, DB,20110404_12,13.0,136.3
20110404_18, TD,20110404_18,14.0,137.8
20110405_00, TD,20110405_00,15.2,139.3
20110405_06, TD,20110405_06,16.1,141.2
20110405_12, TD,20110405_12,16.7,143.1
20110405_18, TD,20110405_18,17.0,145.0
20110406_00, DB,20110406_00,17.7,146.9
20110505_18, DB,20110505_18,10.5,129.0
20110506_00, DB,20110506_00,11.1,128.9
20110506_06, TD,20110506_06,11.5,128.4
20110506_12, TD,20110506_12,11.9,127.9
20110506_18, TD,20110506_18,12.3,127.4
20110507_00, TS,20110507_00,12.6,126.9
20110507_06, TS,20110507_06,12.9,126.2
20110507_12, TS,20110507_12,13.3,125.4
20110507_18, TS,20110507_18,13.6,124.7
20110508_00, TS,20110508_00,14.0,124.1
20110508_00, TS,20110508_00,14.0,124.1
20110508_06, TS,20110508_06,14.5,123.7
20110508_12, TS,20110508_12,15.1,123.3
20110508_18, TS,20110508_18,15.7,122.8
20110509_00, TS,20110509_00,16.5,122.5
20110509_06, TS,20110509_06,17.4,122.3
20110509_12, TS,20110509_12,18.2,122.3
20110509_18, TS,20110509_18,19.2,122.1
20110510_00, TS,20110510_00,20.2,122.0
20110510_06, TS,20110510_06,21.3,122.8
20110510_12, TS,20110510_12,22.4,123.9
20110510_18, TS,20110510_18,23.5,125.0
20110511_00, TS,20110511_00,25.1,126.1
20110511_06, TS,20110511_06,26.5,127.6
20110511_12, TS,20110511_12,28.0,129.5
20110511_18, TS,20110511_18,29.7,132.1
20110512_00, TS,20110512_00,31.3,134.6
20110512_06, EX,20110512_06,32.8,138.4
20110520_00, DB,20110520_00,8.9,140.7
20110520_06, DB,20110520_06,8.9,140.0
20110520_12, TD,20110520_12,8.7,139.4
20110520_18, TD,20110520_18,9.0,139.1
20110521_00, TD,20110521_00,8.8,138.6
20110521_06, TD,20110521_06,9.1,138.1
20110521_12, TS,20110521_12,9.4,137.7
20110521_18, TS,20110521_18,9.6,137.3
20110522_00, TS,20110522_00,9.8,137.0
20110522_06, TS,20110522_06,10.0,136.6
20110522_12, TS,20110522_12,10.4,135.8
20110522_12, TS,20110522_12,10.4,135.8
20110522_18, TS,20110522_18,10.7,134.8
20110522_18, TS,20110522_18,10.7,134.8
20110523_00, TS,20110523_00,11.0,133.8
20110523_00, TS,20110523_00,11.0,133.8
20110523_06, TS,20110523_06,11.3,133.1
20110523_06, TS,20110523_06,11.3,133.1
20110523_12, TS,20110523_12,11.5,132.4
