time,type,local time,latitude,longitude
20150112_06, DB,20150112_06,8.6,145.9
20150112_12, DB,20150112_12,8.7,144.7
20150112_18, DB,20150112_18,8.8,143.6
20150113_00, DB,20150113_00,8.7,142.9
20150113_06, DB,20150113_06,8.5,142.5
20150113_12, TD,20150113_12,8.8,141.7
20150113_18, TD,20150113_18,9.3,140.8
20150114_00, TD,20150114_00,10.0,139.8
20150114_06, TD,20150114_06,10.4,138.4
20150114_12, TD,20150114_12,10.9,137.1
20150114_18, TD,20150114_18,11.3,135.7
20150115_00, TS,20150115_00,11.6,134.7
20150115_06, TS,20150115_06,11.7,133.7
20150115_12, TS,20150115_12,11.6,132.7
20150115_18, TS,20150115_18,11.5,131.8
20150116_00, TS,20150116_00,11.4,130.9
20150116_06, TS,20150116_06,11.4,129.9
20150116_12, TS,20150116_12,11.3,128.7
20150116_18, TY,20150116_18,11.3,127.9
20150116_18, TY,20150116_18,11.3,127.9
20150117_00, TY,20150117_00,11.5,126.8
20150117_00, TY,20150117_00,11.5,126.8
20150117_00, TY,20150117_00,11.5,126.8
20150117_06, TY,20150117_06,11.9,125.9
20150117_06, TY,20150117_06,11.9,125.9
20150117_06, TY,20150117_06,11.9,125.9
20150117_12, TS,20150117_12,12.3,125.1
20150117_12, TS,20150117_12,12.3,125.1
20150117_18, TS,20150117_18,12.7,124.2
20150118_00, TS,20150118_00,13.5,123.5
20150118_06, TS,20150118_06,14.1,123.0
20150118_12, TD,20150118_12,14.9,123.1
20150118_18, TD,20150118_18,15.7,123.1
20150119_00, TD,20150119_00,16.4,122.9
20150119_06, TD,20150119_06,16.9,123.1
20150119_12, DB,20150119_12,16.8,123.4
20150119_18, DB,20150119_18,16.8,123.9
20150120_00, DB,20150120_00,16.8,124.5
20150206_18, DB,20150206_18,9.5,157.8
20150207_00, TD,20150207_00,9.9,157.8
20150207_06, TD,20150207_06,10.3,157.8
20150207_12, TD,20150207_12,10.8,157.8
20150207_18, TS,20150207_18,11.6,157.7
20150208_00, TS,20150208_00,12.0,157.6
20150208_06, TS,20150208_06,12.1,157.4
20150208_09, TS,20150208_09,12.2,157.1
20150208_12, TS,20150208_12,11.9,156.8
20150208_12, TS,20150208_12,11.9,156.8
20150208_15, TS,20150208_15,11.7,157.0
20150208_15, TS,20150208_15,11.7,157.0
20150208_18, TS,20150208_18,11.9,157.1
20150208_18, TS,20150208_18,11.9,157.1
20150208_21, TY,20150208_21,12.0,157.0
20150208_21, TY,20150208_21,12.0,157.0
20150209_00, TY,20150209_00,12.2,156.8
20150209_00, TY,20150209_00,12.2,156.8
20150209_00, TY,20150209_00,12.2,156.8
20150209_06, TY,20150209_06,12.4,156.2
20150209_06, TY,20150209_06,12.4,156.2
20150209_06, TY,20150209_06,12.4,156.2
20150209_12, TY,20150209_12,12.5,155.7
20150209_12, TY,20150209_12,12.5,155.7
20150209_12, TY,20150209_12,12.5,155.7
20150209_18, TY,20150209_18,13.1,155.2
20150209_18, TY,20150209_18,13.1,155.2
20150209_18, TY,20150209_18,13.1,155.2
20150210_00, TY,20150210_00,13.6,154.7
20150210_00, TY,20150210_00,13.6,154.7
20150210_00, TY,20150210_00,13.6,154.7
20150210_06, ST,20150210_06,14.2,154.2
20150210_06, ST,20150210_06,14.2,154.2
20150210_06, ST,20150210_06,14.2,154.2
20150210_12, TY,20150210_12,14.7,154.1
20150210_12, TY,20150210_12,14.7,154.1
20150210_12, TY,20150210_12,14.7,154.1
20150210_18, TY,20150210_18,15.1,153.6
20150210_18, TY,20150210_18,15.1,153.6
20150210_18, TY,20150210_18,15.1,153.6
20150211_00, TY,20150211_00,15.3,153.1
20150211_06, TS,20150211_06,15.5,152.8
20150211_12, TD,20150211_12,16.0,152.5
20150211_18, TD,20150211_18,16.5,152.2
20150212_00, DB,20150212_00,16.7,152.2
20150311_00, DB,20150311_00,6.8,170.6
20150311_06, TD,20150311_06,6.7,169.6
20150311_12, TD,20150311_12,6.8,168.9
20150311_18, TS,20150311_18,7.0,168.0
20150312_00, TS,20150312_00,7.6,166.9
20150312_06, TS,20150312_06,8.2,165.9
20150312_12, TS,20150312_12,8.4,164.0
20150312_18, TS,20150312_18,8.6,162.8
20150313_00, TS,20150313_00,9.0,161.3
20150313_06, TS,20150313_06,9.5,160.1
20150313_12, TS,20150313_12,10.2,158.7
20150313_18, TS,20150313_18,11.2,156.9
20150314_00, TS,20150314_00,12.0,155.0
20150314_06, TS,20150314_06,12.7,153.3
20150314_12, TS,20150314_12,13.0,151.7
20150314_18, TS,20150314_18,13.5,150.1
20150315_00, TS,20150315_00,14.0,148.4
20150315_06, TS,20150315_06,14.0,146.2
20150315_12, TS,20150315_12,13.4,144.7
20150315_18, TS,20150315_18,13.3,142.7
20150316_00, TS,20150316_00,13.4,141.0
20150316_06, TS,20150316_06,13.9,139.8
20150316_12, TS,20150316_12,14.4,138.6
20150316_18, TS,20150316_18,14.9,137.3
20150317_00, TS,20150317_00,15.2,136.3
20150317_06, TS,20150317_06,15.3,135.3
20150317_12, TD,20150317_12,15.5,134.5
20150317_18, TD,20150317_18,15.7,133.6
20150318_00, TD,20150318_00,15.8,132.8
20150318_06, DB,20150318_06,16.0,131.9
20150318_12, DB,20150318_12,16.0,131.2
20150318_18, DB,20150318_18,16.0,130.5
20150319_00, DB,20150319_00,15.9,129.8
20150319_06, DB,20150319_06,15.7,129.0
20150319_12, DB,20150319_12,15.2,128.1
20150319_18, DB,20150319_18,14.8,127.5
20150325_18, DB,20150325_18,5.8,162.1
20150326_00, DB,20150326_00,6.1,161.5
20150326_06, DB,20150326_06,6.2,160.7
20150326_12, DB,20150326_12,6.5,159.8
20150326_18, TD,20150326_18,6.7,158.9
20150327_00, TD,20150327_00,6.8,158.1
20150327_06, TS,20150327_06,7.0,157.5
20150327_12, TS,20150327_12,7.3,156.8
20150327_18, TS,20150327_18,7.5,156.1
20150328_00, TS,20150328_00,7.6,155.3
20150328_06, TS,20150328_06,7.6,154.4
20150328_06, TS,20150328_06,7.6,154.4
20150328_12, TS,20150328_12,7.4,153.7
20150328_12, TS,20150328_12,7.4,153.7
20150328_18, TY,20150328_18,7.4,152.9
20150328_18, TY,20150328_18,7.4,152.9
20150328_18, TY,20150328_18,7.4,152.9
20150329_00, TY,20150329_00,7.5,152.0
20150329_00, TY,20150329_00,7.5,152.0
20150329_00, TY,20150329_00,7.5,152.0
20150329_06, TY,20150329_06,7.7,150.9
20150329_06, TY,20150329_06,7.7,150.9
20150329_06, TY,20150329_06,7.7,150.9
20150329_12, TY,20150329_12,8.0,149.6
20150329_12, TY,20150329_12,8.0,149.6
20150329_12, TY,20150329_12,8.0,149.6
20150329_18, TY,20150329_18,8.2,148.3
20150329_18, TY,20150329_18,8.2,148.3
20150329_18, TY,20150329_18,8.2,148.3
20150330_00, TY,20150330_00,8.4,147.0
20150330_00, TY,20150330_00,8.4,147.0
20150330_00, TY,20150330_00,8.4,147.0
20150330_06, TY,20150330_06,8.7,145.9
20150330_06, TY,20150330_06,8.7,145.9
20150330_06, TY,20150330_06,8.7,145.9
